sample_id,pair_id,path,actor,statement,repetition,intensity,emotion
pair_0000_happy,pair_0000,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,01,01,01,01,happy
pair_0000_sad,pair_0000,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav,01,01,01,01,sad
pair_0001_happy,pair_0001,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,01,01,02,01,happy
pair_0001_sad,pair_0001,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,01,01,02,01,sad
pair_0002_happy,pair_0002,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,01,02,01,01,happy
pair_0002_sad,pair_0002,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,01,02,01,01,sad
pair_0003_happy,pair_0003,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,01,02,02,01,happy
pair_0003_sad,pair_0003,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav,01,02,02,01,sad
pair_0004_happy,pair_0004,audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav,02,01,01,01,happy
pair_0004_sad,pair_0004,audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav,02,01,01,01,sad
pair_0005_happy,pair_0005,audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav,02,01,02,01,happy
pair_0005_sad,pair_0005,audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav,02,01,02,01,sad
pair_0006_happy,pair_0006,audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav,02,02,01,01,happy
pair_0006_sad,pair_0006,audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav,02,02,01,01,sad
pair_0007_happy,pair_0007,audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav,02,02,02,01,happy
pair_0007_sad,pair_0007,audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav,02,02,02,01,sad
pair_0008_happy,pair_0008,audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav,03,01,01,01,happy
pair_0008_sad,pair_0008,audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav,03,01,01,01,sad
pair_0009_happy,pair_0009,audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav,03,01,02,01,happy
pair_0009_sad,pair_0009,audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav,03,01,02,01,sad
pair_0010_happy,pair_0010,audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav,03,02,01,01,happy
pair_0010_sad,pair_0010,audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav,03,02,01,01,sad
pair_0011_happy,pair_0011,audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav,03,02,02,01,happy
pair_0011_sad,pair_0011,audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav,03,02,02,01,sad
pair_0012_happy,pair_0012,audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav,04,01,01,01,happy
pair_0012_sad,pair_0012,audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav,04,01,01,01,sad
pair_0013_happy,pair_0013,audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav,04,01,02,01,happy
pair_0013_sad,pair_0013,audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav,04,01,02,01,sad
pair_0014_happy,pair_0014,audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav,04,02,01,01,happy
pair_0014_sad,pair_0014,audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav,04,02,01,01,sad
pair_0015_happy,pair_0015,audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav,04,02,02,01,happy
pair_0015_sad,pair_0015,audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav,04,02,02,01,sad
pair_0016_happy,pair_0016,audio_speech_actors_01-24/Actor_05/03-01-03-01-01-01-05.wav,05,01,01,01,happy
pair_0016_sad,pair_0016,audio_speech_actors_01-24/Actor_05/03-01-04-01-01-01-05.wav,05,01,01,01,sad
pair_0017_happy,pair_0017,audio_speech_actors_01-24/Actor_05/03-01-03-01-01-02-05.wav,05,01,02,01,happy
pair_0017_sad,pair_0017,audio_speech_actors_01-24/Actor_05/03-01-04-01-01-02-05.wav,05,01,02,01,sad
pair_0018_happy,pair_0018,audio_speech_actors_01-24/Actor_05/03-01-03-01-02-01-05.wav,05,02,01,01,happy
pair_0018_sad,pair_0018,audio_speech_actors_01-24/Actor_05/03-01-04-01-02-01-05.wav,05,02,01,01,sad
pair_0019_happy,pair_0019,audio_speech_actors_01-24/Actor_05/03-01-03-01-02-02-05.wav,05,02,02,01,happy
pair_0019_sad,pair_0019,audio_speech_actors_01-24/Actor_05/03-01-04-01-02-02-05.wav,05,02,02,01,sad
pair_0020_happy,pair_0020,audio_speech_actors_01-24/Actor_06/03-01-03-01-01-01-06.wav,06,01,01,01,happy
pair_0020_sad,pair_0020,audio_speech_actors_01-24/Actor_06/03-01-04-01-01-01-06.wav,06,01,01,01,sad
pair_0021_happy,pair_0021,audio_speech_actors_01-24/Actor_06/03-01-03-01-01-02-06.wav,06,01,02,01,happy
pair_0021_sad,pair_0021,audio_speech_actors_01-24/Actor_06/03-01-04-01-01-02-06.wav,06,01,02,01,sad
pair_0022_happy,pair_0022,audio_speech_actors_01-24/Actor_06/03-01-03-01-02-01-06.wav,06,02,01,01,happy
pair_0022_sad,pair_0022,audio_speech_actors_01-24/Actor_06/03-01-04-01-02-01-06.wav,06,02,01,01,sad
pair_0023_happy,pair_0023,audio_speech_actors_01-24/Actor_06/03-01-03-01-02-02-06.wav,06,02,02,01,happy
pair_0023_sad,pair_0023,audio_speech_actors_01-24/Actor_06/03-01-04-01-02-02-06.wav,06,02,02,01,sad
pair_0024_happy,pair_0024,audio_speech_actors_01-24/Actor_07/03-01-03-01-01-01-07.wav,07,01,01,01,happy
pair_0024_sad,pair_0024,audio_speech_actors_01-24/Actor_07/03-01-04-01-01-01-07.wav,07,01,01,01,sad
pair_0025_happy,pair_0025,audio_speech_actors_01-24/Actor_07/03-01-03-01-01-02-07.wav,07,01,02,01,happy
pair_0025_sad,pair_0025,audio_speech_actors_01-24/Actor_07/03-01-04-01-01-02-07.wav,07,01,02,01,sad
pair_0026_happy,pair_0026,audio_speech_actors_01-24/Actor_07/03-01-03-01-02-01-07.wav,07,02,01,01,happy
