layer_index,layer,patch_kind,n_pairs,mean_counterfactual_effect,sd_counterfactual_effect,ci95_low_counterfactual_effect,ci95_high_counterfactual_effect,median_counterfactual_effect,positive_ce_fraction,mean_happy_effect_toward_sad,mean_sad_effect_toward_happy,happy_direction_fraction,sad_direction_fraction,both_directions_fraction
7,layer_7,audio_tokens,96,-0.0324321985244751,0.6295033344680979,-0.15835909199204726,0.09349469494309706,-0.05706024169921875,0.4270833333333333,-0.032091776529947914,-0.03277262051900228,0.4270833333333333,0.4375,0.4270833333333333
7,layer_7,decision_token,96,0.021387428045272827,0.12119402224713567,-0.0028564256291751106,0.045631281719720765,0.0114898681640625,0.59375,0.019826412200927734,0.02294844388961792,0.59375,0.59375,0.5416666666666666
14,layer_14,audio_tokens,96,-0.0009482701619466146,0.38443050789175826,-0.07785038800993942,0.0759538476860462,0.013962745666503906,0.5416666666666666,0.0031360785166422525,-0.0050326188405354815,0.5208333333333334,0.5625,0.5208333333333334
14,layer_14,decision_token,96,-0.021946370601654053,0.4125460194923624,-0.104472762127414,0.0605800209241059,-0.031119346618652344,0.4583333333333333,-0.027904351552327473,-0.015988389650980633,0.4583333333333333,0.4895833333333333,0.4583333333333333
15,layer_15,audio_tokens,96,-0.004495898882548015,0.3606948840901887,-0.07664990308889959,0.06765810532380355,0.01708221435546875,0.5416666666666666,-0.0007414817810058594,-0.00825031598409017,0.53125,0.5729166666666666,0.5208333333333334
15,layer_15,decision_token,96,-0.012476662794748941,0.4075253736370396,-0.09399871597765348,0.06904539038815559,-0.038425445556640625,0.46875,-0.01770341396331787,-0.007249911626180013,0.4583333333333333,0.4791666666666667,0.4583333333333333
17,layer_17,audio_tokens,96,0.06081944704055786,0.20617522484912643,0.019575812331035225,0.1020630817500805,0.06524085998535156,0.6458333333333334,0.07201119263966878,0.04962770144144694,0.6354166666666666,0.6145833333333334,0.59375
17,layer_17,decision_token,96,-0.05902861555417379,0.4844296791990007,-0.1559347338618191,0.037877502753471536,-0.04898262023925781,0.40625,-0.059174040953318276,-0.0588831901550293,0.40625,0.40625,0.3958333333333333
22,layer_22,audio_tokens,96,-0.0006501475969950358,0.06863888791776092,-0.014380784836360669,0.013080489642370598,-0.008095741271972656,0.40625,-0.0010317166646321614,-0.00026857852935791016,0.40625,0.3958333333333333,0.3854166666666667
22,layer_22,decision_token,96,0.00015626351038614908,0.4943906682351209,-0.09874246760246859,0.0990549946232409,-0.02672290802001953,0.46875,2.562999725341797e-05,0.0002868970235188802,0.46875,0.46875,0.46875
23,layer_23,audio_tokens,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,layer_23,decision_token,96,-0.0036969780921936035,0.5014948168635154,-0.10401683490609254,0.09662287872170533,-0.0067462921142578125,0.4791666666666667,-0.003708044687906901,-0.003685911496480306,0.4791666666666667,0.4791666666666667,0.4791666666666667
