layer_index,layer,audio_speaker_probe,decision_speaker_probe,speaker_gap_audio_minus_decision,speaker_decision_step,speaker_above_chance_retention,audio_statement_probe,decision_statement_probe,statement_gap_audio_minus_decision,statement_decision_step,statement_above_chance_retention
0,embedding,0.9375,0.5,0.4375,,0.0,0.9010416666666667,0.5,0.40104166666666674,,0.0
1,layer_0,0.9583333333333334,0.6666666666666666,0.29166666666666674,0.16666666666666663,0.36363636363636354,0.8802083333333333,0.6927083333333334,0.1874999999999999,0.19270833333333337,0.5068493150684934
2,layer_1,0.9583333333333334,0.7708333333333334,0.1875,0.10416666666666674,0.5909090909090909,0.9114583333333333,0.6510416666666666,0.26041666666666663,-0.04166666666666674,0.36708860759493667
3,layer_2,0.9166666666666666,0.75,0.16666666666666663,-0.02083333333333337,0.6000000000000001,0.8958333333333334,0.625,0.27083333333333337,-0.02604166666666663,0.3157894736842105
4,layer_3,0.9166666666666666,0.6875,0.22916666666666663,-0.0625,0.45000000000000007,0.8697916666666667,0.6145833333333333,0.2552083333333335,-0.01041666666666674,0.3098591549295772
5,layer_4,0.9166666666666666,0.6666666666666666,0.25,-0.02083333333333337,0.39999999999999997,0.8697916666666666,0.625,0.24479166666666663,0.01041666666666674,0.33802816901408456
6,layer_5,0.9166666666666666,0.6666666666666666,0.25,0.0,0.39999999999999997,0.8854166666666666,0.6197916666666667,0.2656249999999999,-0.005208333333333259,0.310810810810811
7,layer_6,0.9375,0.6666666666666666,0.27083333333333337,0.0,0.3809523809523809,0.875,0.5989583333333334,0.27604166666666663,-0.02083333333333337,0.263888888888889
8,layer_7,0.9166666666666666,0.8333333333333334,0.08333333333333326,0.16666666666666674,0.8000000000000002,0.875,0.6041666666666667,0.27083333333333326,0.00520833333333337,0.27777777777777796
9,layer_8,0.9166666666666666,0.75,0.16666666666666663,-0.08333333333333337,0.6000000000000001,0.875,0.609375,0.265625,0.005208333333333259,0.2916666666666667
10,layer_9,0.9166666666666666,0.75,0.16666666666666663,0.0,0.6000000000000001,0.8697916666666666,0.6302083333333333,0.23958333333333337,0.02083333333333326,0.35211267605633784
11,layer_10,0.9166666666666666,0.8125,0.10416666666666663,0.0625,0.7500000000000001,0.8489583333333333,0.6041666666666667,0.24479166666666652,-0.02604166666666652,0.2985074626865674
12,layer_11,0.9166666666666666,0.8333333333333334,0.08333333333333326,0.02083333333333337,0.8000000000000002,0.8385416666666667,0.59375,0.24479166666666674,-0.01041666666666674,0.2769230769230769
13,layer_12,0.9375,0.8333333333333334,0.10416666666666663,0.0,0.761904761904762,0.8177083333333334,0.5625,0.25520833333333337,-0.03125,0.1967213114754098
14,layer_13,0.9166666666666666,0.7708333333333334,0.14583333333333326,-0.0625,0.6500000000000001,0.8020833333333333,0.578125,0.22395833333333326,0.015625,0.2586206896551725
15,layer_14,0.9166666666666666,0.6458333333333334,0.27083333333333326,-0.125,0.35000000000000014,0.8020833333333334,0.5520833333333333,0.2500000000000001,-0.02604166666666674,0.172413793103448
16,layer_15,0.9166666666666666,0.6041666666666666,0.3125,-0.04166666666666674,0.24999999999999994,0.8229166666666667,0.5625,0.26041666666666674,0.01041666666666674,0.19354838709677416
17,layer_16,0.9375,0.7708333333333334,0.16666666666666663,0.16666666666666674,0.6190476190476192,0.828125,0.5625,0.265625,0.0,0.19047619047619047
18,layer_17,0.9375,0.8333333333333334,0.10416666666666663,0.0625,0.761904761904762,0.8333333333333333,0.515625,0.31770833333333326,-0.046875,0.046875000000000014
19,layer_18,0.9375,0.75,0.1875,-0.08333333333333337,0.5714285714285714,0.8489583333333333,0.5885416666666666,0.26041666666666663,0.07291666666666663,0.25373134328358204
20,layer_19,0.9375,0.7708333333333334,0.16666666666666663,0.02083333333333337,0.6190476190476192,0.8541666666666667,0.578125,0.27604166666666674,-0.01041666666666663,0.2205882352941176
21,layer_20,0.9166666666666666,0.7916666666666666,0.125,0.02083333333333326,0.7,0.84375,0.5520833333333334,0.29166666666666663,-0.02604166666666663,0.15151515151515163
22,layer_21,0.9166666666666666,0.7708333333333334,0.14583333333333326,-0.02083333333333326,0.6500000000000001,0.8125,0.578125,0.234375,0.02604166666666663,0.25
23,layer_22,0.9166666666666666,0.7291666666666666,0.1875,-0.04166666666666674,0.5499999999999999,0.828125,0.515625,0.3125,-0.0625,0.047619047619047616
24,layer_23,0.875,0.7708333333333334,0.10416666666666663,0.04166666666666674,0.7222222222222223,0.7916666666666667,0.515625,0.27604166666666674,0.0,0.053571428571428555
