sample_id,pair_id,path,actor,statement,repetition,intensity,emotion,representation_index,error
pair_0000_happy,pair_0000,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,01,01,01,01,happy,0,
pair_0000_sad,pair_0000,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav,01,01,01,01,sad,1,
pair_0001_happy,pair_0001,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,01,01,02,01,happy,2,
pair_0001_sad,pair_0001,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,01,01,02,01,sad,3,
pair_0002_happy,pair_0002,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,01,02,01,01,happy,4,
pair_0002_sad,pair_0002,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,01,02,01,01,sad,5,
pair_0003_happy,pair_0003,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,01,02,02,01,happy,6,
pair_0003_sad,pair_0003,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav,01,02,02,01,sad,7,
pair_0004_happy,pair_0004,audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav,02,01,01,01,happy,8,
pair_0004_sad,pair_0004,audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav,02,01,01,01,sad,9,
pair_0005_happy,pair_0005,audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav,02,01,02,01,happy,10,
pair_0005_sad,pair_0005,audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav,02,01,02,01,sad,11,
pair_0006_happy,pair_0006,audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav,02,02,01,01,happy,12,
pair_0006_sad,pair_0006,audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav,02,02,01,01,sad,13,
pair_0007_happy,pair_0007,audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav,02,02,02,01,happy,14,
pair_0007_sad,pair_0007,audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav,02,02,02,01,sad,15,
pair_0008_happy,pair_0008,audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav,03,01,01,01,happy,16,
pair_0008_sad,pair_0008,audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav,03,01,01,01,sad,17,
pair_0009_happy,pair_0009,audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav,03,01,02,01,happy,18,
pair_0009_sad,pair_0009,audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav,03,01,02,01,sad,19,
pair_0010_happy,pair_0010,audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav,03,02,01,01,happy,20,
pair_0010_sad,pair_0010,audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav,03,02,01,01,sad,21,
pair_0011_happy,pair_0011,audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav,03,02,02,01,happy,22,
pair_0011_sad,pair_0011,audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav,03,02,02,01,sad,23,
pair_0012_happy,pair_0012,audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav,04,01,01,01,happy,24,
