family,layer_index,layer,pairs,parallelism_cosine
audio_encoder,0,conv2,96,0.7161262631416321
audio_encoder,1,block_0,96,0.535947322845459
audio_encoder,2,block_1,96,0.5068603754043579
audio_encoder,3,block_2,96,0.45988014340400696
audio_encoder,4,block_3,96,0.4404233396053314
audio_encoder,5,block_4,96,0.37725630402565
audio_encoder,6,block_5,96,0.3711474537849426
audio_encoder,7,block_6,96,0.4924783706665039
audio_encoder,8,block_7,96,0.4331108033657074
audio_encoder,9,block_8,96,0.4232896864414215
audio_encoder,10,block_9,96,0.39456674456596375
audio_encoder,11,block_10,96,0.3964845836162567
audio_encoder,12,block_11,96,0.2926314175128937
audio_encoder,13,final,96,0.15532128512859344
projector,0,projector_mean,96,0.11362869292497635
llm_audio_mean,0,embedding,96,0.11362864077091217
llm_audio_mean,1,layer_0,96,0.12205779552459717
llm_audio_mean,2,layer_1,96,0.11693902313709259
llm_audio_mean,3,layer_2,96,0.11149799078702927
llm_audio_mean,4,layer_3,96,0.11478321254253387
llm_audio_mean,5,layer_4,96,0.12132102251052856
llm_audio_mean,6,layer_5,96,0.12516526877880096
llm_audio_mean,7,layer_6,96,0.12369129061698914
llm_audio_mean,8,layer_7,96,0.11751195043325424
llm_audio_mean,9,layer_8,96,0.11832813173532486
llm_audio_mean,10,layer_9,96,0.11494966596364975
llm_audio_mean,11,layer_10,96,0.11062297224998474
llm_audio_mean,12,layer_11,96,0.10901419073343277
llm_audio_mean,13,layer_12,96,0.10655958205461502
llm_audio_mean,14,layer_13,96,0.10450820624828339
llm_audio_mean,15,layer_14,96,0.10136988759040833
llm_audio_mean,16,layer_15,96,0.09985751658678055
llm_audio_mean,17,layer_16,96,0.09656495600938797
llm_audio_mean,18,layer_17,96,0.09514763206243515
llm_audio_mean,19,layer_18,96,0.08955643326044083
llm_audio_mean,20,layer_19,96,0.09069204330444336
llm_audio_mean,21,layer_20,96,0.09334609657526016
llm_audio_mean,22,layer_21,96,0.09104987978935242
llm_audio_mean,23,layer_22,96,0.09157351404428482
llm_audio_mean,24,layer_23,96,0.05167687311768532
llm_decision,0,embedding,96,0.0
llm_decision,1,layer_0,96,0.09946374595165253
llm_decision,2,layer_1,96,0.03243961185216904
llm_decision,3,layer_2,96,0.03279691934585571
llm_decision,4,layer_3,96,0.03494904562830925
llm_decision,5,layer_4,96,0.036034829914569855
llm_decision,6,layer_5,96,0.03709127753973007
llm_decision,7,layer_6,96,0.03771060332655907
llm_decision,8,layer_7,96,0.01839536614716053
llm_decision,9,layer_8,96,0.01871347613632679
llm_decision,10,layer_9,96,0.019774891436100006
llm_decision,11,layer_10,96,0.01512560062110424
llm_decision,12,layer_11,96,0.018063968047499657
llm_decision,13,layer_12,96,0.01710744947195053
llm_decision,14,layer_13,96,0.018390581011772156
llm_decision,15,layer_14,96,0.011057082563638687
llm_decision,16,layer_15,96,0.010593198239803314
llm_decision,17,layer_16,96,0.010261911898851395
llm_decision,18,layer_17,96,0.00940697081387043
llm_decision,19,layer_18,96,0.009083286859095097
llm_decision,20,layer_19,96,0.00951901450753212
llm_decision,21,layer_20,96,0.009313181973993778
llm_decision,22,layer_21,96,0.009005934931337833
llm_decision,23,layer_22,96,0.00865205843001604
llm_decision,24,layer_23,96,0.007218140177428722
llm_prompt_last,0,embedding,96,0.0
llm_prompt_last,1,layer_0,96,0.0
llm_prompt_last,2,layer_1,96,0.0
llm_prompt_last,3,layer_2,96,0.0
llm_prompt_last,4,layer_3,96,0.0
llm_prompt_last,5,layer_4,96,0.0
llm_prompt_last,6,layer_5,96,0.0
llm_prompt_last,7,layer_6,96,0.0
llm_prompt_last,8,layer_7,96,0.0
llm_prompt_last,9,layer_8,96,0.0
llm_prompt_last,10,layer_9,96,0.0
llm_prompt_last,11,layer_10,96,0.0
llm_prompt_last,12,layer_11,96,0.0
llm_prompt_last,13,layer_12,96,0.0
llm_prompt_last,14,layer_13,96,0.0
llm_prompt_last,15,layer_14,96,0.0
llm_prompt_last,16,layer_15,96,0.0
llm_prompt_last,17,layer_16,96,0.0
llm_prompt_last,18,layer_17,96,0.0
llm_prompt_last,19,layer_18,96,0.0
llm_prompt_last,20,layer_19,96,0.0
llm_prompt_last,21,layer_20,96,0.0
llm_prompt_last,22,layer_21,96,0.0
llm_prompt_last,23,layer_22,96,0.0
llm_prompt_last,24,layer_23,96,0.0
