family,layer_index,layer,scope,groups,comparisons,parallelism_cosine
audio_encoder,0,conv2,all,1,4560,0.7161262631416321
audio_encoder,0,conv2,text,48,48,0.8532159666464693
audio_encoder,0,conv2,speaker,4,1104,0.7108418437788241
audio_encoder,0,conv2,repetition,48,48,0.8148021912554658
audio_encoder,1,block_0,all,1,4560,0.535947322845459
audio_encoder,1,block_0,text,48,48,0.6916135998382803
audio_encoder,1,block_0,speaker,4,1104,0.5288656871411256
audio_encoder,1,block_0,repetition,48,48,0.7032099410465245
audio_encoder,2,block_1,all,1,4560,0.5068603754043579
audio_encoder,2,block_1,text,48,48,0.6722630040197691
audio_encoder,2,block_1,speaker,4,1104,0.49996274553990866
audio_encoder,2,block_1,repetition,48,48,0.6992298263518203
audio_encoder,3,block_2,all,1,4560,0.45988014340400696
audio_encoder,3,block_2,text,48,48,0.6261325221509705
audio_encoder,3,block_2,speaker,4,1104,0.45408686112651286
audio_encoder,3,block_2,repetition,48,48,0.6803694532353514
audio_encoder,4,block_3,all,1,4560,0.4404233396053314
audio_encoder,4,block_3,text,48,48,0.6077134757865447
audio_encoder,4,block_3,speaker,4,1104,0.43469863988661395
audio_encoder,4,block_3,repetition,48,48,0.6631976487919459
audio_encoder,5,block_4,all,1,4560,0.37725630402565
audio_encoder,5,block_4,text,48,48,0.5590340367540341
audio_encoder,5,block_4,speaker,4,1104,0.37284387007983694
audio_encoder,5,block_4,repetition,48,48,0.6268392993429572
audio_encoder,6,block_5,all,1,4560,0.3711474537849426
audio_encoder,6,block_5,text,48,48,0.5612103766960524
audio_encoder,6,block_5,speaker,4,1104,0.36574908813520113
audio_encoder,6,block_5,repetition,48,48,0.6177836365143591
audio_encoder,7,block_6,all,1,4560,0.4924783706665039
audio_encoder,7,block_6,text,48,48,0.6184317319531961
audio_encoder,7,block_6,speaker,4,1104,0.48543454583276807
audio_encoder,7,block_6,repetition,48,48,0.6650048677788681
audio_encoder,8,block_7,all,1,4560,0.4331108033657074
audio_encoder,8,block_7,text,48,48,0.5853533094172542
audio_encoder,8,block_7,speaker,4,1104,0.42439739143277333
audio_encoder,8,block_7,repetition,48,48,0.6261082052241397
audio_encoder,9,block_8,all,1,4560,0.4232896864414215
audio_encoder,9,block_8,text,48,48,0.567645025825944
audio_encoder,9,block_8,speaker,4,1104,0.4139393288594335
audio_encoder,9,block_8,repetition,48,48,0.619177792557053
audio_encoder,10,block_9,all,1,4560,0.39456674456596375
audio_encoder,10,block_9,text,48,48,0.5494423397426421
audio_encoder,10,block_9,speaker,4,1104,0.38437301530165835
audio_encoder,10,block_9,repetition,48,48,0.6000475031249602
audio_encoder,11,block_10,all,1,4560,0.3964845836162567
audio_encoder,11,block_10,text,48,48,0.54919932581476
audio_encoder,11,block_10,speaker,4,1104,0.387163262686877
audio_encoder,11,block_10,repetition,48,48,0.5989417526362399
audio_encoder,12,block_11,all,1,4560,0.2926314175128937
audio_encoder,12,block_11,text,48,48,0.48234964487574183
audio_encoder,12,block_11,speaker,4,1104,0.28066968103926787
audio_encoder,12,block_11,repetition,48,48,0.5608831829748426
audio_encoder,13,final,all,1,4560,0.15532128512859344
audio_encoder,13,final,text,48,48,0.3772483772125268
audio_encoder,13,final,speaker,4,1104,0.1428556930807284
audio_encoder,13,final,repetition,48,48,0.472937597649151
projector,0,projector_mean,all,1,4560,0.11362869292497635
projector,0,projector_mean,text,48,48,0.20769030434205327
projector,0,projector_mean,speaker,4,1104,0.10195363594770829
projector,0,projector_mean,repetition,48,48,0.4375417391143843
llm_audio_mean,0,embedding,all,1,4560,0.11362864077091217
llm_audio_mean,0,embedding,text,48,48,0.20769075465214973
llm_audio_mean,0,embedding,speaker,4,1104,0.10195358099597265
llm_audio_mean,0,embedding,repetition,48,48,0.4375418179599597
llm_audio_mean,1,layer_0,all,1,4560,0.12205779552459717
llm_audio_mean,1,layer_0,text,48,48,0.21781913194599575
llm_audio_mean,1,layer_0,speaker,4,1104,0.11020671553154361
llm_audio_mean,1,layer_0,repetition,48,48,0.4359385101300502
llm_audio_mean,2,layer_1,all,1,4560,0.11693902313709259
llm_audio_mean,2,layer_1,text,48,48,0.21090680789581553
