family,layer_index,layer,speaker_held_out_actors,speaker_held_out_accuracy,statement_01_to_02_accuracy,statement_02_to_01_accuracy,statement_held_out_mean
audio_encoder,0,conv2,"19,20,21,22,23,24",0.75,0.7291666666666666,0.71875,0.7239583333333333
audio_encoder,1,block_0,"19,20,21,22,23,24",0.7916666666666666,0.7708333333333334,0.7916666666666666,0.78125
audio_encoder,2,block_1,"19,20,21,22,23,24",0.8125,0.8020833333333334,0.8229166666666666,0.8125
audio_encoder,3,block_2,"19,20,21,22,23,24",0.75,0.8020833333333334,0.8020833333333334,0.8020833333333334
audio_encoder,4,block_3,"19,20,21,22,23,24",0.7708333333333334,0.8333333333333334,0.8020833333333334,0.8177083333333334
audio_encoder,5,block_4,"19,20,21,22,23,24",0.7708333333333334,0.8229166666666666,0.84375,0.8333333333333333
audio_encoder,6,block_5,"19,20,21,22,23,24",0.8125,0.8333333333333334,0.875,0.8541666666666667
audio_encoder,7,block_6,"19,20,21,22,23,24",0.9166666666666666,0.8645833333333334,0.8645833333333334,0.8645833333333334
audio_encoder,8,block_7,"19,20,21,22,23,24",0.875,0.875,0.8854166666666666,0.8802083333333333
audio_encoder,9,block_8,"19,20,21,22,23,24",0.875,0.875,0.875,0.875
audio_encoder,10,block_9,"19,20,21,22,23,24",0.875,0.8854166666666666,0.875,0.8802083333333333
audio_encoder,11,block_10,"19,20,21,22,23,24",0.8958333333333334,0.875,0.8854166666666666,0.8802083333333333
audio_encoder,12,block_11,"19,20,21,22,23,24",0.9375,0.8958333333333334,0.8854166666666666,0.890625
audio_encoder,13,final,"19,20,21,22,23,24",0.9375,0.90625,0.8854166666666666,0.8958333333333333
projector,0,projector_mean,"19,20,21,22,23,24",0.9583333333333334,0.8958333333333334,0.9270833333333334,0.9114583333333334
llm_audio_mean,0,embedding,"19,20,21,22,23,24",0.9375,0.8958333333333334,0.90625,0.9010416666666667
llm_audio_mean,1,layer_0,"19,20,21,22,23,24",0.9583333333333334,0.8541666666666666,0.90625,0.8802083333333333
llm_audio_mean,2,layer_1,"19,20,21,22,23,24",0.9583333333333334,0.9166666666666666,0.90625,0.9114583333333333
llm_audio_mean,3,layer_2,"19,20,21,22,23,24",0.9166666666666666,0.8958333333333334,0.8958333333333334,0.8958333333333334
llm_audio_mean,4,layer_3,"19,20,21,22,23,24",0.9166666666666666,0.8645833333333334,0.875,0.8697916666666667
llm_audio_mean,5,layer_4,"19,20,21,22,23,24",0.9166666666666666,0.8541666666666666,0.8854166666666666,0.8697916666666666
llm_audio_mean,6,layer_5,"19,20,21,22,23,24",0.9166666666666666,0.8854166666666666,0.8854166666666666,0.8854166666666666
llm_audio_mean,7,layer_6,"19,20,21,22,23,24",0.9375,0.8645833333333334,0.8854166666666666,0.875
