query,metric,mean,ci_low,ci_high,n_pairs,n_actors
decision,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
decision,remaining_effect,-0.020548769583304722,-0.05229731819902857,0.010526379011571402,96,24
decision,mediated_effect,0.06610012551148732,0.022348901443183425,0.10748694151019053,96,24
audio,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
audio,remaining_effect,0.047400480757157006,0.010471632114301126,0.08732163269693652,96,24
audio,mediated_effect,-0.001849124828974406,-0.003912423923611641,0.00032172367597619683,96,24
end_marker,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
end_marker,remaining_effect,0.04555041342973709,0.008482748611519734,0.0856884967846175,96,24
end_marker,mediated_effect,9.424984455108643e-07,-2.1711736917495727e-05,2.382329354683558e-05,96,24
non_decision,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
non_decision,remaining_effect,0.04739611099163691,0.010466473270207643,0.087328033366551,96,24
non_decision,mediated_effect,-0.0018447550634543102,-0.003911779137949148,0.0003355390392243857,96,24
all,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
all,remaining_effect,-0.020976456503073376,-0.052728082456936436,0.009975513381262614,96,24
all,mediated_effect,0.06652781243125598,0.022835309555133184,0.1077663264547785,96,24
