sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,condition,component,restore_layers,clean_margin,patched_margin,restored_margin,patch_effect,remaining_effect,mediated_effect,reference_source_margin
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.620932102203369,0.13133668899536133,0.029266357421875,0.10207033157348633,-4.625507354736328
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.737548828125,0.13133668899536133,0.14588308334350586,-0.014546394348144531,-4.625507354736328
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.723010063171387,0.13133668899536133,0.13134431838989258,-7.62939453125e-06,-4.625507354736328
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.737530708312988,0.13133668899536133,0.14586496353149414,-0.014528274536132812,-4.625507354736328
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.625509262084961,0.13133668899536133,0.0338435173034668,0.09749317169189453,-4.625507354736328
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,edge_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.403267860412598,0.10426664352416992,0.06921625137329102,0.035050392150878906,-4.382829666137695
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,edge_audio_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.389209270477295,0.10426664352416992,0.08327484130859375,0.020991802215576172,-4.382829666137695
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,edge_end_marker_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.368212699890137,0.10426664352416992,0.10427141189575195,-4.76837158203125e-06,-4.382829666137695
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,edge_non_decision_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.389179229736328,0.10426664352416992,0.08330488204956055,0.020961761474609375,-4.382829666137695
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,edge_all_joint,audio_v_edge,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.382829666137695,0.10426664352416992,0.08965444564819336,0.014612197875976562,-4.382829666137695
