condition,metric,mean,ci_low,ci_high,n_pairs,n_actors
direct_block_18,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_block_18,remaining_effect,0.031162966042757034,-0.0039705832799275705,0.06833762666210531,96,24
direct_block_18,mediated_effect,0.014388389885425568,0.0030157695213953654,0.02636435224364201,96,24
direct_block_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_block_19,remaining_effect,0.01488719383875529,-0.027301989154269297,0.05579694909974932,96,24
direct_block_19,mediated_effect,0.03066416208942731,0.008753974425295989,0.053223001087705286,96,24
direct_block_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_block_20,remaining_effect,0.04389761512478193,0.008274218098570903,0.08194686065738399,96,24
direct_block_20,mediated_effect,0.0016537408034006755,-0.005390068764487902,0.009111482060203948,96,24
direct_block_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_block_21,remaining_effect,0.03891739994287491,0.0011424199988444646,0.07864638576284051,96,24
direct_block_21,mediated_effect,0.0066339559853076935,-0.003213532951970895,0.01629464253783226,96,24
direct_block_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_block_22,remaining_effect,0.04264932622512182,0.007752838886032504,0.07837865762412548,96,24
direct_block_22,mediated_effect,0.002902029703060786,-0.032295434984068075,0.03099551303312181,96,24
direct_block_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_block_23,remaining_effect,0.03520497183005015,-0.004226582994063695,0.07538397209718824,96,24
direct_block_23,mediated_effect,0.010346384098132452,-0.0030411891328791774,0.02389274286106227,96,24
direct_cumulative_18_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_cumulative_18_19,remaining_effect,0.0014836614330609639,-0.03946197942520181,0.04175307704135772,96,24
direct_cumulative_18_19,mediated_effect,0.044067694495121636,0.0169475837610662,0.07144855617855986,96,24
direct_cumulative_18_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_cumulative_18_20,remaining_effect,-0.00022365773717562357,-0.041421463899314406,0.04012801116332409,96,24
direct_cumulative_18_20,mediated_effect,0.04577501366535822,0.01518361729880174,0.0762923785485327,96,24
direct_cumulative_18_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_cumulative_18_21,remaining_effect,-0.007841779539982477,-0.05033624501278003,0.03316476714486877,96,24
direct_cumulative_18_21,mediated_effect,0.05339313546816508,0.02031031424800555,0.0870519759133458,96,24
direct_cumulative_18_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_cumulative_18_22,remaining_effect,-0.009938916812340418,-0.04450579419111212,0.023418795752028623,96,24
direct_cumulative_18_22,mediated_effect,0.05549027274052302,0.012146614429851373,0.09788738132144013,96,24
direct_cumulative_18_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
direct_cumulative_18_23,remaining_effect,-0.020548769583304722,-0.05229731819902857,0.010526379011571402,96,24
direct_cumulative_18_23,mediated_effect,0.06610012551148732,0.022348901443183425,0.10748694151019053,96,24
