alpha,metric,mean,ci_low,ci_high
0.0,roc_auc_minus_alpha1,-0.02322048611111105,-0.050021701388888895,0.001085069444444421
0.0,pair_separation_minus_alpha1,-0.04922986775636673,-0.09497301187366247,-0.007938917477925625
0.0,accuracy_minus_alpha1,0.0,0.0,0.0
0.0,pair_direction_fraction_minus_alpha1,-0.01041666666666663,-0.08333333333333337,0.0625
0.5,roc_auc_minus_alpha1,-0.01410590277777779,-0.02853732638888895,-0.0008653428819445092
0.5,pair_separation_minus_alpha1,-0.02440951019525528,-0.04657512164364259,-0.0033207055181264868
0.5,accuracy_minus_alpha1,0.0,0.0,0.0
0.5,pair_direction_fraction_minus_alpha1,-0.01041666666666663,-0.05208333333333337,0.03125
1.5,roc_auc_minus_alpha1,0.01605902777777779,0.0020616319444444198,0.02842881944444442
1.5,pair_separation_minus_alpha1,0.021730365852514907,-0.0020902978877226507,0.04438628858576217
1.5,accuracy_minus_alpha1,0.0,0.0,0.0
1.5,pair_direction_fraction_minus_alpha1,0.031250000000000056,-0.020833333333333315,0.08333333333333337
2.0,roc_auc_minus_alpha1,0.02810329861111116,0.0027126736111110494,0.05110677083333326
2.0,pair_separation_minus_alpha1,0.04101107517878214,-0.008578889754911263,0.08788723393032949
2.0,accuracy_minus_alpha1,0.0,0.0,0.0
2.0,pair_direction_fraction_minus_alpha1,0.06250000000000006,-0.020833333333333315,0.14583333333333337
