alpha,metric,mean,ci_low,ci_high
0.0,accuracy,0.5,0.5,0.5
0.0,happy_prediction_fraction,0.0,0.0,0.0
0.0,pair_direction_fraction,0.4791666666666667,0.3854166666666667,0.5833333333333334
0.0,pair_separation,-0.01664901276429494,-0.08375368987520536,0.05333048154910404
0.0,happy_margin,-3.4336420769492784,-3.4824271419396005,-3.3864527303725485
0.0,sad_margin,-3.4169930641849837,-3.4718892523398,-3.3606456024572253
0.0,common_shift,0.6052139190336069,0.5774194354812304,0.6399672798812389
0.0,happy_shift,0.5805989851554235,0.5501689778640866,0.6150206629807751
0.0,sad_shift,0.6298288529117902,0.5883846630031864,0.6757915205632647
0.0,roc_auc,0.4979383680555556,0.4568142361111111,0.5417778862847222
0.5,accuracy,0.5,0.5,0.5
0.5,happy_prediction_fraction,0.0,0.0,0.0
0.5,pair_direction_fraction,0.4791666666666667,0.375,0.5833333333333334
0.5,pair_separation,0.008171344796816507,-0.06201976419736942,0.0793448605885107
0.5,happy_margin,-3.815868111948172,-3.8609714776898425,-3.7717202716817457
0.5,sad_margin,-3.824039456744989,-3.8841782464956243,-3.7609255436186992
0.5,common_shift,0.2105777052541574,0.198257989436388,0.22625480076919
0.5,happy_shift,0.19837295015652975,0.18396146179487308,0.2142737274368604
0.5,sad_shift,0.22278246035178503,0.2036502627034982,0.2439966599146525
0.5,roc_auc,0.5070529513888888,0.4636501736111111,0.5529513888888888
1.0,accuracy,0.5,0.5,0.5
1.0,happy_prediction_fraction,0.0,0.0,0.0
1.0,pair_direction_fraction,0.4895833333333333,0.375,0.6041666666666666
1.0,pair_separation,0.032580854992071785,-0.041321011446416374,0.10684982320914665
1.0,happy_margin,-4.014241062104702,-4.061753812308113,-3.968992678758999
1.0,sad_margin,-4.046821917096774,-4.115537151942651,-3.9753543072069686
1.0,common_shift,0.0,0.0,0.0
1.0,happy_shift,0.0,0.0,0.0
1.0,sad_shift,0.0,0.0,0.0
1.0,roc_auc,0.5211588541666666,0.4761284722222222,0.5676025390624999
1.5,accuracy,0.5,0.5,0.5
1.5,happy_prediction_fraction,0.0,0.0,0.0
1.5,pair_direction_fraction,0.5208333333333334,0.40625,0.625
1.5,pair_separation,0.05431122084458669,-0.02700016442686319,0.13576327835520105
1.5,happy_margin,-4.069032748540242,-4.123605120802919,-4.019578195611635
1.5,sad_margin,-4.1233439693848295,-4.203236728223662,-4.043877073874076
1.5,common_shift,-0.06565686936179797,-0.07889424310997128,-0.05460654559234778
1.5,happy_shift,-0.05479168643554052,-0.06962463421126207,-0.040685697707037144
1.5,sad_shift,-0.07652205228805542,-0.09556342357148727,-0.058795793913304806
1.5,roc_auc,0.5372178819444444,0.4900173611111111,0.5821397569444444
2.0,accuracy,0.5,0.5,0.5
2.0,happy_prediction_fraction,0.0,0.0,0.0
2.0,pair_direction_fraction,0.5520833333333334,0.4375,0.6666666666666666
2.0,pair_separation,0.07359193017085393,-0.01869162768125534,0.16668053269386285
2.0,happy_margin,-4.014451051751773,-4.078169717018803,-3.956914478105803
2.0,sad_margin,-4.0880429819226265,-4.177647886238992,-4.000739358613889
2.0,common_shift,-0.02071552723646164,-0.04582907057677706,0.0009633736684918326
2.0,happy_shift,-0.0002099896470705668,-0.030550057316819826,0.028605427468816426
2.0,sad_shift,-0.041221064825852714,-0.07898499816656113,-0.005435244180262101
2.0,roc_auc,0.5492621527777778,0.49923773871527777,0.5982042100694444
