group_type,group,n_pairs,mean_delta_C,positive_fraction
actor,01,4,0.12621259689331055,1.0
actor,02,4,-0.06273317337036133,0.5
actor,03,4,-0.0021480917930603027,0.5
actor,04,4,0.1599053144454956,1.0
actor,05,4,-0.03229963779449463,0.25
actor,06,4,0.14692246913909912,1.0
actor,07,4,-0.013966917991638184,0.5
actor,08,4,-0.047498226165771484,0.25
actor,09,4,0.09124523401260376,0.5
actor,10,4,-0.14482277631759644,0.25
actor,11,4,0.14854323863983154,0.75
actor,12,4,-0.012914836406707764,0.75
actor,13,4,0.0010818243026733398,0.25
actor,14,4,0.08607888221740723,0.75
actor,15,4,0.059168875217437744,0.75
actor,16,4,0.030527949333190918,0.5
actor,17,4,0.0029945969581604004,0.5
actor,18,4,-0.10098206996917725,0.25
actor,19,4,0.3929463028907776,1.0
actor,20,4,-0.025882244110107422,0.75
actor,21,4,0.06660783290863037,0.75
actor,22,4,0.07435739040374756,0.75
actor,23,4,0.04406905174255371,0.5
actor,24,4,0.19410324096679688,0.75
statement,01,48,0.06546944876511891,0.7083333333333334
statement,02,48,0.03299028674761454,0.5208333333333334
