pair_id,actor,statement,repetition,C_happy,C_sad,delta_C,positive
pair_0000,01,01,01,-0.4813556671142578,-0.504676103591919,0.023320436477661133,True
pair_0001,01,01,02,-0.5668931007385254,-0.5941009521484375,0.02720785140991211,True
pair_0002,01,02,01,-0.5637979507446289,-0.7252562046051025,0.16145825386047363,True
pair_0003,01,02,02,-0.5505926609039307,-0.843456506729126,0.2928638458251953,True
pair_0004,02,01,01,-0.44209837913513184,-0.5248990058898926,0.08280062675476074,True
pair_0005,02,01,02,-0.38678646087646484,-0.5494384765625,0.16265201568603516,True
pair_0006,02,02,01,-0.9018678665161133,-0.7778148651123047,-0.1240530014038086,False
pair_0007,02,02,02,-0.9493043422698975,-0.5769720077514648,-0.3723323345184326,False
pair_0008,03,01,01,-0.4115152359008789,-0.4986591339111328,0.0871438980102539,True
pair_0009,03,01,02,-0.37518787384033203,-0.4296836853027344,0.054495811462402344,True
pair_0010,03,02,01,-0.7153799533843994,-0.689971923828125,-0.025408029556274414,False
pair_0011,03,02,02,-0.7492806911468506,-0.6244566440582275,-0.12482404708862305,False
pair_0012,04,01,01,-0.46602821350097656,-0.797518253326416,0.33149003982543945,True
pair_0013,04,01,02,-0.45636749267578125,-0.5386238098144531,0.08225631713867188,True
pair_0014,04,02,01,-0.609778881072998,-0.6726744174957275,0.06289553642272949,True
pair_0015,04,02,02,-0.7929482460021973,-0.9559276103973389,0.1629793643951416,True
pair_0016,05,01,01,-0.5907390117645264,-0.4645061492919922,-0.12623286247253418,False
pair_0017,05,01,02,-0.4461402893066406,-0.5021138191223145,0.05597352981567383,True
pair_0018,05,02,01,-0.6484882831573486,-0.6376330852508545,-0.01085519790649414,False
pair_0019,05,02,02,-0.6728041172027588,-0.6247200965881348,-0.04808402061462402,False
pair_0020,06,01,01,-0.27103471755981445,-0.4540872573852539,0.18305253982543945,True
pair_0021,06,01,02,-0.4110531806945801,-0.4650149345397949,0.053961753845214844,True
pair_0022,06,02,01,-0.5085058212280273,-0.7406735420227051,0.23216772079467773,True
pair_0023,06,02,02,-0.5026414394378662,-0.6211493015289307,0.11850786209106445,True
pair_0024,07,01,01,-0.44095945358276367,-0.39595746994018555,-0.045001983642578125,False
pair_0025,07,01,02,-0.44971561431884766,-0.4593949317932129,0.009679317474365234,True
pair_0026,07,02,01,-0.626784086227417,-0.5526015758514404,-0.07418251037597656,False
pair_0027,07,02,02,-0.626784086227417,-0.6804215908050537,0.05363750457763672,True
pair_0028,08,01,01,-0.3407113552093506,-0.6654105186462402,0.32469916343688965,True
pair_0029,08,01,02,-0.5221614837646484,-0.5117087364196777,-0.010452747344970703,False
pair_0030,08,02,01,-0.6446247100830078,-0.19574522972106934,-0.4488794803619385,False
pair_0031,08,02,02,-0.6611037254333496,-0.6057438850402832,-0.055359840393066406,False
pair_0032,09,01,01,-0.8195064067840576,-0.6420764923095703,-0.1774299144744873,False
pair_0033,09,01,02,-0.8715543746948242,-0.9358844757080078,0.0643301010131836,True
pair_0034,09,02,01,-1.0330517292022705,-1.019392490386963,-0.013659238815307617,False
pair_0035,09,02,02,-0.7434113025665283,-1.2351512908935547,0.49173998832702637,True
pair_0036,10,01,01,-0.5529944896697998,-0.5175504684448242,-0.035444021224975586,False
pair_0037,10,01,02,-0.40775442123413086,-0.5332908630371094,0.12553644180297852,True
pair_0038,10,02,01,-0.9731137752532959,-0.4964175224304199,-0.476696252822876,False
pair_0039,10,02,02,-0.6967566013336182,-0.5040693283081055,-0.1926872730255127,False
pair_0040,11,01,01,-0.2917501926422119,-0.6038370132446289,0.312086820602417,True
pair_0041,11,01,02,-0.6699619293212891,-0.6120395660400391,-0.05792236328125,False
pair_0042,11,02,01,-0.7202267646789551,-0.8732495307922363,0.15302276611328125,True
pair_0043,11,02,02,-0.6694977283477783,-0.8564834594726562,0.18698573112487793,True
pair_0044,12,01,01,-0.3483095169067383,-0.47727298736572266,0.12896347045898438,True
pair_0045,12,01,02,-0.4669342041015625,-0.5178875923156738,0.05095338821411133,True
pair_0046,12,02,01,-0.7860195636749268,-0.7944326400756836,0.008413076400756836,True
pair_0047,12,02,02,-0.929520845413208,-0.6895315647125244,-0.2399892807006836,False
pair_0048,13,01,01,-0.4169611930847168,-0.40981626510620117,-0.007144927978515625,False
pair_0049,13,01,02,-0.4627268314361572,-0.4575662612915039,-0.00516057014465332,False
pair_0050,13,02,01,-0.831505537033081,-0.7923300266265869,-0.03917551040649414,False
pair_0051,13,02,02,-0.6633651256561279,-0.7191734313964844,0.055808305740356445,True
pair_0052,14,01,01,-0.5179541110992432,-0.4408683776855469,-0.07708573341369629,False
pair_0053,14,01,02,-0.34787726402282715,-0.5168924331665039,0.16901516914367676,True
pair_0054,14,02,01,-0.6822998523712158,-0.729569673538208,0.04726982116699219,True
pair_0055,14,02,02,-0.5912070274353027,-0.796323299407959,0.20511627197265625,True
pair_0056,15,01,01,-0.5921945571899414,-0.2769758701324463,-0.3152186870574951,False
pair_0057,15,01,02,-0.40552568435668945,-0.4764106273651123,0.07088494300842285,True
pair_0058,15,02,01,-0.6253206729888916,-0.7232503890991211,0.09792971611022949,True
pair_0059,15,02,02,-0.5288529396057129,-0.9119324684143066,0.38307952880859375,True
pair_0060,16,01,01,-0.4695911407470703,-0.5497593879699707,0.08016824722290039,True
pair_0061,16,01,02,-0.31047821044921875,-0.46544551849365234,0.1549673080444336,True
pair_0062,16,02,01,-0.7452089786529541,-0.727886438369751,-0.017322540283203125,False
pair_0063,16,02,02,-0.7267487049102783,-0.6310474872589111,-0.09570121765136719,False
pair_0064,17,01,01,-0.48076963424682617,-0.39557743072509766,-0.08519220352172852,False
pair_0065,17,01,02,-0.34276866912841797,-0.3751957416534424,0.032427072525024414,True
pair_0066,17,02,01,-0.8085265159606934,-0.960620641708374,0.15209412574768066,True
pair_0067,17,02,02,-0.7760105133056641,-0.6886599063873291,-0.08735060691833496,False
pair_0068,18,01,01,-0.5164527893066406,-0.21955084800720215,-0.2969019412994385,False
pair_0069,18,01,02,-0.43637609481811523,-0.3660907745361328,-0.07028532028198242,False
pair_0070,18,02,01,-0.8213744163513184,-0.6835911273956299,-0.13778328895568848,False
pair_0071,18,02,02,-0.48912549018859863,-0.590167760848999,0.10104227066040039,True
pair_0072,19,01,01,-0.3689250946044922,-0.5830035209655762,0.21407842636108398,True
pair_0073,19,01,02,-0.3222837448120117,-0.5614748001098633,0.23919105529785156,True
pair_0074,19,02,01,-0.5749626159667969,-1.1297988891601562,0.5548362731933594,True
pair_0075,19,02,02,-0.46572303771972656,-1.029402494430542,0.5636794567108154,True
pair_0076,20,01,01,-0.3904132843017578,-0.4408278465270996,0.0504145622253418,True
pair_0077,20,01,02,-0.4959533214569092,-0.655428409576416,0.15947508811950684,True
pair_0078,20,02,01,-0.7316184043884277,-0.3252098560333252,-0.40640854835510254,False
pair_0079,20,02,02,-0.8536920547485352,-0.9466819763183594,0.09298992156982422,True
pair_0080,21,01,01,-0.35649824142456055,-0.5674581527709961,0.21095991134643555,True
pair_0081,21,01,02,-0.4756951332092285,-0.5287265777587891,0.05303144454956055,True
pair_0082,21,02,01,-0.6377103328704834,-0.7103245258331299,0.07261419296264648,True
pair_0083,21,02,02,-0.869452714920044,-0.7992784976959229,-0.0701742172241211,False
pair_0084,22,01,01,-0.45879364013671875,-0.5002713203430176,0.04147768020629883,True
pair_0085,22,01,02,-0.33376502990722656,-0.5126287937164307,0.1788637638092041,True
pair_0086,22,02,01,-0.7599027156829834,-0.9197301864624023,0.15982747077941895,True
pair_0087,22,02,02,-0.69327712059021,-0.6105377674102783,-0.08273935317993164,False
pair_0088,23,01,01,-0.3804588317871094,-0.6035895347595215,0.2231307029724121,True
pair_0089,23,01,02,-0.5528364181518555,-0.45415186882019043,-0.09868454933166504,False
pair_0090,23,02,01,-0.7752330303192139,-0.6805052757263184,-0.09472775459289551,False
pair_0091,23,02,02,-0.5588328838348389,-0.7053906917572021,0.14655780792236328,True
pair_0092,24,01,01,-0.28499698638916016,-0.5805048942565918,0.29550790786743164,True
pair_0093,24,01,02,-0.4643101692199707,-0.6808047294616699,0.21649456024169922,True
pair_0094,24,02,01,-0.7514383792877197,-1.1109304428100586,0.35949206352233887,True
pair_0095,24,02,02,-0.8277091979980469,-0.7326276302337646,-0.09508156776428223,False
