layer,regime,fold,condition,n_train,n_test,n_cal_source,n_cal_target,accuracy,roc_auc,offset_norm,offset_probe_projection,score_shift_mean,raw_intercept
18,statement,actor_None_statement_01,raw,96,96,96,96,0.4895833333333333,0.55859375,10.766000881863835,-9.629843261221248,0.0,-28.007664655801534
18,statement,actor_None_statement_01,source_center_noop,96,96,96,96,0.4895833333333333,0.55859375,10.766000881863835,-9.629843261221248,0.0,-28.007664655801534
18,statement,actor_None_statement_01,transductive_center,96,96,96,96,0.5208333333333334,0.55859375,10.766000881863835,-9.629843261221248,9.62984326122125,-28.007664655801534
18,statement,actor_None_statement_02,raw,96,96,96,96,0.5,0.5811631944444444,10.766000881863835,-41.97846373738729,0.0,-34.88321786266415
18,statement,actor_None_statement_02,source_center_noop,96,96,96,96,0.5,0.5811631944444444,10.766000881863835,-41.97846373738729,0.0,-34.88321786266415
18,statement,actor_None_statement_02,transductive_center,96,96,96,96,0.5729166666666666,0.5811631944444444,10.766000881863835,-41.97846373738729,41.978463737387294,-34.88321786266415
18,joint,actor_01_statement_01,raw,92,4,92,92,0.5,0.25,10.754891440463808,-3.2071747535071164,0.0,-27.71471667864608
18,joint,actor_01_statement_01,source_center_noop,92,4,92,92,0.5,0.25,10.754891440463808,-3.2071747535071164,0.0,-27.71471667864608
18,joint,actor_01_statement_01,independent_center,92,4,92,92,0.5,0.25,10.754891440463808,-3.2071747535071164,3.2071747535071164,-27.71471667864608
18,joint,actor_01_statement_01,independent_rank1,92,4,92,92,0.5,0.25,10.754891440463808,-3.2071747535071164,3.3326733342487866,-27.71471667864608
18,joint,actor_01_statement_02,raw,92,4,92,92,0.5,0.75,10.754891440463808,-41.76259355009505,0.0,-29.244409419821643
18,joint,actor_01_statement_02,source_center_noop,92,4,92,92,0.5,0.75,10.754891440463808,-41.76259355009505,0.0,-29.244409419821643
18,joint,actor_01_statement_02,independent_center,92,4,92,92,0.75,0.75,10.754891440463808,-41.76259355009505,41.76259355009505,-29.244409419821643
18,joint,actor_01_statement_02,independent_rank1,92,4,92,92,0.5,0.75,10.754891440463808,-41.76259355009505,42.243112685619934,-29.244409419821643
18,joint,actor_02_statement_01,raw,92,4,92,92,0.5,0.25,10.761937933687964,-11.514572226174328,0.0,-26.467134763041884
18,joint,actor_02_statement_01,source_center_noop,92,4,92,92,0.5,0.25,10.761937933687964,-11.514572226174328,0.0,-26.467134763041884
18,joint,actor_02_statement_01,independent_center,92,4,92,92,0.25,0.25,10.761937933687964,-11.514572226174328,11.514572226174328,-26.467134763041884
18,joint,actor_02_statement_01,independent_rank1,92,4,92,92,0.25,0.0,10.761937933687964,-11.514572226174328,11.392003775966241,-26.467134763041884
18,joint,actor_02_statement_02,raw,92,4,92,92,0.5,0.25,10.761937933687964,-47.28326409065762,0.0,-39.26427281377377
18,joint,actor_02_statement_02,source_center_noop,92,4,92,92,0.5,0.25,10.761937933687964,-47.28326409065762,0.0,-39.26427281377377
18,joint,actor_02_statement_02,independent_center,92,4,92,92,0.5,0.25,10.761937933687964,-47.28326409065762,47.28326409065762,-39.26427281377377
18,joint,actor_02_statement_02,independent_rank1,92,4,92,92,0.25,0.25,10.761937933687964,-47.28326409065762,48.3505414020247,-39.26427281377377
18,joint,actor_03_statement_01,raw,92,4,92,92,0.5,0.25,10.750525055985385,-11.255525887201669,0.0,-29.219926257105552
18,joint,actor_03_statement_01,source_center_noop,92,4,92,92,0.5,0.25,10.750525055985385,-11.255525887201669,0.0,-29.219926257105552
18,joint,actor_03_statement_01,independent_center,92,4,92,92,0.25,0.25,10.750525055985385,-11.255525887201669,11.255525887201669,-29.219926257105552
18,joint,actor_03_statement_01,independent_rank1,92,4,92,92,0.25,0.0,10.750525055985385,-11.255525887201669,11.55154515048195,-29.219926257105552
18,joint,actor_03_statement_02,raw,92,4,92,92,0.5,0.0,10.750525055985385,-42.4047507845921,0.0,-32.72721303299647
18,joint,actor_03_statement_02,source_center_noop,92,4,92,92,0.5,0.0,10.750525055985385,-42.4047507845921,0.0,-32.72721303299647
18,joint,actor_03_statement_02,independent_center,92,4,92,92,0.0,0.0,10.750525055985385,-42.4047507845921,42.4047507845921,-32.72721303299647
18,joint,actor_03_statement_02,independent_rank1,92,4,92,92,0.5,0.0,10.750525055985385,-42.4047507845921,44.93506472509907,-32.72721303299647
18,joint,actor_04_statement_01,raw,92,4,92,92,0.5,0.5,10.764938492320441,-12.086163830912483,0.0,-26.428971560072668
18,joint,actor_04_statement_01,source_center_noop,92,4,92,92,0.5,0.5,10.764938492320441,-12.086163830912483,0.0,-26.428971560072668
18,joint,actor_04_statement_01,independent_center,92,4,92,92,0.5,0.5,10.764938492320441,-12.086163830912483,12.086163830912483,-26.428971560072668
18,joint,actor_04_statement_01,independent_rank1,92,4,92,92,0.5,0.5,10.764938492320441,-12.086163830912483,11.839097258987332,-26.428971560072668
18,joint,actor_04_statement_02,raw,92,4,92,92,0.5,1.0,10.764938492320441,-37.01803502107276,0.0,-34.890753584340985
18,joint,actor_04_statement_02,source_center_noop,92,4,92,92,0.5,1.0,10.764938492320441,-37.01803502107276,0.0,-34.890753584340985
18,joint,actor_04_statement_02,independent_center,92,4,92,92,1.0,1.0,10.764938492320441,-37.01803502107276,37.01803502107276,-34.890753584340985
18,joint,actor_04_statement_02,independent_rank1,92,4,92,92,0.75,1.0,10.764938492320441,-37.01803502107276,37.52670379542421,-34.890753584340985
18,joint,actor_05_statement_01,raw,92,4,92,92,0.5,0.5,10.783329912203998,-13.164192061251677,0.0,-26.522462807387402
18,joint,actor_05_statement_01,source_center_noop,92,4,92,92,0.5,0.5,10.783329912203998,-13.164192061251677,0.0,-26.522462807387402
18,joint,actor_05_statement_01,independent_center,92,4,92,92,0.5,0.5,10.783329912203998,-13.164192061251677,13.164192061251677,-26.522462807387402
18,joint,actor_05_statement_01,independent_rank1,92,4,92,92,0.5,0.75,10.783329912203998,-13.164192061251677,12.287355526774654,-26.522462807387402
18,joint,actor_05_statement_02,raw,92,4,92,92,0.5,1.0,10.783329912203998,-43.615613979873224,0.0,-37.27912298776945
18,joint,actor_05_statement_02,source_center_noop,92,4,92,92,0.5,1.0,10.783329912203998,-43.615613979873224,0.0,-37.27912298776945
18,joint,actor_05_statement_02,independent_center,92,4,92,92,0.75,1.0,10.783329912203998,-43.615613979873224,43.615613979873224,-37.27912298776945
18,joint,actor_05_statement_02,independent_rank1,92,4,92,92,0.75,1.0,10.783329912203998,-43.615613979873224,43.26230271288596,-37.27912298776945
18,joint,actor_06_statement_01,raw,92,4,92,92,0.5,1.0,10.773658664721529,-11.4177847839778,0.0,-30.36767041924938
18,joint,actor_06_statement_01,source_center_noop,92,4,92,92,0.5,1.0,10.773658664721529,-11.4177847839778,0.0,-30.36767041924938
18,joint,actor_06_statement_01,independent_center,92,4,92,92,0.75,1.0,10.773658664721529,-11.4177847839778,11.4177847839778,-30.36767041924938
18,joint,actor_06_statement_01,independent_rank1,92,4,92,92,0.75,1.0,10.773658664721529,-11.4177847839778,10.778728863469597,-30.36767041924938
18,joint,actor_06_statement_02,raw,92,4,92,92,0.5,1.0,10.773658664721529,-43.91871244419464,0.0,-28.48683384164406
18,joint,actor_06_statement_02,source_center_noop,92,4,92,92,0.5,1.0,10.773658664721529,-43.91871244419464,0.0,-28.48683384164406
18,joint,actor_06_statement_02,independent_center,92,4,92,92,0.75,1.0,10.773658664721529,-43.91871244419464,43.91871244419464,-28.48683384164406
18,joint,actor_06_statement_02,independent_rank1,92,4,92,92,0.5,0.25,10.773658664721529,-43.91871244419464,44.40672277879022,-28.48683384164406
18,joint,actor_07_statement_01,raw,92,4,92,92,0.5,0.75,10.777810348908881,-6.29997436032261,0.0,-30.153252578417842
18,joint,actor_07_statement_01,source_center_noop,92,4,92,92,0.5,0.75,10.777810348908881,-6.29997436032261,0.0,-30.153252578417842
18,joint,actor_07_statement_01,independent_center,92,4,92,92,0.5,0.75,10.777810348908881,-6.29997436032261,6.29997436032261,-30.153252578417842
18,joint,actor_07_statement_01,independent_rank1,92,4,92,92,0.5,0.75,10.777810348908881,-6.29997436032261,5.950959070486584,-30.153252578417842
18,joint,actor_07_statement_02,raw,92,4,92,92,0.5,0.0,10.777810348908881,-35.153315021601415,0.0,-36.49886664805662
18,joint,actor_07_statement_02,source_center_noop,92,4,92,92,0.5,0.0,10.777810348908881,-35.153315021601415,0.0,-36.49886664805662
18,joint,actor_07_statement_02,independent_center,92,4,92,92,0.5,0.0,10.777810348908881,-35.153315021601415,35.153315021601415,-36.49886664805662
18,joint,actor_07_statement_02,independent_rank1,92,4,92,92,0.5,0.0,10.777810348908881,-35.153315021601415,34.624902753215515,-36.49886664805662
18,joint,actor_08_statement_01,raw,92,4,92,92,0.5,1.0,10.872178251076333,-17.556174124537165,0.0,-38.93282675609304
18,joint,actor_08_statement_01,source_center_noop,92,4,92,92,0.5,1.0,10.872178251076333,-17.556174124537165,0.0,-38.93282675609304
18,joint,actor_08_statement_01,independent_center,92,4,92,92,0.5,1.0,10.872178251076333,-17.556174124537165,17.556174124537165,-38.93282675609304
18,joint,actor_08_statement_01,independent_rank1,92,4,92,92,0.5,1.0,10.872178251076333,-17.556174124537165,16.401238376771687,-38.93282675609304
18,joint,actor_08_statement_02,raw,92,4,92,92,0.5,1.0,10.872178251076333,-44.961040137238605,0.0,-27.614767699145762
18,joint,actor_08_statement_02,source_center_noop,92,4,92,92,0.5,1.0,10.872178251076333,-44.961040137238605,0.0,-27.614767699145762
