layer,regime,condition,metric,mean,ci_low,ci_high
18,statement,raw,accuracy,0.4947916666666667,0.484375,0.5
18,statement,raw,roc_auc,0.53515625,0.4983696831597222,0.5731336805555556
18,statement,raw,mean_within_fold_auc,0.5698784722222222,,
18,statement,source_center_noop,accuracy,0.4947916666666667,0.484375,0.5
18,statement,source_center_noop,roc_auc,0.53515625,0.4983696831597222,0.5731336805555556
18,statement,source_center_noop,mean_within_fold_auc,0.5698784722222222,,
18,statement,transductive_center,accuracy,0.546875,0.4791666666666667,0.6145833333333334
18,statement,transductive_center,roc_auc,0.5749782986111112,0.5003255208333334,0.6527777777777778
18,statement,transductive_center,mean_within_fold_auc,0.5698784722222222,,
18,joint,raw,accuracy,0.5052083333333334,0.5,0.515625
18,joint,raw,roc_auc,0.5188802083333334,0.4870876736111111,0.5531684027777778
18,joint,raw,mean_within_fold_auc,0.546875,,
18,joint,source_center_noop,accuracy,0.5052083333333334,0.5,0.515625
18,joint,source_center_noop,roc_auc,0.5188802083333334,0.4870876736111111,0.5531684027777778
18,joint,source_center_noop,mean_within_fold_auc,0.546875,,
18,joint,independent_center,accuracy,0.5416666666666666,0.4739583333333333,0.609375
18,joint,independent_center,roc_auc,0.5521918402777778,0.4782958984375,0.6252197265624999
18,joint,independent_center,mean_within_fold_auc,0.546875,,
18,joint,independent_rank1,accuracy,0.5520833333333334,0.4947916666666667,0.609375
18,joint,independent_rank1,roc_auc,0.560546875,0.4854573567708333,0.6312961154513889
18,joint,independent_rank1,mean_within_fold_auc,0.5572916666666666,,
19,statement,raw,accuracy,0.5729166666666666,0.515625,0.6354166666666666
19,statement,raw,roc_auc,0.6138237847222222,0.5609809027777778,0.6651475694444444
19,statement,raw,mean_within_fold_auc,0.6848958333333334,,
19,statement,source_center_noop,accuracy,0.5729166666666666,0.515625,0.6354166666666666
19,statement,source_center_noop,roc_auc,0.6138237847222222,0.5609809027777778,0.6651475694444444
19,statement,source_center_noop,mean_within_fold_auc,0.6848958333333334,,
19,statement,transductive_center,accuracy,0.625,0.5364583333333334,0.7083333333333334
19,statement,transductive_center,roc_auc,0.6810980902777778,0.5971137152777778,0.7575981987847222
19,statement,transductive_center,mean_within_fold_auc,0.6848958333333334,,
19,joint,raw,accuracy,0.5833333333333334,0.5416666666666666,0.625
19,joint,raw,roc_auc,0.5916883680555556,0.5443793402777778,0.6416015625
19,joint,raw,mean_within_fold_auc,0.6614583333333334,,
19,joint,source_center_noop,accuracy,0.5833333333333334,0.5416666666666666,0.625
19,joint,source_center_noop,roc_auc,0.5916883680555556,0.5443793402777778,0.6416015625
19,joint,source_center_noop,mean_within_fold_auc,0.6614583333333334,,
19,joint,independent_center,accuracy,0.5885416666666666,0.5052083333333334,0.6614583333333334
19,joint,independent_center,roc_auc,0.6500651041666666,0.5680311414930556,0.7235270182291667
19,joint,independent_center,mean_within_fold_auc,0.6614583333333334,,
19,joint,independent_rank1,accuracy,0.5989583333333334,0.5208333333333334,0.671875
19,joint,independent_rank1,roc_auc,0.6484375,0.5644504123263889,0.7253689236111112
19,joint,independent_rank1,mean_within_fold_auc,0.671875,,
20,statement,raw,accuracy,0.5,0.484375,0.515625
20,statement,raw,roc_auc,0.5155164930555556,0.4704861111111111,0.5619574652777778
20,statement,raw,mean_within_fold_auc,0.5266927083333333,,
20,statement,source_center_noop,accuracy,0.5,0.484375,0.515625
20,statement,source_center_noop,roc_auc,0.5155164930555556,0.4704861111111111,0.5619574652777778
20,statement,source_center_noop,mean_within_fold_auc,0.5266927083333333,,
20,statement,transductive_center,accuracy,0.5260416666666666,0.4479166666666667,0.5989583333333334
20,statement,transductive_center,roc_auc,0.52734375,0.44129503038194445,0.6156684027777778
20,statement,transductive_center,mean_within_fold_auc,0.5266927083333333,,
20,joint,raw,accuracy,0.5,0.484375,0.515625
20,joint,raw,roc_auc,0.5109592013888888,0.4750434027777778,0.5461154513888888
20,joint,raw,mean_within_fold_auc,0.5364583333333334,,
20,joint,source_center_noop,accuracy,0.5,0.484375,0.515625
20,joint,source_center_noop,roc_auc,0.5109592013888888,0.4750434027777778,0.5461154513888888
20,joint,source_center_noop,mean_within_fold_auc,0.5364583333333334,,
20,joint,independent_center,accuracy,0.515625,0.4322916666666667,0.59375
20,joint,independent_center,roc_auc,0.5257161458333334,0.44129503038194445,0.6107883029513889
20,joint,independent_center,mean_within_fold_auc,0.5364583333333334,,
20,joint,independent_rank1,accuracy,0.5677083333333334,0.4895833333333333,0.6458333333333334
20,joint,independent_rank1,roc_auc,0.5483940972222222,0.4600613064236111,0.63671875
20,joint,independent_rank1,mean_within_fold_auc,0.5520833333333334,,
21,statement,raw,accuracy,0.5,0.5,0.5
21,statement,raw,roc_auc,0.5192057291666666,0.4753689236111111,0.564453125
21,statement,raw,mean_within_fold_auc,0.5384114583333334,,
21,statement,source_center_noop,accuracy,0.5,0.5,0.5
21,statement,source_center_noop,roc_auc,0.5192057291666666,0.4753689236111111,0.564453125
21,statement,source_center_noop,mean_within_fold_auc,0.5384114583333334,,
21,statement,transductive_center,accuracy,0.5104166666666666,0.4375,0.5885416666666666
21,statement,transductive_center,roc_auc,0.5047743055555556,0.4242621527777778,0.5853976779513889
21,statement,transductive_center,mean_within_fold_auc,0.5384114583333334,,
21,joint,raw,accuracy,0.4947916666666667,0.484375,0.5
21,joint,raw,roc_auc,0.5064019097222222,0.4840494791666667,0.5295138888888888
21,joint,raw,mean_within_fold_auc,0.5260416666666666,,
21,joint,source_center_noop,accuracy,0.4947916666666667,0.484375,0.5
21,joint,source_center_noop,roc_auc,0.5064019097222222,0.4840494791666667,0.5295138888888888
21,joint,source_center_noop,mean_within_fold_auc,0.5260416666666666,,
21,joint,independent_center,accuracy,0.4895833333333333,0.41653645833333347,0.5677083333333334
21,joint,independent_center,roc_auc,0.486328125,0.4095024956597222,0.5647786458333334
21,joint,independent_center,mean_within_fold_auc,0.5260416666666666,,
21,joint,independent_rank1,accuracy,0.5052083333333334,0.4322916666666667,0.578125
