sample_id,pair_id,actor,statement,repetition,intensity,emotion,clean_margin
pair_0000_happy,pair_0000,01,01,01,01,happy,-4.591665744781494
pair_0000_sad,pair_0000,01,01,01,01,sad,-4.472484111785889
pair_0001_happy,pair_0001,01,01,02,01,happy,-4.798401832580566
pair_0001_sad,pair_0001,01,01,02,01,sad,-4.81397819519043
pair_0002_happy,pair_0002,01,02,01,01,happy,-3.534588098526001
pair_0002_sad,pair_0002,01,02,01,01,sad,-3.9419286251068115
pair_0003_happy,pair_0003,01,02,02,01,happy,-3.50520396232605
pair_0003_sad,pair_0003,01,02,02,01,sad,-3.6038966178894043
pair_0004_happy,pair_0004,02,01,01,01,happy,-4.263078689575195
pair_0004_sad,pair_0004,02,01,01,01,sad,-4.868228912353516
pair_0005_happy,pair_0005,02,01,02,01,happy,-4.474981307983398
pair_0005_sad,pair_0005,02,01,02,01,sad,-4.6972336769104
pair_0006_happy,pair_0006,02,02,01,01,happy,-3.5094082355499268
pair_0006_sad,pair_0006,02,02,01,01,sad,-3.7750349044799805
pair_0007_happy,pair_0007,02,02,02,01,happy,-3.4080164432525635
pair_0007_sad,pair_0007,02,02,02,01,sad,-3.4811511039733887
pair_0008_happy,pair_0008,03,01,01,01,happy,-4.699073791503906
pair_0008_sad,pair_0008,03,01,01,01,sad,-4.5847086906433105
pair_0009_happy,pair_0009,03,01,02,01,happy,-4.718820571899414
pair_0009_sad,pair_0009,03,01,02,01,sad,-4.377320289611816
pair_0010_happy,pair_0010,03,02,01,01,happy,-3.694944143295288
pair_0010_sad,pair_0010,03,02,01,01,sad,-3.3699402809143066
pair_0011_happy,pair_0011,03,02,02,01,happy,-3.5249128341674805
pair_0011_sad,pair_0011,03,02,02,01,sad,-3.3314507007598877
pair_0012_happy,pair_0012,04,01,01,01,happy,-4.602723121643066
pair_0012_sad,pair_0012,04,01,01,01,sad,-4.866759777069092
pair_0013_happy,pair_0013,04,01,02,01,happy,-4.569589614868164
pair_0013_sad,pair_0013,04,01,02,01,sad,-4.604321002960205
