layer,regime,fold,n_train,n_test,accuracy,roc_auc,raw_score_parity_max
18,speaker,actor_01_statement_None,184,8,0.625,0.6875,6.328271240363392e-15
18,speaker,actor_02_statement_None,184,8,0.875,1.0,1.2878587085651816e-14
18,speaker,actor_03_statement_None,184,8,0.75,0.875,1.4210854715202004e-14
18,speaker,actor_04_statement_None,184,8,0.75,0.75,7.993605777301127e-15
18,speaker,actor_05_statement_None,184,8,0.625,0.5,8.881784197001252e-15
18,speaker,actor_06_statement_None,184,8,0.75,0.75,1.5987211554602254e-14
18,speaker,actor_07_statement_None,184,8,0.875,0.9375,8.215650382226158e-15
18,speaker,actor_08_statement_None,184,8,0.625,0.6875,7.105427357601002e-15
18,speaker,actor_09_statement_None,184,8,0.5,0.5,1.509903313490213e-14
18,speaker,actor_10_statement_None,184,8,0.625,0.5625,1.199040866595169e-14
18,speaker,actor_11_statement_None,184,8,0.875,0.8125,1.2878587085651816e-14
18,speaker,actor_12_statement_None,184,8,0.5,0.625,1.2212453270876722e-14
18,speaker,actor_13_statement_None,184,8,0.75,0.9375,9.43689570931383e-15
18,speaker,actor_14_statement_None,184,8,0.5,0.4375,2.3092638912203256e-14
18,speaker,actor_15_statement_None,184,8,0.75,0.75,7.549516567451064e-15
18,speaker,actor_16_statement_None,184,8,0.625,0.75,1.1324274851176597e-14
18,speaker,actor_17_statement_None,184,8,0.5,0.4375,1.021405182655144e-14
18,speaker,actor_18_statement_None,184,8,0.375,0.375,1.0547118733938987e-14
18,speaker,actor_19_statement_None,184,8,0.625,0.6875,1.7763568394002505e-14
18,speaker,actor_20_statement_None,184,8,0.625,0.4375,1.1102230246251565e-14
18,speaker,actor_21_statement_None,184,8,0.5,0.75,1.0658141036401503e-14
18,speaker,actor_22_statement_None,184,8,0.875,0.9375,8.43769498715119e-15
18,speaker,actor_23_statement_None,184,8,0.875,1.0,1.865174681370263e-14
18,speaker,actor_24_statement_None,184,8,0.625,0.625,1.124100812432971e-14
18,statement,actor_None_statement_01,96,96,0.4895833333333333,0.55859375,3.019806626980426e-14
18,statement,actor_None_statement_02,96,96,0.5,0.5811631944444444,4.973799150320701e-14
18,joint,actor_01_statement_01,92,4,0.5,0.25,1.2434497875801753e-14
18,joint,actor_01_statement_02,92,4,0.5,0.75,1.4210854715202004e-14
18,joint,actor_02_statement_01,92,4,0.5,0.25,1.9539925233402755e-14
18,joint,actor_02_statement_02,92,4,0.5,0.25,2.1316282072803006e-14
18,joint,actor_03_statement_01,92,4,0.5,0.25,2.1316282072803006e-14
18,joint,actor_03_statement_02,92,4,0.5,0.0,2.1316282072803006e-14
18,joint,actor_04_statement_01,92,4,0.5,0.5,8.881784197001252e-15
18,joint,actor_04_statement_02,92,4,0.5,1.0,2.842170943040401e-14
18,joint,actor_05_statement_01,92,4,0.5,0.5,1.0658141036401503e-14
18,joint,actor_05_statement_02,92,4,0.5,1.0,2.842170943040401e-14
18,joint,actor_06_statement_01,92,4,0.5,1.0,1.9095836023552692e-14
18,joint,actor_06_statement_02,92,4,0.5,1.0,2.1316282072803006e-14
18,joint,actor_07_statement_01,92,4,0.5,0.75,1.5987211554602254e-14
18,joint,actor_07_statement_02,92,4,0.5,0.0,1.4210854715202004e-14
18,joint,actor_08_statement_01,92,4,0.5,1.0,7.105427357601002e-15
18,joint,actor_08_statement_02,92,4,0.5,1.0,3.552713678800501e-14
18,joint,actor_09_statement_01,92,4,0.5,0.0,1.1102230246251565e-14
18,joint,actor_09_statement_02,92,4,0.5,0.25,2.842170943040401e-14
18,joint,actor_10_statement_01,92,4,0.5,0.5,1.0658141036401503e-14
18,joint,actor_10_statement_02,92,4,0.5,0.25,4.973799150320701e-14
18,joint,actor_11_statement_01,92,4,0.5,0.25,2.842170943040401e-14
18,joint,actor_11_statement_02,92,4,0.5,0.5,2.1316282072803006e-14
18,joint,actor_12_statement_01,92,4,0.5,1.0,1.3211653993039363e-14
18,joint,actor_12_statement_02,92,4,0.5,0.25,2.842170943040401e-14
18,joint,actor_13_statement_01,92,4,0.5,0.5,1.8540724511240114e-14
18,joint,actor_13_statement_02,92,4,0.5,1.0,7.105427357601002e-15
18,joint,actor_14_statement_01,92,4,0.5,0.0,1.0658141036401503e-14
18,joint,actor_14_statement_02,92,4,0.5,1.0,2.1316282072803006e-14
18,joint,actor_15_statement_01,92,4,0.5,1.0,1.2434497875801753e-14
18,joint,actor_15_statement_02,92,4,0.5,0.75,2.842170943040401e-14
18,joint,actor_16_statement_01,92,4,0.75,0.75,1.5404344466674047e-14
18,joint,actor_16_statement_02,92,4,0.5,0.75,2.1316282072803006e-14
18,joint,actor_17_statement_01,92,4,0.5,0.25,1.865174681370263e-14
18,joint,actor_17_statement_02,92,4,0.5,0.25,2.1316282072803006e-14
18,joint,actor_18_statement_01,92,4,0.5,0.25,3.019806626980426e-14
18,joint,actor_18_statement_02,92,4,0.5,0.75,1.7763568394002505e-14
18,joint,actor_19_statement_01,92,4,0.5,0.5,7.105427357601002e-15
18,joint,actor_19_statement_02,92,4,0.5,0.75,1.4210854715202004e-14
18,joint,actor_20_statement_01,92,4,0.5,0.75,1.7763568394002505e-14
18,joint,actor_20_statement_02,92,4,0.5,0.25,1.4210854715202004e-14
18,joint,actor_21_statement_01,92,4,0.5,0.75,1.509903313490213e-14
18,joint,actor_21_statement_02,92,4,0.5,0.5,1.7763568394002505e-14
18,joint,actor_22_statement_01,92,4,0.5,0.0,1.7763568394002505e-14
18,joint,actor_22_statement_02,92,4,0.5,1.0,1.4210854715202004e-14
18,joint,actor_23_statement_01,92,4,0.5,1.0,2.4868995751603507e-14
18,joint,actor_23_statement_02,92,4,0.5,0.0,1.4210854715202004e-14
18,joint,actor_24_statement_01,92,4,0.5,0.5,2.5757174171303632e-14
18,joint,actor_24_statement_02,92,4,0.5,0.5,2.1316282072803006e-14
19,speaker,actor_01_statement_None,184,8,0.375,0.3125,1.5987211554602254e-14
19,speaker,actor_02_statement_None,184,8,0.75,0.8125,1.3322676295501878e-14
19,speaker,actor_03_statement_None,184,8,0.875,0.75,1.9095836023552692e-14
19,speaker,actor_04_statement_None,184,8,0.875,1.0,1.3766765505351941e-14
19,speaker,actor_05_statement_None,184,8,0.625,0.8125,1.1546319456101628e-14
19,speaker,actor_06_statement_None,184,8,0.875,0.8125,1.9984014443252818e-14
19,speaker,actor_07_statement_None,184,8,0.625,0.875,1.199040866595169e-14
19,speaker,actor_08_statement_None,184,8,0.75,0.75,8.881784197001252e-15
19,speaker,actor_09_statement_None,184,8,0.5,0.375,1.0658141036401503e-14
19,speaker,actor_10_statement_None,184,8,0.75,0.6875,1.7763568394002505e-14
19,speaker,actor_11_statement_None,184,8,1.0,1.0,1.7763568394002505e-14
19,speaker,actor_12_statement_None,184,8,0.5,0.6875,1.532107773982716e-14
19,speaker,actor_13_statement_None,184,8,0.75,0.875,1.2434497875801753e-14
19,speaker,actor_14_statement_None,184,8,0.75,0.875,2.3092638912203256e-14
19,speaker,actor_15_statement_None,184,8,0.625,0.5,1.942890293094024e-14
19,speaker,actor_16_statement_None,184,8,0.375,0.75,1.1546319456101628e-14
19,speaker,actor_17_statement_None,184,8,0.625,0.8125,1.509903313490213e-14
19,speaker,actor_18_statement_None,184,8,0.5,0.4375,7.105427357601002e-15
19,speaker,actor_19_statement_None,184,8,0.625,0.75,1.4210854715202004e-14
19,speaker,actor_20_statement_None,184,8,0.75,0.875,2.398081733190338e-14
19,speaker,actor_21_statement_None,184,8,0.5,0.8125,2.842170943040401e-14
19,speaker,actor_22_statement_None,184,8,0.875,1.0,1.509903313490213e-14
19,speaker,actor_23_statement_None,184,8,0.75,0.625,8.881784197001252e-15
19,speaker,actor_24_statement_None,184,8,0.625,0.5,1.5709655798445965e-14
19,statement,actor_None_statement_01,96,96,0.5104166666666666,0.6419270833333334,2.1316282072803006e-14
19,statement,actor_None_statement_02,96,96,0.6354166666666666,0.7278645833333334,2.7533531010703882e-14
19,joint,actor_01_statement_01,92,4,0.75,0.5,5.329070518200751e-15
19,joint,actor_01_statement_02,92,4,0.5,0.0,1.0658141036401503e-14
19,joint,actor_02_statement_01,92,4,0.5,1.0,1.1546319456101628e-14
19,joint,actor_02_statement_02,92,4,0.5,0.5,1.509903313490213e-14
19,joint,actor_03_statement_01,92,4,0.5,0.5,1.7763568394002505e-14
19,joint,actor_03_statement_02,92,4,0.5,1.0,7.105427357601002e-15
19,joint,actor_04_statement_01,92,4,0.75,1.0,1.0658141036401503e-14
19,joint,actor_04_statement_02,92,4,0.75,1.0,1.0658141036401503e-14
19,joint,actor_05_statement_01,92,4,0.5,1.0,8.881784197001252e-15
19,joint,actor_05_statement_02,92,4,0.75,1.0,2.042810365310288e-14
19,joint,actor_06_statement_01,92,4,0.5,0.75,1.0658141036401503e-14
19,joint,actor_06_statement_02,92,4,0.5,1.0,1.2212453270876722e-14
19,joint,actor_07_statement_01,92,4,0.5,0.5,8.881784197001252e-15
19,joint,actor_07_statement_02,92,4,1.0,1.0,2.6645352591003757e-14
19,joint,actor_08_statement_01,92,4,0.75,0.5,1.5987211554602254e-14
19,joint,actor_08_statement_02,92,4,0.5,0.25,1.1546319456101628e-14
19,joint,actor_09_statement_01,92,4,0.5,0.25,9.769962616701378e-15
19,joint,actor_09_statement_02,92,4,0.25,0.0,9.769962616701378e-15
19,joint,actor_10_statement_01,92,4,0.5,0.25,1.0658141036401503e-14
19,joint,actor_10_statement_02,92,4,1.0,1.0,8.881784197001252e-15
19,joint,actor_11_statement_01,92,4,0.5,0.75,1.4210854715202004e-14
19,joint,actor_11_statement_02,92,4,1.0,1.0,2.4868995751603507e-14
19,joint,actor_12_statement_01,92,4,0.5,0.5,1.4210854715202004e-14
19,joint,actor_12_statement_02,92,4,0.5,0.75,1.4432899320127035e-14
19,joint,actor_13_statement_01,92,4,0.5,1.0,8.881784197001252e-15
19,joint,actor_13_statement_02,92,4,0.75,0.75,1.3766765505351941e-14
19,joint,actor_14_statement_01,92,4,0.5,0.5,1.7763568394002505e-14
19,joint,actor_14_statement_02,92,4,1.0,1.0,7.105427357601002e-15
19,joint,actor_15_statement_01,92,4,0.5,1.0,1.0658141036401503e-14
19,joint,actor_15_statement_02,92,4,0.5,1.0,1.7763568394002505e-14
19,joint,actor_16_statement_01,92,4,0.5,0.5,8.881784197001252e-15
19,joint,actor_16_statement_02,92,4,0.5,1.0,1.9539925233402755e-14
19,joint,actor_17_statement_01,92,4,0.5,0.5,1.9317880628477724e-14
19,joint,actor_17_statement_02,92,4,0.75,0.5,1.687538997430238e-14
19,joint,actor_18_statement_01,92,4,0.5,0.0,1.5987211554602254e-14
19,joint,actor_18_statement_02,92,4,0.5,0.5,8.881784197001252e-15
19,joint,actor_19_statement_01,92,4,0.5,0.75,1.7763568394002505e-14
19,joint,actor_19_statement_02,92,4,0.75,1.0,1.1102230246251565e-14
19,joint,actor_20_statement_01,92,4,0.5,0.75,1.9539925233402755e-14
19,joint,actor_20_statement_02,92,4,0.5,0.25,1.5987211554602254e-14
19,joint,actor_21_statement_01,92,4,0.5,1.0,7.105427357601002e-15
19,joint,actor_21_statement_02,92,4,0.5,0.0,7.549516567451064e-15
19,joint,actor_22_statement_01,92,4,0.25,0.25,1.4210854715202004e-14
19,joint,actor_22_statement_02,92,4,0.75,1.0,1.687538997430238e-14
19,joint,actor_23_statement_01,92,4,0.5,1.0,6.217248937900877e-15
19,joint,actor_23_statement_02,92,4,0.5,0.5,2.220446049250313e-14
19,joint,actor_24_statement_01,92,4,0.5,0.5,1.2434497875801753e-14
19,joint,actor_24_statement_02,92,4,0.75,0.5,2.042810365310288e-14
20,speaker,actor_01_statement_None,184,8,0.875,0.875,9.769962616701378e-15
20,speaker,actor_02_statement_None,184,8,0.875,0.9375,8.548717289613705e-15
20,speaker,actor_03_statement_None,184,8,0.75,0.875,1.509903313490213e-14
20,speaker,actor_04_statement_None,184,8,0.75,1.0,6.827871601444713e-15
20,speaker,actor_05_statement_None,184,8,0.75,0.5625,1.176836406102666e-14
20,speaker,actor_06_statement_None,184,8,0.75,0.9375,1.6431300764452317e-14
20,speaker,actor_07_statement_None,184,8,0.75,0.8125,1.1324274851176597e-14
20,speaker,actor_08_statement_None,184,8,0.625,0.8125,1.1546319456101628e-14
20,speaker,actor_09_statement_None,184,8,0.375,0.625,1.199040866595169e-14
20,speaker,actor_10_statement_None,184,8,0.75,0.875,1.2656542480726785e-14
20,speaker,actor_11_statement_None,184,8,0.625,0.8125,1.3766765505351941e-14
20,speaker,actor_12_statement_None,184,8,0.75,0.8125,1.5987211554602254e-14
20,speaker,actor_13_statement_None,184,8,0.75,1.0,1.9539925233402755e-14
20,speaker,actor_14_statement_None,184,8,0.75,0.8125,1.5765166949677223e-14
20,speaker,actor_15_statement_None,184,8,0.75,0.625,7.105427357601002e-15
20,speaker,actor_16_statement_None,184,8,0.625,0.6875,1.2656542480726785e-14
