layer,readout,metric,mean,ci_low,ci_high
18,speaker,accuracy,0.6666666666666666,0.609375,0.7239583333333334
18,speaker,roc_auc,0.6945529513888888,0.6259765625,0.7628065321180555
18,speaker,mean_within_fold_auc,0.7005208333333334,,
18,statement,accuracy,0.4947916666666667,0.484375,0.5
18,statement,roc_auc,0.53515625,0.4983696831597222,0.5731336805555556
18,statement,mean_within_fold_auc,0.5698784722222222,,
18,joint,accuracy,0.5052083333333334,0.5,0.515625
18,joint,roc_auc,0.5188802083333334,0.4870876736111111,0.5531684027777778
18,joint,mean_within_fold_auc,0.546875,,
18,lm_raw,roc_auc,0.5584852430555556,0.470703125,0.6408420138888888
18,lm_norm_weighted,roc_auc,0.5452473958333334,0.4620225694444444,0.6239176432291667
19,speaker,accuracy,0.6770833333333334,0.6145833333333334,0.7395833333333334
19,speaker,roc_auc,0.7252604166666666,0.6544053819444444,0.7939453125
19,speaker,mean_within_fold_auc,0.7369791666666666,,
19,statement,accuracy,0.5729166666666666,0.515625,0.6354166666666666
19,statement,roc_auc,0.6138237847222222,0.5609809027777778,0.6651475694444444
19,statement,mean_within_fold_auc,0.6848958333333334,,
19,joint,accuracy,0.5833333333333334,0.5416666666666666,0.625
19,joint,roc_auc,0.5916883680555556,0.5443793402777778,0.6416015625
19,joint,mean_within_fold_auc,0.6614583333333334,,
19,lm_raw,roc_auc,0.5902777777777778,0.4853488498263889,0.6946641710069444
19,lm_norm_weighted,roc_auc,0.576171875,0.47199435763888886,0.6782769097222222
20,speaker,accuracy,0.671875,0.609375,0.7291666666666666
20,speaker,roc_auc,0.7175564236111112,0.6489773220486111,0.7855929904513889
20,speaker,mean_within_fold_auc,0.7604166666666666,,
20,statement,accuracy,0.5,0.484375,0.515625
20,statement,roc_auc,0.5155164930555556,0.4704861111111111,0.5619574652777778
20,statement,mean_within_fold_auc,0.5266927083333333,,
20,joint,accuracy,0.5,0.484375,0.515625
20,joint,roc_auc,0.5109592013888888,0.4750434027777778,0.5461154513888888
20,joint,mean_within_fold_auc,0.5364583333333334,,
20,lm_raw,roc_auc,0.4640842013888889,0.421875,0.5060763888888888
20,lm_norm_weighted,roc_auc,0.4632161458333333,0.4200303819444444,0.5049913194444444
21,speaker,accuracy,0.6927083333333334,0.625,0.7552083333333334
21,speaker,roc_auc,0.7141927083333334,0.6360649956597223,0.7874348958333334
21,speaker,mean_within_fold_auc,0.7265625,,
21,statement,accuracy,0.5,0.5,0.5
21,statement,roc_auc,0.5192057291666666,0.4753689236111111,0.564453125
21,statement,mean_within_fold_auc,0.5384114583333334,,
21,joint,accuracy,0.4947916666666667,0.484375,0.5
21,joint,roc_auc,0.5064019097222222,0.4840494791666667,0.5295138888888888
21,joint,mean_within_fold_auc,0.5260416666666666,,
21,lm_raw,roc_auc,0.5207248263888888,0.4790554470486111,0.5592447916666666
21,lm_norm_weighted,roc_auc,0.5201822916666666,0.47840440538194445,0.5596815321180555
22,speaker,accuracy,0.671875,0.5885416666666666,0.75
22,speaker,roc_auc,0.7014973958333334,0.6065538194444444,0.7886338975694444
22,speaker,mean_within_fold_auc,0.703125,,
22,statement,accuracy,0.5052083333333334,0.4635416666666667,0.5520833333333334
22,statement,roc_auc,0.5349392361111112,0.4582248263888889,0.6119791666666666
22,statement,mean_within_fold_auc,0.5349392361111112,,
22,joint,accuracy,0.5052083333333334,0.4479166666666667,0.5677083333333334
22,joint,roc_auc,0.5125868055555556,0.4493245442708333,0.5743272569444444
22,joint,mean_within_fold_auc,0.59375,,
22,lm_raw,roc_auc,0.5129123263888888,0.4671223958333333,0.5598985460069444
22,lm_norm_weighted,roc_auc,0.5187717013888888,0.468310546875,0.5692274305555556
23,speaker,accuracy,0.7291666666666666,0.671875,0.7864583333333334
23,speaker,roc_auc,0.7952473958333334,0.7348063151041667,0.8564480251736111
23,speaker,mean_within_fold_auc,0.8151041666666666,,
23,statement,accuracy,0.4947916666666667,0.484375,0.5
23,statement,roc_auc,0.5729166666666666,0.5118272569444444,0.6335720486111112
23,statement,mean_within_fold_auc,0.6525607638888888,,
23,joint,accuracy,0.5052083333333334,0.484375,0.5260416666666666
23,joint,roc_auc,0.5574001736111112,0.5154079861111112,0.603515625
23,joint,mean_within_fold_auc,0.625,,
23,lm_raw,roc_auc,0.5595703125,0.5161675347222222,0.6030815972222222
23,lm_norm_weighted,roc_auc,0.5568576388888888,0.5155164930555556,0.5981987847222222
final,model_clean,accuracy,0.5,0.5,0.5
final,model_clean,roc_auc,0.5211588541666666,0.4761284722222222,0.5676025390624999
