layer,mean,ci_low,ci_high,simultaneous_low,simultaneous_high
0,-0.012933446715275444,-0.07972090107699235,0.05363866733387109,-0.08379964505632714,0.05793275162577626
1,-0.0121650422612826,-0.0791456189006567,0.05422036986177167,-0.0830312406023343,0.058701156079769105
2,-0.01421943182746569,-0.08150400084753831,0.05123288038497168,-0.08508563016851739,0.056646766513586015
3,-0.014036506414413452,-0.08141039113203684,0.05143703722084562,-0.08490270475546516,0.056829691926638254
4,-0.01247186462084452,-0.07936204730843505,0.05278313765302296,-0.08333806296189622,0.058394333720207185
5,-0.012269340455532074,-0.07917221402749419,0.053008971114953354,-0.08313553879658378,0.05859685788551963
6,-0.010624401271343231,-0.07755843081201116,0.054352048132568574,-0.08149059961239494,0.060241797069708475
7,0.00038747737805048393,-0.06605857086057464,0.06680361938973267,-0.07047872096300123,0.07125367571910218
8,0.0043428801000118256,-0.06110051721334458,0.06942820784946283,-0.06652331824103988,0.07520907844106353
9,0.009450700134038925,-0.05414671590551735,0.07345544537529346,-0.06141549820701278,0.08031689847509063
10,0.0241110660135746,-0.03468988677486778,0.0851787914211551,-0.046755132327477106,0.0949772643546263
11,0.03714307273427646,-0.012159143978108966,0.08696018929282823,-0.03372312560677525,0.10800927107532816
12,0.03446570287148158,-0.012793433076391622,0.08250769308457771,-0.036400495469570124,0.10533190121253329
13,0.03746280446648598,-0.0033261322416365167,0.07954961381231743,-0.03340339387456573,0.10832900280753768
14,0.013441870609919228,-0.01869430377458533,0.04449515861148633,-0.05742432773113248,0.08430806895097093
15,0.007194346437851586,-0.023849698404471077,0.03812330973645049,-0.06367185190320013,0.07806054477890328
16,0.011224464823802315,-0.009185512643307447,0.030876678631951406,-0.05964173351724939,0.08209066316485403
17,0.0,0.0,0.0,-0.0708661983410517,0.0708661983410517
18,-0.009305832286675773,-0.021324965109427767,0.0032290630973875493,-0.08017203062772749,0.06156036605437593
19,-0.01997351149717967,-0.042110403037319576,0.0004022133536636806,-0.09083970983823138,0.050892686843872034
20,-0.019197082767883938,-0.0405288480843107,0.00014753748352328445,-0.09006328110893565,0.051669115573167765
21,-0.02969649185736974,-0.052333773610492546,-0.008323200481633347,-0.10056269019842144,0.04116970648368197
22,-0.033434548725684486,-0.07366427189360063,0.006796645031621039,-0.1043007470667362,0.03743164961536722
23,-0.0455513559281826,-0.08568029310554266,-0.008474388842781387,-0.11641755426923431,0.025314842412869104
