condition,actor,pair_id,statement,repetition,happy_margin,sad_margin,happy_shift,sad_shift,pair_separation,delta_pair_separation,common_shift
clean,01,pair_0000,01,01,-4.591665744781494,-4.472484111785889,0.0,0.0,-0.11918163299560547,0.0,0.0
clean,01,pair_0001,01,02,-4.798401832580566,-4.81397819519043,0.0,0.0,0.015576362609863281,0.0,0.0
clean,01,pair_0002,02,01,-3.534588098526001,-3.9419286251068115,0.0,0.0,0.40734052658081055,0.0,0.0
clean,01,pair_0003,02,02,-3.50520396232605,-3.6038966178894043,0.0,0.0,0.09869265556335449,0.0,0.0
clean,02,pair_0004,01,01,-4.263078689575195,-4.868228912353516,0.0,0.0,0.6051502227783203,0.0,0.0
clean,02,pair_0005,01,02,-4.474981307983398,-4.6972336769104,0.0,0.0,0.22225236892700195,0.0,0.0
clean,02,pair_0006,02,01,-3.5094082355499268,-3.7750349044799805,0.0,0.0,0.2656266689300537,0.0,0.0
clean,02,pair_0007,02,02,-3.4080164432525635,-3.4811511039733887,0.0,0.0,0.0731346607208252,0.0,0.0
clean,03,pair_0008,01,01,-4.699073791503906,-4.5847086906433105,0.0,0.0,-0.1143651008605957,0.0,0.0
clean,03,pair_0009,01,02,-4.718820571899414,-4.377320289611816,0.0,0.0,-0.34150028228759766,0.0,0.0
clean,03,pair_0010,02,01,-3.694944143295288,-3.3699402809143066,0.0,0.0,-0.32500386238098145,0.0,0.0
clean,03,pair_0011,02,02,-3.5249128341674805,-3.3314507007598877,0.0,0.0,-0.19346213340759277,0.0,0.0
clean,04,pair_0012,01,01,-4.602723121643066,-4.866759777069092,0.0,0.0,0.2640366554260254,0.0,0.0
clean,04,pair_0013,01,02,-4.569589614868164,-4.604321002960205,0.0,0.0,0.034731388092041016,0.0,0.0
clean,04,pair_0014,02,01,-3.6035590171813965,-3.5703775882720947,0.0,0.0,-0.03318142890930176,0.0,0.0
clean,04,pair_0015,02,02,-3.3836679458618164,-3.808556318283081,0.0,0.0,0.42488837242126465,0.0,0.0
clean,05,pair_0016,01,01,-4.557373046875,-4.196678638458252,0.0,0.0,-0.36069440841674805,0.0,0.0
clean,05,pair_0017,01,02,-4.383161544799805,-4.5589680671691895,0.0,0.0,0.17580652236938477,0.0,0.0
clean,05,pair_0018,02,01,-3.286710500717163,-3.481130361557007,0.0,0.0,0.19441986083984375,0.0,0.0
clean,05,pair_0019,02,02,-3.4755494594573975,-3.2868447303771973,0.0,0.0,-0.1887047290802002,0.0,0.0
clean,06,pair_0020,01,01,-4.214656829833984,-4.52412223815918,0.0,0.0,0.3094654083251953,0.0,0.0
clean,06,pair_0021,01,02,-4.25598669052124,-4.614285469055176,0.0,0.0,0.35829877853393555,0.0,0.0
clean,06,pair_0022,02,01,-3.6021475791931152,-3.4650402069091797,0.0,0.0,-0.13710737228393555,0.0,0.0
clean,06,pair_0023,02,02,-3.457305908203125,-3.6551520824432373,0.0,0.0,0.1978461742401123,0.0,0.0
clean,07,pair_0024,01,01,-4.384683609008789,-4.1672210693359375,0.0,0.0,-0.21746253967285156,0.0,0.0
clean,07,pair_0025,01,02,-4.604063987731934,-4.696544170379639,0.0,0.0,0.09248018264770508,0.0,0.0
clean,07,pair_0026,02,01,-3.7800509929656982,-3.630866765975952,0.0,0.0,-0.1491842269897461,0.0,0.0
clean,07,pair_0027,02,02,-3.7800509929656982,-3.5695126056671143,0.0,0.0,-0.21053838729858398,0.0,0.0
clean,08,pair_0028,01,01,-3.8731539249420166,-5.036435127258301,0.0,0.0,1.1632812023162842,0.0,0.0
clean,08,pair_0029,01,02,-4.524965286254883,-4.290677070617676,0.0,0.0,-0.23428821563720703,0.0,0.0
clean,08,pair_0030,02,01,-3.895028591156006,-2.6575613021850586,0.0,0.0,-1.2374672889709473,0.0,0.0
clean,08,pair_0031,02,02,-3.81231689453125,-3.2720704078674316,0.0,0.0,-0.5402464866638184,0.0,0.0
clean,09,pair_0032,01,01,-4.663866996765137,-4.710247993469238,0.0,0.0,0.04638099670410156,0.0,0.0
clean,09,pair_0033,01,02,-5.057777404785156,-4.2751312255859375,0.0,0.0,-0.7826461791992188,0.0,0.0
clean,09,pair_0034,02,01,-3.9641289710998535,-3.916632652282715,0.0,0.0,-0.04749631881713867,0.0,0.0
