condition,statement,n_samples,accuracy,happy_prediction_fraction,happy_margin,sad_margin,pair_separation,pair_direction_fraction,common_shift,happy_shift,sad_shift,roc_auc
clean,01,96,0.5,0.0,-4.405327801903089,-4.495743751525879,0.09041594962279002,0.5625,0.0,0.0,0.0,0.5963541666666666
clean,02,96,0.5,0.0,-3.623154322306315,-3.597900082667669,-0.025254239638646443,0.4166666666666667,0.0,0.0,0.0,0.4513888888888889
zero_noop,01,96,0.5,0.0,-4.405327801903089,-4.495743751525879,0.09041594962279002,0.5625,0.0,0.0,0.0,0.5963541666666666
zero_noop,02,96,0.5,0.0,-3.623154322306315,-3.597900082667669,-0.025254239638646443,0.4166666666666667,0.0,0.0,0.0,0.4513888888888889
center_joint,01,96,0.5,0.0,-4.629482467969258,-4.72485880057017,0.09537633260091145,0.5833333333333334,-0.22663485755523047,-0.22415466606616974,-0.22911504904429117,0.5989583333333334
center_joint,02,96,0.5,0.0,-3.683642476797104,-3.631455585360527,-0.05218689143657684,0.4375,-0.04702182859182358,-0.06048815449078878,-0.033555502692858376,0.4262152777777778
center_19,01,96,0.5,0.0,-4.416459624965985,-4.506192728877068,0.08973310391108195,0.5625,-0.010790400207042694,-0.011131823062896729,-0.01044897735118866,0.5959201388888888
center_19,02,96,0.5,0.0,-3.610995093981425,-3.5853440910577774,-0.025651002923647564,0.4166666666666667,0.012357609967390696,0.012159228324890137,0.012555991609891256,0.4518229166666667
center_23,01,96,0.5,0.0,-4.224078098932902,-4.314490050077438,0.09041195114453633,0.5625,0.18125170220931372,0.18124970297018686,0.18125370144844055,0.5954861111111112
center_23,02,96,0.5,0.0,-3.872678498427073,-3.8447910944620767,-0.027887403964996338,0.4166666666666667,-0.2482075939575831,-0.24952417612075806,-0.24689101179440817,0.4487847222222222
