condition,metric,mean,ci_low,ci_high
clean,accuracy,0.5,0.5,0.5
clean,happy_prediction_fraction,0.0,0.0,0.0
clean,happy_margin,-4.014241062104702,-4.061753812308113,-3.968992678758999
clean,sad_margin,-4.046821917096774,-4.115537151942651,-3.9753543072069686
clean,pair_separation,0.032580854992071785,-0.041321011446416374,0.10684982320914665
clean,pair_direction_fraction,0.4895833333333333,0.375,0.6041666666666666
clean,common_shift,0.0,0.0,0.0
clean,happy_shift,0.0,0.0,0.0
clean,sad_shift,0.0,0.0,0.0
clean,roc_auc,0.5211588541666666,0.4761284722222222,0.5676025390624999
zero_noop,accuracy,0.5,0.5,0.5
zero_noop,happy_prediction_fraction,0.0,0.0,0.0
zero_noop,happy_margin,-4.014241062104702,-4.061753812308113,-3.968992678758999
zero_noop,sad_margin,-4.046821917096774,-4.115537151942651,-3.9753543072069686
zero_noop,pair_separation,0.032580854992071785,-0.041321011446416374,0.10684982320914665
zero_noop,pair_direction_fraction,0.4895833333333333,0.375,0.6041666666666666
zero_noop,common_shift,0.0,0.0,0.0
zero_noop,happy_shift,0.0,0.0,0.0
zero_noop,sad_shift,0.0,0.0,0.0
zero_noop,roc_auc,0.5211588541666666,0.4761284722222222,0.5676025390624999
center_joint,accuracy,0.5,0.5,0.5
center_joint,happy_prediction_fraction,0.0,0.0,0.0
center_joint,happy_margin,-4.1565624723831816,-4.209522330388427,-4.106534834764898
center_joint,sad_margin,-4.178157192965348,-4.251155893380443,-4.10305257588625
center_joint,pair_separation,0.02159472058216731,-0.059975473769009115,0.10324431601911782
center_joint,pair_direction_fraction,0.5104166666666666,0.3958333333333333,0.6145833333333334
center_joint,common_shift,-0.136828343073527,-0.1431387682755788,-0.13026133716727295
center_joint,happy_shift,-0.14232141027847925,-0.15034957919269798,-0.13305110366394124
center_joint,sad_shift,-0.13133527586857477,-0.14060138147324325,-0.12005242208639781
center_joint,roc_auc,0.5125868055555556,0.4671223958333333,0.5598985460069444
center_19,accuracy,0.5,0.5,0.5
center_19,happy_prediction_fraction,0.0,0.0,0.0
center_19,happy_margin,-4.013727359473705,-4.06170488409698,-3.9681142441928388
center_19,sad_margin,-4.0457684099674225,-4.114731018493573,-3.974197371987005
center_19,pair_separation,0.032041050493717194,-0.04241093651702007,0.10654480339338371
center_19,pair_direction_fraction,0.4895833333333333,0.375,0.6041666666666666
center_19,common_shift,0.0007836048801740011,-7.90998339653015e-05,0.0016588562789062657
center_19,happy_shift,0.0005137026309967041,-0.0003128068521618843,0.0013056381916006405
center_19,sad_shift,0.001053507129351298,-0.00027293258657058077,0.0024561827381451924
center_19,roc_auc,0.5209418402777778,0.4754774305555556,0.5678195529513889
center_23,accuracy,0.5,0.5,0.5
center_23,happy_prediction_fraction,0.0,0.0,0.0
center_23,happy_margin,-4.048378298679988,-4.096028453235825,-4.002996710004906
center_23,sad_margin,-4.079640572269757,-4.149243645742535,-4.007322281164427
center_23,pair_separation,0.03126227358977,-0.04337450911601384,0.10619035686055815
center_23,pair_direction_fraction,0.4895833333333333,0.375,0.6041666666666666
center_23,common_shift,-0.0334779458741347,-0.034454370352129136,-0.03236785257856051
center_23,happy_shift,-0.03413723657528559,-0.03545054576049248,-0.03246702862282594
center_23,sad_shift,-0.0328186551729838,-0.034154173793892066,-0.031244449379543467
center_23,roc_auc,0.5274522569444444,0.46375596788194445,0.5907145182291667
