condition,metric,mean,ci_low,ci_high,n_pairs,n_actors
attention_18,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_18,remaining_effect,0.03624430919686953,0.0017318761597077056,0.07253876697892939,96,24
attention_18,mediated_effect,0.00930704673131307,-0.003224928521861632,0.021326382458209982,96,24
mlp_18,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_18,remaining_effect,0.04434101656079292,0.008915187728901704,0.08324841105689604,96,24
mlp_18,mediated_effect,0.001210339367389679,-0.004743476305156946,0.0068241095170378675,96,24
attention_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_19,remaining_effect,0.03506050010522207,-0.007466670560340085,0.07310100508232911,96,24
attention_19,mediated_effect,0.010490855822960535,-0.006187034181008735,0.02974589131772518,96,24
mlp_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_19,remaining_effect,0.04832666367292404,0.006998110873003801,0.09012073682000239,96,24
mlp_19,mediated_effect,-0.00277530774474144,-0.012729467637836934,0.008122924249619242,96,24
attention_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_20,remaining_effect,0.04734726001818975,0.012993323088934024,0.08497757014508048,96,24
attention_20,mediated_effect,-0.0017959040900071461,-0.009687211830168962,0.005846229164550702,96,24
mlp_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_20,remaining_effect,0.049588292837142944,0.01342426985502243,0.08871597582474348,96,24
mlp_20,mediated_effect,-0.004036936908960342,-0.007860059818873803,-0.00019271618997057335,96,24
attention_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_21,remaining_effect,0.03531398127476374,0.0012266214316089949,0.07485245388622086,96,24
attention_21,mediated_effect,0.01023737465341886,-0.003712386482705672,0.022977675621708233,96,24
mlp_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_21,remaining_effect,0.042980595181385674,0.006694181077182294,0.08289143396541476,96,24
mlp_21,mediated_effect,0.002570760746796926,-0.0008886896694699923,0.005925867706537247,96,24
attention_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_22,remaining_effect,0.043798898657162987,0.017607843906929096,0.06988707461083929,96,24
attention_22,mediated_effect,0.0017524572710196178,-0.027910289137313762,0.02887455656503637,96,24
mlp_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_22,remaining_effect,0.04913449908296267,0.013494538733114798,0.08680129221950966,96,24
mlp_22,mediated_effect,-0.00358314315478007,-0.013746262745310862,0.005944951530545946,96,24
attention_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_23,remaining_effect,0.03337396681308746,-0.006667105698337157,0.07342325309291478,96,24
attention_23,mediated_effect,0.012177389115095139,-0.003347781052192052,0.026126457223047815,96,24
mlp_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_23,remaining_effect,0.043453926841417946,0.011232411768287421,0.07724756002426146,96,24
mlp_23,mediated_effect,0.0020974290867646537,-0.006266439861307542,0.011828908044844863,96,24
attention_joint,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_joint,remaining_effect,0.0,0.0,0.0,96,24
attention_joint,mediated_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_joint,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_joint,remaining_effect,0.04652320717771848,0.016497964722414812,0.0769558882030348,96,24
mlp_joint,mediated_effect,-0.0009718512495358785,-0.020602633835126956,0.0198134028352797,96,24
