condition,metric,mean,ci_low,ci_high,n_pairs,n_actors
18,attention_minus_mlp_mediation,0.008096707363923391,-0.0028941836518545944,0.0186067383736372,96,24
18,qk_minus_v_mediation,-0.01939533402522405,-0.03840886624529957,-0.0006210328390200938,96,24
19,attention_minus_mlp_mediation,0.013266163567701975,-0.0006614919751882547,0.027952902670949697,96,24
19,qk_minus_v_mediation,-0.0501379519701004,-0.08708672793582083,-0.014866801568617425,96,24
20,attention_minus_mlp_mediation,0.002241032818953196,-0.005871616893758377,0.010329402455439169,96,24
20,qk_minus_v_mediation,-0.005639190475145976,-0.01650720713660121,0.005400118107597025,96,24
21,attention_minus_mlp_mediation,0.007666613906621933,-0.005435769197841485,0.019819453762223316,96,24
21,qk_minus_v_mediation,-0.0014868713915348053,-0.018001769700398046,0.014780703590561934,96,24
22,attention_minus_mlp_mediation,0.005335600425799687,-0.022193431264410417,0.029793344593296436,96,24
22,qk_minus_v_mediation,-0.004178232202927272,-0.040509909577667716,0.04294128116841117,96,24
23,attention_minus_mlp_mediation,0.010079960028330484,-0.004281231046964725,0.0245579509374996,96,24
23,qk_minus_v_mediation,-0.010534973194201788,-0.03267028853297234,0.011693757462004814,96,24
joint,attention_minus_mlp_mediation,0.04652320717771848,0.016497964722414812,0.0769558882030348,96,24
joint,qk_minus_v_mediation,-0.08706210056940715,-0.14693106415991983,-0.025407630608727545,96,24
