condition,metric,mean,ci_low,ci_high,n_pairs,n_actors
attention_18,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_18,remaining_effect,0.03624430919686953,0.0017318761597077056,0.07253876697892939,96,24
attention_18,mediated_effect,0.00930704673131307,-0.003224928521861632,0.021326382458209982,96,24
mlp_18,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_18,remaining_effect,0.04434101656079292,0.008915187728901704,0.08324841105689604,96,24
mlp_18,mediated_effect,0.001210339367389679,-0.004743476305156946,0.0068241095170378675,96,24
attention_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_19,remaining_effect,0.03506050010522207,-0.007466670560340085,0.07310100508232911,96,24
attention_19,mediated_effect,0.010490855822960535,-0.006187034181008735,0.02974589131772518,96,24
mlp_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_19,remaining_effect,0.04832666367292404,0.006998110873003801,0.09012073682000239,96,24
mlp_19,mediated_effect,-0.00277530774474144,-0.012729467637836934,0.008122924249619242,96,24
attention_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_20,remaining_effect,0.04734726001818975,0.012993323088934024,0.08497757014508048,96,24
attention_20,mediated_effect,-0.0017959040900071461,-0.009687211830168962,0.005846229164550702,96,24
mlp_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_20,remaining_effect,0.049588292837142944,0.01342426985502243,0.08871597582474348,96,24
mlp_20,mediated_effect,-0.004036936908960342,-0.007860059818873803,-0.00019271618997057335,96,24
attention_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_21,remaining_effect,0.03531398127476374,0.0012266214316089949,0.07485245388622086,96,24
attention_21,mediated_effect,0.01023737465341886,-0.003712386482705672,0.022977675621708233,96,24
mlp_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_21,remaining_effect,0.042980595181385674,0.006694181077182294,0.08289143396541476,96,24
mlp_21,mediated_effect,0.002570760746796926,-0.0008886896694699923,0.005925867706537247,96,24
attention_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_22,remaining_effect,0.043798898657162987,0.017607843906929096,0.06988707461083929,96,24
attention_22,mediated_effect,0.0017524572710196178,-0.027910289137313762,0.02887455656503637,96,24
mlp_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_22,remaining_effect,0.04913449908296267,0.013494538733114798,0.08680129221950966,96,24
mlp_22,mediated_effect,-0.00358314315478007,-0.013746262745310862,0.005944951530545946,96,24
attention_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_23,remaining_effect,0.03337396681308746,-0.006667105698337157,0.07342325309291478,96,24
attention_23,mediated_effect,0.012177389115095139,-0.003347781052192052,0.026126457223047815,96,24
mlp_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_23,remaining_effect,0.043453926841417946,0.011232411768287421,0.07724756002426146,96,24
mlp_23,mediated_effect,0.0020974290867646537,-0.006266439861307542,0.011828908044844863,96,24
attention_joint,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
attention_joint,remaining_effect,0.0,0.0,0.0,96,24
attention_joint,mediated_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_joint,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
mlp_joint,remaining_effect,0.04652320717771848,0.016497964722414812,0.0769558882030348,96,24
mlp_joint,mediated_effect,-0.0009718512495358785,-0.020602633835126956,0.0198134028352797,96,24
qk_18,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qk_18,remaining_effect,0.05156412596503893,0.013026446259270111,0.09215908093998829,96,24
qk_18,mediated_effect,-0.006012770036856334,-0.017981271135310332,0.0050443391315639,96,24
v_18,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
v_18,remaining_effect,0.03216879193981489,-0.0024440781523783982,0.06868475141624607,96,24
v_18,mediated_effect,0.013382563988367716,0.0022254047915339467,0.025113594687233367,96,24
qk_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qk_19,remaining_effect,0.06677235538760821,0.0245086374382178,0.1109784115726749,96,24
qk_19,mediated_effect,-0.02122099945942561,-0.0385266197224458,-0.004931060038506994,96,24
v_19,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
v_19,remaining_effect,0.01663440341750781,-0.02522664169470469,0.05762719629953302,96,24
v_19,mediated_effect,0.028916952510674793,0.006943512056022883,0.05180212457974751,96,24
qk_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qk_20,remaining_effect,0.0490226224064827,0.01301701848084728,0.0884842673006157,96,24
qk_20,mediated_effect,-0.0034712664783000946,-0.009099198412150145,0.002687247780462104,96,24
v_20,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
v_20,remaining_effect,0.04338343193133672,0.007184724633892378,0.08187619702269631,96,24
v_20,mediated_effect,0.002167923996845881,-0.004958263908823331,0.009820755943655966,96,24
qk_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qk_21,remaining_effect,0.040470960239569344,0.0054762479228278,0.08156070789943136,96,24
qk_21,mediated_effect,0.0050803956886132555,-0.00647221648444732,0.0158796878842016,96,24
v_21,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
v_21,remaining_effect,0.03898408884803454,0.0012148456958433,0.07873140278582771,96,24
v_21,mediated_effect,0.006567267080148061,-0.0032622045216461016,0.01618826982254783,96,24
qk_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qk_22,remaining_effect,0.04674730201562246,0.007383143870780867,0.0842580634790162,96,24
qk_22,mediated_effect,-0.0011959460874398549,-0.01571044751132528,0.015294070697079092,96,24
v_22,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
v_22,remaining_effect,0.04256906981269518,0.007569677537928026,0.07836759270479282,96,24
v_22,mediated_effect,0.0029822861154874167,-0.03231073043619593,0.031195678592969945,96,24
qk_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qk_23,remaining_effect,0.04490082462628683,0.005221464205533268,0.08616384932150442,96,24
qk_23,mediated_effect,0.0006505313018957773,-0.011811401539792618,0.012478979987402754,96,24
v_23,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
v_23,remaining_effect,0.03436585143208504,-0.005188861085722843,0.07431991131355364,96,24
v_23,mediated_effect,0.011185504496097565,-0.002775950233141581,0.0254954354216655,96,24
qk_joint,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qk_joint,remaining_effect,0.06910313417514165,0.024912745909144482,0.11089197002972166,96,24
qk_joint,mediated_effect,-0.02355177824695905,-0.054031559824943544,0.006047291774302674,96,24
v_joint,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
v_joint,remaining_effect,-0.01795896639426549,-0.04844148227324089,0.011303853398809828,96,24
v_joint,mediated_effect,0.06351032232244809,0.021657477722813685,0.103252066206187,96,24
qkv_joint,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
qkv_joint,remaining_effect,0.0,0.0,0.0,96,24
qkv_joint,mediated_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
