sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,condition,component,restore_layers,clean_margin,patched_margin,restored_margin,patch_effect,remaining_effect,mediated_effect
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,attention_18,attention,[18],-4.591665744781494,-4.7230024337768555,-4.702625751495361,0.13133668899536133,0.11096000671386719,0.02037668228149414
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,mlp_18,mlp,[18],-4.591665744781494,-4.7230024337768555,-4.7131452560424805,0.13133668899536133,0.12147951126098633,0.009857177734375
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,attention_19,attention,[19],-4.591665744781494,-4.7230024337768555,-4.6688456535339355,0.13133668899536133,0.0771799087524414,0.05415678024291992
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,mlp_19,mlp,[19],-4.591665744781494,-4.7230024337768555,-4.734279632568359,0.13133668899536133,0.14261388778686523,-0.011277198791503906
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,attention_20,attention,[20],-4.591665744781494,-4.7230024337768555,-4.7518205642700195,0.13133668899536133,0.1601548194885254,-0.028818130493164062
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,mlp_20,mlp,[20],-4.591665744781494,-4.7230024337768555,-4.689276218414307,0.13133668899536133,0.0976104736328125,0.03372621536254883
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,attention_21,attention,[21],-4.591665744781494,-4.7230024337768555,-4.731590270996094,0.13133668899536133,0.1399245262145996,-0.008587837219238281
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,mlp_21,mlp,[21],-4.591665744781494,-4.7230024337768555,-4.722018241882324,0.13133668899536133,0.13035249710083008,0.00098419189453125
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,attention_22,attention,[22],-4.591665744781494,-4.7230024337768555,-4.683171272277832,0.13133668899536133,0.09150552749633789,0.03983116149902344
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,mlp_22,mlp,[22],-4.591665744781494,-4.7230024337768555,-4.741866111755371,0.13133668899536133,0.15020036697387695,-0.018863677978515625
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,attention_23,attention,[23],-4.591665744781494,-4.7230024337768555,-4.711312770843506,0.13133668899536133,0.11964702606201172,0.01168966293334961
