source,metric,mean,ci_low,ci_high,n_pairs,n_actors
audio,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
audio,remaining_effect,-0.020976501206556957,-0.05272812188292543,0.00997555404901504,96,24
audio,mediated_effect,0.06652785713473956,0.022835313777128857,0.10776656133433182,96,24
prompt,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
prompt,remaining_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
prompt,mediated_effect,0.0,0.0,0.0,96,24
other,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
other,remaining_effect,0.044763303051392235,0.007272450067102911,0.08456416800618172,96,24
other,mediated_effect,0.0007880528767903646,-0.0016036173949639,0.0028860329650342463,96,24
non_audio,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
non_audio,remaining_effect,0.044763303051392235,0.007272450067102911,0.08456416800618172,96,24
non_audio,mediated_effect,0.0007880528767903646,-0.0016036173949639,0.0028860329650342463,96,24
decision,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
decision,remaining_effect,0.04476430142919222,0.007291779387742282,0.08455558565134803,96,24
decision,mediated_effect,0.0007870544989903768,-0.0015961480637391408,0.0028743407378594077,96,24
post_audio_marker,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
post_audio_marker,remaining_effect,0.04554987450440725,0.008469600696116686,0.08568307518338163,96,24
post_audio_marker,mediated_effect,1.4814237753550212e-06,-2.6657835890849433e-05,2.9703664282957702e-05,96,24
all,patch_effect,0.0455513559281826,0.008474388842781386,0.08568029310554266,96,24
all,remaining_effect,-0.01795896639426549,-0.04844148227324089,0.011303853398809828,96,24
all,mediated_effect,0.06351032232244809,0.021657477722813685,0.103252066206187,96,24
