condition,fold,subset,sample_id
within,actor_01_statement_01,train,pair_0004_happy
within,actor_01_statement_01,train,pair_0004_sad
within,actor_01_statement_01,train,pair_0005_happy
within,actor_01_statement_01,train,pair_0005_sad
within,actor_01_statement_01,train,pair_0008_happy
within,actor_01_statement_01,train,pair_0008_sad
within,actor_01_statement_01,train,pair_0009_happy
within,actor_01_statement_01,train,pair_0009_sad
within,actor_01_statement_01,train,pair_0012_happy
within,actor_01_statement_01,train,pair_0012_sad
within,actor_01_statement_01,train,pair_0013_happy
within,actor_01_statement_01,train,pair_0013_sad
within,actor_01_statement_01,train,pair_0016_happy
within,actor_01_statement_01,train,pair_0016_sad
within,actor_01_statement_01,train,pair_0017_happy
within,actor_01_statement_01,train,pair_0017_sad
within,actor_01_statement_01,train,pair_0020_happy
within,actor_01_statement_01,train,pair_0020_sad
within,actor_01_statement_01,train,pair_0021_happy
within,actor_01_statement_01,train,pair_0021_sad
within,actor_01_statement_01,train,pair_0024_happy
within,actor_01_statement_01,train,pair_0024_sad
within,actor_01_statement_01,train,pair_0025_happy
within,actor_01_statement_01,train,pair_0025_sad
within,actor_01_statement_01,train,pair_0028_happy
within,actor_01_statement_01,train,pair_0028_sad
within,actor_01_statement_01,train,pair_0029_happy
within,actor_01_statement_01,train,pair_0029_sad
within,actor_01_statement_01,train,pair_0032_happy
within,actor_01_statement_01,train,pair_0032_sad
within,actor_01_statement_01,train,pair_0033_happy
within,actor_01_statement_01,train,pair_0033_sad
within,actor_01_statement_01,train,pair_0036_happy
within,actor_01_statement_01,train,pair_0036_sad
within,actor_01_statement_01,train,pair_0037_happy
within,actor_01_statement_01,train,pair_0037_sad
within,actor_01_statement_01,train,pair_0040_happy
within,actor_01_statement_01,train,pair_0040_sad
within,actor_01_statement_01,train,pair_0041_happy
within,actor_01_statement_01,train,pair_0041_sad
within,actor_01_statement_01,train,pair_0044_happy
within,actor_01_statement_01,train,pair_0044_sad
within,actor_01_statement_01,train,pair_0045_happy
within,actor_01_statement_01,train,pair_0045_sad
within,actor_01_statement_01,train,pair_0048_happy
within,actor_01_statement_01,train,pair_0048_sad
within,actor_01_statement_01,train,pair_0049_happy
within,actor_01_statement_01,train,pair_0049_sad
within,actor_01_statement_01,train,pair_0052_happy
within,actor_01_statement_01,train,pair_0052_sad
within,actor_01_statement_01,train,pair_0053_happy
within,actor_01_statement_01,train,pair_0053_sad
within,actor_01_statement_01,train,pair_0056_happy
within,actor_01_statement_01,train,pair_0056_sad
within,actor_01_statement_01,train,pair_0057_happy
within,actor_01_statement_01,train,pair_0057_sad
within,actor_01_statement_01,train,pair_0060_happy
within,actor_01_statement_01,train,pair_0060_sad
within,actor_01_statement_01,train,pair_0061_happy
within,actor_01_statement_01,train,pair_0061_sad
within,actor_01_statement_01,train,pair_0064_happy
within,actor_01_statement_01,train,pair_0064_sad
within,actor_01_statement_01,train,pair_0065_happy
within,actor_01_statement_01,train,pair_0065_sad
within,actor_01_statement_01,train,pair_0068_happy
within,actor_01_statement_01,train,pair_0068_sad
within,actor_01_statement_01,train,pair_0069_happy
within,actor_01_statement_01,train,pair_0069_sad
within,actor_01_statement_01,train,pair_0072_happy
within,actor_01_statement_01,train,pair_0072_sad
within,actor_01_statement_01,train,pair_0073_happy
within,actor_01_statement_01,train,pair_0073_sad
within,actor_01_statement_01,train,pair_0076_happy
within,actor_01_statement_01,train,pair_0076_sad
within,actor_01_statement_01,train,pair_0077_happy
within,actor_01_statement_01,train,pair_0077_sad
