sample_id,path,sample_rate,frames,duration_seconds,sha256
1001_DFA_XX_happy,AudioWAV/1001_DFA_HAP_XX.wav,16000,29896,1.8685,91d63d7a792a37b2ff8ac6267d3e5364bc1b10d5b0e0be288c0af0534d4fdae5
1001_DFA_XX_sad,AudioWAV/1001_DFA_SAD_XX.wav,16000,32032,2.002,c75f74e03ae5783830733519c806c85996ca0bd833e17b535f8830166bc002e9
1001_IOM_XX_happy,AudioWAV/1001_IOM_HAP_XX.wav,16000,32032,2.002,54a8162c71d91fb536700f476dfec833f53bd579c83cab131e12ff4b98cb0af2
1001_IOM_XX_sad,AudioWAV/1001_IOM_SAD_XX.wav,16000,30964,1.93525,a8eecb6af135c84413660267db3c7d922286ee34628759b2109c8b9b88ca8069
1001_ITH_XX_happy,AudioWAV/1001_ITH_HAP_XX.wav,16000,39506,2.469125,2ad730e5f3c2520a87f6c8fb360f49bee054d5c4073a64040ef1a1cc9d208ec3
1001_ITH_XX_sad,AudioWAV/1001_ITH_SAD_XX.wav,16000,37904,2.369,3d5ebe7f716d81298e56190aa9f519f040c3278ce9afc62e92f818adf90da1ff
1001_ITS_XX_happy,AudioWAV/1001_ITS_HAP_XX.wav,16000,35235,2.2021875,261f83de5d3f64ab2cbf3d22f610723b3da9904839cd4f0b46eb15d07c455245
1001_ITS_XX_sad,AudioWAV/1001_ITS_SAD_XX.wav,16000,42709,2.6693125,461216b319fa53001d7009e6b5b90b8007a25cffca6dd546380d7442a6b68c83
1001_IWL_XX_happy,AudioWAV/1001_IWL_HAP_XX.wav,16000,33634,2.102125,efe63b1523336ed7e37214cd1a2def7f512bec6afce9e77293d5bef4c6fc050c
1001_IWL_XX_sad,AudioWAV/1001_IWL_SAD_XX.wav,16000,45379,2.8361875,2afa4a843259d81cda37eb90d3eddf6df272c61cdd276b25ba99df952b44be2d
1001_IWW_XX_happy,AudioWAV/1001_IWW_HAP_XX.wav,16000,31498,1.968625,6f9157608d04f0e6a60f059ef1bcd65e7ddf70547b12e16c45f86e923b5fb4ac
1001_IWW_XX_sad,AudioWAV/1001_IWW_SAD_XX.wav,16000,32566,2.035375,7d4b5b5947d959421349ebe51b830cace3f7100ea28acc06923db582b2175e96
1001_MTI_XX_happy,AudioWAV/1001_MTI_HAP_XX.wav,16000,37904,2.369,c4bfd4d2d3148fe3b87df8b025cb7103ef347f2eaa18d712cc5e72945562cd4d
1001_MTI_XX_sad,AudioWAV/1001_MTI_SAD_XX.wav,16000,36837,2.3023125,2cdb02d348034a6fc4ed684d8e507e78460a11a9712e08a2f57d937931728101
1001_TAI_XX_happy,AudioWAV/1001_TAI_HAP_XX.wav,16000,40040,2.5025,27b182e9008d82196a5b8d7dc6df14b79e4cb3594e7cbe4a47e94f24440b8ecc
1001_TAI_XX_sad,AudioWAV/1001_TAI_SAD_XX.wav,16000,44845,2.8028125,fc11988c5df1dbbbcb5e23deaeb9ab2d09fd5ca20955744a244b4f2717c34f73
1001_TIE_XX_happy,AudioWAV/1001_TIE_HAP_XX.wav,16000,36837,2.3023125,c7aff2bebc0fb1e79f5c8c4cfe40d469a8cda747b33761487fca591c7f6005b9
1001_TIE_XX_sad,AudioWAV/1001_TIE_SAD_XX.wav,16000,48582,3.036375,f10904513058717dfc3dd7ca1c67f69e8ffaa8454ce2ab2d90330909b8178a2e
1001_TSI_XX_happy,AudioWAV/1001_TSI_HAP_XX.wav,16000,34701,2.1688125,db01b15d9488f7d03d29fa59b94c15cbc7386bb0aaf1203ecffc2b7178a0fc50
1001_TSI_XX_sad,AudioWAV/1001_TSI_SAD_XX.wav,16000,40040,2.5025,60e0fc0367accefc2b7a4aa2dc236935e48836eeb88349a52bd4bfef99ad6b85
1001_WSI_XX_happy,AudioWAV/1001_WSI_HAP_XX.wav,16000,36409,2.2755625,dc9341bd127e7196f6a4dd8747b4c0fbf5d8d556bcae680f2abd8f3af02e5ae5
1001_WSI_XX_sad,AudioWAV/1001_WSI_SAD_XX.wav,16000,37371,2.3356875,1e800ca42b22f1dc4e994d0689668094d09719ce56268c81c2a55294e2cf4f6c
1002_DFA_XX_happy,AudioWAV/1002_DFA_HAP_XX.wav,16000,35235,2.2021875,f94a5f827691550aa0afaf5415e28e281c2beeb413245326aa650446dd0d7289
1002_DFA_XX_sad,AudioWAV/1002_DFA_SAD_XX.wav,16000,37904,2.369,c875b32f45ba7c98b048985321e75a6d3eac2d5e3d0beca5aee1eb0c79c0b12c
1002_IOM_XX_happy,AudioWAV/1002_IOM_HAP_XX.wav,16000,37371,2.3356875,35a62d6c7c59220601b00db073a0bc5a2e42f39ba5fdb5d769546467bd8ed61b
1002_IOM_XX_sad,AudioWAV/1002_IOM_SAD_XX.wav,16000,42709,2.6693125,8c5b8f27eeb65eada98bb850c471317588b1718d947b6f72519c2432cafd2dcd
1002_ITH_XX_happy,AudioWAV/1002_ITH_HAP_XX.wav,16000,44311,2.7694375,673d33eab042b22dcd7242b561e40775d338e0f6bf609284f9863b98e83b6889
1002_ITH_XX_sad,AudioWAV/1002_ITH_SAD_XX.wav,16000,43777,2.7360625,f6e18b7adf5e166d684df7b1832646fdb2731560e120a5d6c889b0127bb0160b
1002_ITS_XX_happy,AudioWAV/1002_ITS_HAP_XX.wav,16000,38972,2.43575,782bba512a497dfef630af25680a9d774925850ba58b9f2b86ff81d108cb8e5b
1002_ITS_XX_sad,AudioWAV/1002_ITS_SAD_XX.wav,16000,42175,2.6359375,c97b1c508440f819f50a90d626c044aa22b15deecfe11abe718a1d1545089353
1002_IWL_XX_happy,AudioWAV/1002_IWL_HAP_XX.wav,16000,45912,2.8695,30ae1b8bc594fca76a116c0a75c0058e9fc496db25bf09ae4d3442a771b56a5a
1002_IWL_XX_sad,AudioWAV/1002_IWL_SAD_XX.wav,16000,43243,2.7026875,5a3d83800ef13001c54fd7e0f09a9cc9ebd9ba6e5e03004c50dffce93cfa1d21
1002_IWW_XX_happy,AudioWAV/1002_IWW_HAP_XX.wav,16000,39506,2.469125,c2f18e0d55e78cba2b7db2bb457f596786d997cd62d2e73513d1845aa9518f1f
1002_IWW_XX_sad,AudioWAV/1002_IWW_SAD_XX.wav,16000,37904,2.369,9d600d6ba9b8d1e4f1f02520eabfa6df868771f30847e834d23da6c7c833b80f
1002_MTI_XX_happy,AudioWAV/1002_MTI_HAP_XX.wav,16000,42709,2.6693125,dbfb6b0037ee517d3da0e9ad022b449a6aa188ea22550a42886428c0698fbdb2
1002_MTI_XX_sad,AudioWAV/1002_MTI_SAD_XX.wav,16000,43243,2.7026875,8a796a9e2769cd6f310cf197fa2c3ed24296fd6c0054911a441e5967456422c4
1002_TAI_XX_happy,AudioWAV/1002_TAI_HAP_XX.wav,16000,40574,2.535875,60a4ab7ee78da2dd8bdf011507fb837a3bc7ab5520137aaa63d68bc3766adb8c
1002_TAI_XX_sad,AudioWAV/1002_TAI_SAD_XX.wav,16000,44311,2.7694375,f77facc6de61548210f23ea7cb72c60f8c1d6152cf954e71bc968a83bb56b321
1002_TIE_XX_happy,AudioWAV/1002_TIE_HAP_XX.wav,16000,38438,2.402375,a526014bbf5acbae8aac8fd067e339d516a327c998845b1beebb838695c63021
1002_TIE_XX_sad,AudioWAV/1002_TIE_SAD_XX.wav,16000,50183,3.1364375,1702a5bf422d71cee4152fd4e7436234bccfd3d1511cbbd95ef99545b64b5dc4
1002_TSI_XX_happy,AudioWAV/1002_TSI_HAP_XX.wav,16000,32566,2.035375,30ac377f28c62e2304c86984ff40a77bbc62fd516679994ca49ba966a3ebd5a7
1002_TSI_XX_sad,AudioWAV/1002_TSI_SAD_XX.wav,16000,38438,2.402375,d6ebcec45ca42a9944e38d04f9299029e3391e0607b9b1c20d863688fe279a58
1002_WSI_XX_happy,AudioWAV/1002_WSI_HAP_XX.wav,16000,44311,2.7694375,f8292774e49bed120666884e61d709b2a1f6bd6648a907cd6fd8e56a5fcb5c60
1002_WSI_XX_sad,AudioWAV/1002_WSI_SAD_XX.wav,16000,43777,2.7360625,cebcebc70307b54f3ab34a5ea8f1137e68bcfd3c1815e76c44bc449cf7e323b8
1003_DFA_XX_happy,AudioWAV/1003_DFA_HAP_XX.wav,16000,52319,3.2699375,3d7dbb8ae0429218722a78a3182f04e652bdce82359f8ff563ede1ceccb09013
1003_DFA_XX_sad,AudioWAV/1003_DFA_SAD_XX.wav,16000,51251,3.2031875,c611cb037909dd0dbb3a8e892ff109e71f2bea0c0d09750e4cfb43b9399f5600
1003_IOM_XX_happy,AudioWAV/1003_IOM_HAP_XX.wav,16000,46446,2.902875,592e6c7769c057409007421b7db24aac922f0fdb1c2ea983356bc8913c456f40
1003_IOM_XX_sad,AudioWAV/1003_IOM_SAD_XX.wav,16000,45379,2.8361875,21ededf4c372e538b97668d68803447660b483511e0f06e1302e62b4644a29e3
