sample_id,pair_id,path,actor,statement,repetition,intensity,emotion
1001_DFA_XX_happy,1001_DFA_XX,AudioWAV/1001_DFA_HAP_XX.wav,1001,DFA,01,XX,happy
1001_DFA_XX_sad,1001_DFA_XX,AudioWAV/1001_DFA_SAD_XX.wav,1001,DFA,01,XX,sad
1001_IOM_XX_happy,1001_IOM_XX,AudioWAV/1001_IOM_HAP_XX.wav,1001,IOM,01,XX,happy
1001_IOM_XX_sad,1001_IOM_XX,AudioWAV/1001_IOM_SAD_XX.wav,1001,IOM,01,XX,sad
1001_ITH_XX_happy,1001_ITH_XX,AudioWAV/1001_ITH_HAP_XX.wav,1001,ITH,01,XX,happy
1001_ITH_XX_sad,1001_ITH_XX,AudioWAV/1001_ITH_SAD_XX.wav,1001,ITH,01,XX,sad
1001_ITS_XX_happy,1001_ITS_XX,AudioWAV/1001_ITS_HAP_XX.wav,1001,ITS,01,XX,happy
1001_ITS_XX_sad,1001_ITS_XX,AudioWAV/1001_ITS_SAD_XX.wav,1001,ITS,01,XX,sad
1001_IWL_XX_happy,1001_IWL_XX,AudioWAV/1001_IWL_HAP_XX.wav,1001,IWL,01,XX,happy
1001_IWL_XX_sad,1001_IWL_XX,AudioWAV/1001_IWL_SAD_XX.wav,1001,IWL,01,XX,sad
1001_IWW_XX_happy,1001_IWW_XX,AudioWAV/1001_IWW_HAP_XX.wav,1001,IWW,01,XX,happy
1001_IWW_XX_sad,1001_IWW_XX,AudioWAV/1001_IWW_SAD_XX.wav,1001,IWW,01,XX,sad
1001_MTI_XX_happy,1001_MTI_XX,AudioWAV/1001_MTI_HAP_XX.wav,1001,MTI,01,XX,happy
1001_MTI_XX_sad,1001_MTI_XX,AudioWAV/1001_MTI_SAD_XX.wav,1001,MTI,01,XX,sad
1001_TAI_XX_happy,1001_TAI_XX,AudioWAV/1001_TAI_HAP_XX.wav,1001,TAI,01,XX,happy
1001_TAI_XX_sad,1001_TAI_XX,AudioWAV/1001_TAI_SAD_XX.wav,1001,TAI,01,XX,sad
1001_TIE_XX_happy,1001_TIE_XX,AudioWAV/1001_TIE_HAP_XX.wav,1001,TIE,01,XX,happy
1001_TIE_XX_sad,1001_TIE_XX,AudioWAV/1001_TIE_SAD_XX.wav,1001,TIE,01,XX,sad
1001_TSI_XX_happy,1001_TSI_XX,AudioWAV/1001_TSI_HAP_XX.wav,1001,TSI,01,XX,happy
1001_TSI_XX_sad,1001_TSI_XX,AudioWAV/1001_TSI_SAD_XX.wav,1001,TSI,01,XX,sad
1001_WSI_XX_happy,1001_WSI_XX,AudioWAV/1001_WSI_HAP_XX.wav,1001,WSI,01,XX,happy
1001_WSI_XX_sad,1001_WSI_XX,AudioWAV/1001_WSI_SAD_XX.wav,1001,WSI,01,XX,sad
1002_DFA_XX_happy,1002_DFA_XX,AudioWAV/1002_DFA_HAP_XX.wav,1002,DFA,01,XX,happy
1002_DFA_XX_sad,1002_DFA_XX,AudioWAV/1002_DFA_SAD_XX.wav,1002,DFA,01,XX,sad
1002_IOM_XX_happy,1002_IOM_XX,AudioWAV/1002_IOM_HAP_XX.wav,1002,IOM,01,XX,happy
1002_IOM_XX_sad,1002_IOM_XX,AudioWAV/1002_IOM_SAD_XX.wav,1002,IOM,01,XX,sad
1002_ITH_XX_happy,1002_ITH_XX,AudioWAV/1002_ITH_HAP_XX.wav,1002,ITH,01,XX,happy
1002_ITH_XX_sad,1002_ITH_XX,AudioWAV/1002_ITH_SAD_XX.wav,1002,ITH,01,XX,sad
1002_ITS_XX_happy,1002_ITS_XX,AudioWAV/1002_ITS_HAP_XX.wav,1002,ITS,01,XX,happy
1002_ITS_XX_sad,1002_ITS_XX,AudioWAV/1002_ITS_SAD_XX.wav,1002,ITS,01,XX,sad
1002_IWL_XX_happy,1002_IWL_XX,AudioWAV/1002_IWL_HAP_XX.wav,1002,IWL,01,XX,happy
1002_IWL_XX_sad,1002_IWL_XX,AudioWAV/1002_IWL_SAD_XX.wav,1002,IWL,01,XX,sad
1002_IWW_XX_happy,1002_IWW_XX,AudioWAV/1002_IWW_HAP_XX.wav,1002,IWW,01,XX,happy
1002_IWW_XX_sad,1002_IWW_XX,AudioWAV/1002_IWW_SAD_XX.wav,1002,IWW,01,XX,sad
1002_MTI_XX_happy,1002_MTI_XX,AudioWAV/1002_MTI_HAP_XX.wav,1002,MTI,01,XX,happy
1002_MTI_XX_sad,1002_MTI_XX,AudioWAV/1002_MTI_SAD_XX.wav,1002,MTI,01,XX,sad
1002_TAI_XX_happy,1002_TAI_XX,AudioWAV/1002_TAI_HAP_XX.wav,1002,TAI,01,XX,happy
1002_TAI_XX_sad,1002_TAI_XX,AudioWAV/1002_TAI_SAD_XX.wav,1002,TAI,01,XX,sad
1002_TIE_XX_happy,1002_TIE_XX,AudioWAV/1002_TIE_HAP_XX.wav,1002,TIE,01,XX,happy
1002_TIE_XX_sad,1002_TIE_XX,AudioWAV/1002_TIE_SAD_XX.wav,1002,TIE,01,XX,sad
1002_TSI_XX_happy,1002_TSI_XX,AudioWAV/1002_TSI_HAP_XX.wav,1002,TSI,01,XX,happy
1002_TSI_XX_sad,1002_TSI_XX,AudioWAV/1002_TSI_SAD_XX.wav,1002,TSI,01,XX,sad
1002_WSI_XX_happy,1002_WSI_XX,AudioWAV/1002_WSI_HAP_XX.wav,1002,WSI,01,XX,happy
1002_WSI_XX_sad,1002_WSI_XX,AudioWAV/1002_WSI_SAD_XX.wav,1002,WSI,01,XX,sad
1003_DFA_XX_happy,1003_DFA_XX,AudioWAV/1003_DFA_HAP_XX.wav,1003,DFA,01,XX,happy
1003_DFA_XX_sad,1003_DFA_XX,AudioWAV/1003_DFA_SAD_XX.wav,1003,DFA,01,XX,sad
1003_IOM_XX_happy,1003_IOM_XX,AudioWAV/1003_IOM_HAP_XX.wav,1003,IOM,01,XX,happy
1003_IOM_XX_sad,1003_IOM_XX,AudioWAV/1003_IOM_SAD_XX.wav,1003,IOM,01,XX,sad
1003_ITH_XX_happy,1003_ITH_XX,AudioWAV/1003_ITH_HAP_XX.wav,1003,ITH,01,XX,happy
1003_ITH_XX_sad,1003_ITH_XX,AudioWAV/1003_ITH_SAD_XX.wav,1003,ITH,01,XX,sad
1003_ITS_XX_happy,1003_ITS_XX,AudioWAV/1003_ITS_HAP_XX.wav,1003,ITS,01,XX,happy
1003_ITS_XX_sad,1003_ITS_XX,AudioWAV/1003_ITS_SAD_XX.wav,1003,ITS,01,XX,sad
1003_IWL_XX_happy,1003_IWL_XX,AudioWAV/1003_IWL_HAP_XX.wav,1003,IWL,01,XX,happy
1003_IWL_XX_sad,1003_IWL_XX,AudioWAV/1003_IWL_SAD_XX.wav,1003,IWL,01,XX,sad
1003_IWW_XX_happy,1003_IWW_XX,AudioWAV/1003_IWW_HAP_XX.wav,1003,IWW,01,XX,happy
1003_IWW_XX_sad,1003_IWW_XX,AudioWAV/1003_IWW_SAD_XX.wav,1003,IWW,01,XX,sad
1003_MTI_XX_happy,1003_MTI_XX,AudioWAV/1003_MTI_HAP_XX.wav,1003,MTI,01,XX,happy
1003_MTI_XX_sad,1003_MTI_XX,AudioWAV/1003_MTI_SAD_XX.wav,1003,MTI,01,XX,sad
1003_TAI_XX_happy,1003_TAI_XX,AudioWAV/1003_TAI_HAP_XX.wav,1003,TAI,01,XX,happy
1003_TAI_XX_sad,1003_TAI_XX,AudioWAV/1003_TAI_SAD_XX.wav,1003,TAI,01,XX,sad
1003_TIE_XX_happy,1003_TIE_XX,AudioWAV/1003_TIE_HAP_XX.wav,1003,TIE,01,XX,happy
1003_TIE_XX_sad,1003_TIE_XX,AudioWAV/1003_TIE_SAD_XX.wav,1003,TIE,01,XX,sad
1003_TSI_XX_happy,1003_TSI_XX,AudioWAV/1003_TSI_HAP_XX.wav,1003,TSI,01,XX,happy
1003_TSI_XX_sad,1003_TSI_XX,AudioWAV/1003_TSI_SAD_XX.wav,1003,TSI,01,XX,sad
1003_WSI_XX_happy,1003_WSI_XX,AudioWAV/1003_WSI_HAP_XX.wav,1003,WSI,01,XX,happy
1003_WSI_XX_sad,1003_WSI_XX,AudioWAV/1003_WSI_SAD_XX.wav,1003,WSI,01,XX,sad
1004_DFA_XX_happy,1004_DFA_XX,AudioWAV/1004_DFA_HAP_XX.wav,1004,DFA,01,XX,happy
1004_DFA_XX_sad,1004_DFA_XX,AudioWAV/1004_DFA_SAD_XX.wav,1004,DFA,01,XX,sad
1004_IOM_XX_happy,1004_IOM_XX,AudioWAV/1004_IOM_HAP_XX.wav,1004,IOM,01,XX,happy
1004_IOM_XX_sad,1004_IOM_XX,AudioWAV/1004_IOM_SAD_XX.wav,1004,IOM,01,XX,sad
1004_ITH_XX_happy,1004_ITH_XX,AudioWAV/1004_ITH_HAP_XX.wav,1004,ITH,01,XX,happy
1004_ITH_XX_sad,1004_ITH_XX,AudioWAV/1004_ITH_SAD_XX.wav,1004,ITH,01,XX,sad
1004_ITS_XX_happy,1004_ITS_XX,AudioWAV/1004_ITS_HAP_XX.wav,1004,ITS,01,XX,happy
1004_ITS_XX_sad,1004_ITS_XX,AudioWAV/1004_ITS_SAD_XX.wav,1004,ITS,01,XX,sad
1004_IWL_XX_happy,1004_IWL_XX,AudioWAV/1004_IWL_HAP_XX.wav,1004,IWL,01,XX,happy
1004_IWL_XX_sad,1004_IWL_XX,AudioWAV/1004_IWL_SAD_XX.wav,1004,IWL,01,XX,sad
1004_IWW_XX_happy,1004_IWW_XX,AudioWAV/1004_IWW_HAP_XX.wav,1004,IWW,01,XX,happy
1004_IWW_XX_sad,1004_IWW_XX,AudioWAV/1004_IWW_SAD_XX.wav,1004,IWW,01,XX,sad
1004_MTI_XX_happy,1004_MTI_XX,AudioWAV/1004_MTI_HAP_XX.wav,1004,MTI,01,XX,happy
1004_MTI_XX_sad,1004_MTI_XX,AudioWAV/1004_MTI_SAD_XX.wav,1004,MTI,01,XX,sad
1004_TAI_XX_happy,1004_TAI_XX,AudioWAV/1004_TAI_HAP_XX.wav,1004,TAI,01,XX,happy
1004_TAI_XX_sad,1004_TAI_XX,AudioWAV/1004_TAI_SAD_XX.wav,1004,TAI,01,XX,sad
1004_TIE_XX_happy,1004_TIE_XX,AudioWAV/1004_TIE_HAP_XX.wav,1004,TIE,01,XX,happy
1004_TIE_XX_sad,1004_TIE_XX,AudioWAV/1004_TIE_SAD_XX.wav,1004,TIE,01,XX,sad
1004_TSI_XX_happy,1004_TSI_XX,AudioWAV/1004_TSI_HAP_XX.wav,1004,TSI,01,XX,happy
1004_TSI_XX_sad,1004_TSI_XX,AudioWAV/1004_TSI_SAD_XX.wav,1004,TSI,01,XX,sad
1004_WSI_XX_happy,1004_WSI_XX,AudioWAV/1004_WSI_HAP_XX.wav,1004,WSI,01,XX,happy
1004_WSI_XX_sad,1004_WSI_XX,AudioWAV/1004_WSI_SAD_XX.wav,1004,WSI,01,XX,sad
1005_DFA_XX_happy,1005_DFA_XX,AudioWAV/1005_DFA_HAP_XX.wav,1005,DFA,01,XX,happy
1005_DFA_XX_sad,1005_DFA_XX,AudioWAV/1005_DFA_SAD_XX.wav,1005,DFA,01,XX,sad
1005_IOM_XX_happy,1005_IOM_XX,AudioWAV/1005_IOM_HAP_XX.wav,1005,IOM,01,XX,happy
1005_IOM_XX_sad,1005_IOM_XX,AudioWAV/1005_IOM_SAD_XX.wav,1005,IOM,01,XX,sad
1005_ITH_XX_happy,1005_ITH_XX,AudioWAV/1005_ITH_HAP_XX.wav,1005,ITH,01,XX,happy
1005_ITH_XX_sad,1005_ITH_XX,AudioWAV/1005_ITH_SAD_XX.wav,1005,ITH,01,XX,sad
1005_ITS_XX_happy,1005_ITS_XX,AudioWAV/1005_ITS_HAP_XX.wav,1005,ITS,01,XX,happy
1005_ITS_XX_sad,1005_ITS_XX,AudioWAV/1005_ITS_SAD_XX.wav,1005,ITS,01,XX,sad
1005_IWL_XX_happy,1005_IWL_XX,AudioWAV/1005_IWL_HAP_XX.wav,1005,IWL,01,XX,happy
1005_IWL_XX_sad,1005_IWL_XX,AudioWAV/1005_IWL_SAD_XX.wav,1005,IWL,01,XX,sad
1005_IWW_XX_happy,1005_IWW_XX,AudioWAV/1005_IWW_HAP_XX.wav,1005,IWW,01,XX,happy
1005_IWW_XX_sad,1005_IWW_XX,AudioWAV/1005_IWW_SAD_XX.wav,1005,IWW,01,XX,sad
1005_MTI_XX_happy,1005_MTI_XX,AudioWAV/1005_MTI_HAP_XX.wav,1005,MTI,01,XX,happy
1005_MTI_XX_sad,1005_MTI_XX,AudioWAV/1005_MTI_SAD_XX.wav,1005,MTI,01,XX,sad
1005_TAI_XX_happy,1005_TAI_XX,AudioWAV/1005_TAI_HAP_XX.wav,1005,TAI,01,XX,happy
1005_TAI_XX_sad,1005_TAI_XX,AudioWAV/1005_TAI_SAD_XX.wav,1005,TAI,01,XX,sad
1005_TIE_XX_happy,1005_TIE_XX,AudioWAV/1005_TIE_HAP_XX.wav,1005,TIE,01,XX,happy
1005_TIE_XX_sad,1005_TIE_XX,AudioWAV/1005_TIE_SAD_XX.wav,1005,TIE,01,XX,sad
1005_TSI_XX_happy,1005_TSI_XX,AudioWAV/1005_TSI_HAP_XX.wav,1005,TSI,01,XX,happy
1005_TSI_XX_sad,1005_TSI_XX,AudioWAV/1005_TSI_SAD_XX.wav,1005,TSI,01,XX,sad
1005_WSI_XX_happy,1005_WSI_XX,AudioWAV/1005_WSI_HAP_XX.wav,1005,WSI,01,XX,happy
1005_WSI_XX_sad,1005_WSI_XX,AudioWAV/1005_WSI_SAD_XX.wav,1005,WSI,01,XX,sad
1006_DFA_XX_happy,1006_DFA_XX,AudioWAV/1006_DFA_HAP_XX.wav,1006,DFA,01,XX,happy
1006_DFA_XX_sad,1006_DFA_XX,AudioWAV/1006_DFA_SAD_XX.wav,1006,DFA,01,XX,sad
1006_IOM_XX_happy,1006_IOM_XX,AudioWAV/1006_IOM_HAP_XX.wav,1006,IOM,01,XX,happy
1006_IOM_XX_sad,1006_IOM_XX,AudioWAV/1006_IOM_SAD_XX.wav,1006,IOM,01,XX,sad
1006_ITH_XX_happy,1006_ITH_XX,AudioWAV/1006_ITH_HAP_XX.wav,1006,ITH,01,XX,happy
1006_ITH_XX_sad,1006_ITH_XX,AudioWAV/1006_ITH_SAD_XX.wav,1006,ITH,01,XX,sad
1006_ITS_XX_happy,1006_ITS_XX,AudioWAV/1006_ITS_HAP_XX.wav,1006,ITS,01,XX,happy
1006_ITS_XX_sad,1006_ITS_XX,AudioWAV/1006_ITS_SAD_XX.wav,1006,ITS,01,XX,sad
1006_IWL_XX_happy,1006_IWL_XX,AudioWAV/1006_IWL_HAP_XX.wav,1006,IWL,01,XX,happy
1006_IWL_XX_sad,1006_IWL_XX,AudioWAV/1006_IWL_SAD_XX.wav,1006,IWL,01,XX,sad
1006_IWW_XX_happy,1006_IWW_XX,AudioWAV/1006_IWW_HAP_XX.wav,1006,IWW,01,XX,happy
