endpoint,statement,contrast,left,right,metric,mean,ci_low,ci_high
block6,01,delta_A,no_attn,clean,mean_within_fold_auc,0.17708333333333337,0.08333333333333337,0.29166666666666663
block6,01,delta_A,no_attn,clean,pooled_roc_auc,0.1640625,0.08116319444444442,0.2612847222222222
block6,01,delta_A,no_attn,clean,accuracy,0.16666666666666663,0.07291666666666663,0.27083333333333326
block6,01,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.19791666666666674,0.09348958333333357,0.32291666666666674
block6,01,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.15104166666666663,0.06422526041666662,0.25477430555555547
block6,01,delta_A_minus_M,no_attn,no_mlp,accuracy,0.125,0.04166666666666663,0.21875
block6,01,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.02083333333333337,-0.10416666666666674,0.0625
block6,01,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.01302083333333337,-0.04861111111111105,0.06553819444444442
block6,01,delta_M_secondary,no_mlp,clean,accuracy,0.04166666666666663,-0.02083333333333337,0.10416666666666663
block6,02,delta_A,no_attn,clean,mean_within_fold_auc,0.13541666666666663,0.0,0.28125
block6,02,delta_A,no_attn,clean,pooled_roc_auc,0.08637152777777779,-0.01041666666666674,0.1996527777777778
block6,02,delta_A,no_attn,clean,accuracy,0.01041666666666674,-0.09375,0.125
block6,02,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.13541666666666663,0.0,0.28125
block6,02,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.11545138888888884,0.0078125,0.24393446180555545
block6,02,delta_A_minus_M,no_attn,no_mlp,accuracy,0.04166666666666674,-0.08333333333333337,0.17708333333333326
block6,02,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.0,-0.08333333333333337,0.09375
block6,02,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.02907986111111105,-0.0677191840277778,0.01171875
block6,02,delta_M_secondary,no_mlp,clean,accuracy,-0.03125,-0.09375,0.02083333333333337
block6,combined,delta_A,no_attn,clean,mean_within_fold_auc,0.15625,0.07291666666666663,0.24479166666666663
block6,combined,delta_A,no_attn,clean,pooled_roc_auc,0.123046875,0.05338541666666663,0.19954427083333337
block6,combined,delta_A,no_attn,clean,accuracy,0.08854166666666663,0.015625,0.16666666666666663
block6,combined,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.16666666666666663,0.06770833333333337,0.28645833333333326
block6,combined,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.1298828125,0.05219184027777779,0.224609375
block6,combined,delta_A_minus_M,no_attn,no_mlp,accuracy,0.08333333333333326,0.0,0.18229166666666663
block6,combined,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.01041666666666663,-0.078125,0.05208333333333337
block6,combined,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.0068359375,-0.04188368055555547,0.02224663628472223
block6,combined,delta_M_secondary,no_mlp,clean,accuracy,0.00520833333333337,-0.04166666666666663,0.04166666666666674
final_answer,01,delta_A,no_attn,clean,mean_within_fold_auc,0.05208333333333326,0.0,0.11458333333333331
final_answer,01,delta_A,no_attn,clean,pooled_roc_auc,0.006076388888888951,-0.02777777777777779,0.04600694444444442
final_answer,01,delta_A,no_attn,clean,accuracy,0.0,-0.07291666666666663,0.07291666666666663
final_answer,01,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,-0.05208333333333337,-0.125,0.01041666666666663
final_answer,01,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,-0.05729166666666663,-0.11936848958333338,-0.0021701388888888395
final_answer,01,delta_A_minus_M,no_attn,no_mlp,accuracy,-0.03125,-0.10416666666666663,0.04166666666666663
final_answer,01,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.10416666666666663,0.03125,0.1875
final_answer,01,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.06336805555555558,0.00868055555555558,0.12586805555555547
final_answer,01,delta_M_secondary,no_mlp,clean,accuracy,0.03125,-0.0625,0.125
final_answer,02,delta_A,no_attn,clean,mean_within_fold_auc,0.03125,-0.04166666666666674,0.11458333333333326
final_answer,02,delta_A,no_attn,clean,pooled_roc_auc,0.01519097222222221,-0.03949652777777779,0.07855902777777779
final_answer,02,delta_A,no_attn,clean,accuracy,-0.02083333333333337,-0.09375,0.05208333333333337
final_answer,02,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.08333333333333326,0.02083333333333337,0.14583333333333337
final_answer,02,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.03168402777777779,-0.03298611111111116,0.109375
