endpoint,statement,contrast,left,right,metric,mean,ci_low,ci_high
block6,DFA,delta_A,no_attn,clean,mean_within_fold_auc,0.03409090909090906,-0.011363636363636354,0.07982954545454136
block6,DFA,delta_A,no_attn,clean,pooled_roc_auc,0.014979338842975198,-0.006198347107438051,0.03900116219008259
block6,DFA,delta_A,no_attn,clean,accuracy,0.022727272727272707,-0.02840909090909094,0.07386363636363635
block6,DFA,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.022727272727272707,-0.022727272727272707,0.06818181818181823
block6,DFA,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.009814049586776896,-0.010847107438016534,0.03228305785123964
block6,DFA,delta_A_minus_M,no_attn,no_mlp,accuracy,0.005681818181818121,-0.045454545454545414,0.051136363636363646
block6,DFA,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.011363636363636354,0.0,0.03409090909090917
block6,DFA,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.005165289256198302,-0.013688016528925595,0.023372933884297512
block6,DFA,delta_M_secondary,no_mlp,clean,accuracy,0.017045454545454586,-0.017045454545454586,0.05681818181818177
block6,IOM,delta_A,no_attn,clean,mean_within_fold_auc,0.022727272727272707,-0.03409090909090917,0.09090909090909094
block6,IOM,delta_A,no_attn,clean,pooled_roc_auc,0.0357696280991735,-0.00038739669421483934,0.07489669421487599
block6,IOM,delta_A,no_attn,clean,accuracy,-0.022727272727272707,-0.07954545454545459,0.03409090909090906
block6,IOM,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.03409090909090917,-0.03409090909090906,0.10227272727272729
block6,IOM,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.03796487603305776,0.0032250774793388865,0.07605888429752072
block6,IOM,delta_A_minus_M,no_attn,no_mlp,accuracy,0.045454545454545414,-0.02272727272727271,0.11363636363636365
block6,IOM,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.011363636363636465,-0.06818181818181823,0.045454545454545525
block6,IOM,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.002195247933884259,-0.03396177685950419,0.030862603305785056
block6,IOM,delta_M_secondary,no_mlp,clean,accuracy,-0.06818181818181812,-0.11363636363636354,-0.02840909090909083
block6,ITH,delta_A,no_attn,clean,mean_within_fold_auc,0.022727272727272707,-0.03409090909090906,0.07954545454545459
block6,ITH,delta_A,no_attn,clean,pooled_roc_auc,0.011492768595041336,-0.019111570247933862,0.04287190082644632
block6,ITH,delta_A,no_attn,clean,accuracy,0.011363636363636354,-0.045454545454545414,0.06818181818181812
block6,ITH,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.0,-0.045454545454545414,0.045454545454545414
block6,ITH,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.027246900826446208,-0.00387396694214881,0.05914256198347112
block6,ITH,delta_A_minus_M,no_attn,no_mlp,accuracy,0.02840909090909094,-0.022727272727272818,0.07968749999999797
block6,ITH,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.022727272727272707,0.0,0.05681818181818188
block6,ITH,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.01575413223140487,-0.04313016528925617,0.011751033057851301
block6,ITH,delta_M_secondary,no_mlp,clean,accuracy,-0.017045454545454586,-0.07386363636363635,0.03977272727272729
block6,ITS,delta_A,no_attn,clean,mean_within_fold_auc,0.06818181818181823,0.022727272727272707,0.125
block6,ITS,delta_A,no_attn,clean,pooled_roc_auc,0.04480888429752061,0.013555655991735494,0.0807076446280992
block6,ITS,delta_A,no_attn,clean,accuracy,0.07954545454545447,0.02840909090909083,0.13636363636363635
block6,ITS,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.045454545454545414,0.011363636363636354,0.09090909090909094
