fold,subset,sample_id
actor_1001_statement_DFA,train,1002_DFA_XX_happy
actor_1001_statement_DFA,train,1002_DFA_XX_sad
actor_1001_statement_DFA,train,1003_DFA_XX_happy
actor_1001_statement_DFA,train,1003_DFA_XX_sad
actor_1001_statement_DFA,train,1004_DFA_XX_happy
actor_1001_statement_DFA,train,1004_DFA_XX_sad
actor_1001_statement_DFA,train,1005_DFA_XX_happy
actor_1001_statement_DFA,train,1005_DFA_XX_sad
actor_1001_statement_DFA,train,1006_DFA_XX_happy
actor_1001_statement_DFA,train,1006_DFA_XX_sad
actor_1001_statement_DFA,train,1007_DFA_XX_happy
actor_1001_statement_DFA,train,1007_DFA_XX_sad
actor_1001_statement_DFA,train,1010_DFA_XX_happy
actor_1001_statement_DFA,train,1010_DFA_XX_sad
actor_1001_statement_DFA,train,1011_DFA_XX_happy
actor_1001_statement_DFA,train,1011_DFA_XX_sad
actor_1001_statement_DFA,train,1012_DFA_XX_happy
actor_1001_statement_DFA,train,1012_DFA_XX_sad
actor_1001_statement_DFA,train,1013_DFA_XX_happy
actor_1001_statement_DFA,train,1013_DFA_XX_sad
actor_1001_statement_DFA,train,1014_DFA_XX_happy
actor_1001_statement_DFA,train,1014_DFA_XX_sad
actor_1001_statement_DFA,train,1015_DFA_XX_happy
actor_1001_statement_DFA,train,1015_DFA_XX_sad
actor_1001_statement_DFA,train,1016_DFA_XX_happy
actor_1001_statement_DFA,train,1016_DFA_XX_sad
actor_1001_statement_DFA,train,1017_DFA_XX_happy
actor_1001_statement_DFA,train,1017_DFA_XX_sad
actor_1001_statement_DFA,train,1018_DFA_XX_happy
actor_1001_statement_DFA,train,1018_DFA_XX_sad
actor_1001_statement_DFA,train,1020_DFA_XX_happy
actor_1001_statement_DFA,train,1020_DFA_XX_sad
actor_1001_statement_DFA,train,1021_DFA_XX_happy
actor_1001_statement_DFA,train,1021_DFA_XX_sad
actor_1001_statement_DFA,train,1022_DFA_XX_happy
actor_1001_statement_DFA,train,1022_DFA_XX_sad
actor_1001_statement_DFA,train,1023_DFA_XX_happy
actor_1001_statement_DFA,train,1023_DFA_XX_sad
actor_1001_statement_DFA,train,1024_DFA_XX_happy
actor_1001_statement_DFA,train,1024_DFA_XX_sad
actor_1001_statement_DFA,train,1025_DFA_XX_happy
actor_1001_statement_DFA,train,1025_DFA_XX_sad
actor_1001_statement_DFA,train,1026_DFA_XX_happy
actor_1001_statement_DFA,train,1026_DFA_XX_sad
actor_1001_statement_DFA,train,1027_DFA_XX_happy
actor_1001_statement_DFA,train,1027_DFA_XX_sad
actor_1001_statement_DFA,train,1028_DFA_XX_happy
actor_1001_statement_DFA,train,1028_DFA_XX_sad
actor_1001_statement_DFA,train,1029_DFA_XX_happy
actor_1001_statement_DFA,train,1029_DFA_XX_sad
actor_1001_statement_DFA,train,1030_DFA_XX_happy
actor_1001_statement_DFA,train,1030_DFA_XX_sad
actor_1001_statement_DFA,train,1031_DFA_XX_happy
actor_1001_statement_DFA,train,1031_DFA_XX_sad
actor_1001_statement_DFA,train,1032_DFA_XX_happy
actor_1001_statement_DFA,train,1032_DFA_XX_sad
actor_1001_statement_DFA,train,1033_DFA_XX_happy
actor_1001_statement_DFA,train,1033_DFA_XX_sad
actor_1001_statement_DFA,train,1034_DFA_XX_happy
actor_1001_statement_DFA,train,1034_DFA_XX_sad
actor_1001_statement_DFA,train,1035_DFA_XX_happy
actor_1001_statement_DFA,train,1035_DFA_XX_sad
actor_1001_statement_DFA,train,1036_DFA_XX_happy
actor_1001_statement_DFA,train,1036_DFA_XX_sad
actor_1001_statement_DFA,train,1037_DFA_XX_happy
actor_1001_statement_DFA,train,1037_DFA_XX_sad
actor_1001_statement_DFA,train,1038_DFA_XX_happy
actor_1001_statement_DFA,train,1038_DFA_XX_sad
actor_1001_statement_DFA,train,1039_DFA_XX_happy
actor_1001_statement_DFA,train,1039_DFA_XX_sad
actor_1001_statement_DFA,train,1040_DFA_XX_happy
actor_1001_statement_DFA,train,1040_DFA_XX_sad
actor_1001_statement_DFA,train,1041_DFA_XX_happy
actor_1001_statement_DFA,train,1041_DFA_XX_sad
actor_1001_statement_DFA,train,1042_DFA_XX_happy
actor_1001_statement_DFA,train,1042_DFA_XX_sad
actor_1001_statement_DFA,train,1043_DFA_XX_happy
actor_1001_statement_DFA,train,1043_DFA_XX_sad
actor_1001_statement_DFA,train,1044_DFA_XX_happy
actor_1001_statement_DFA,train,1044_DFA_XX_sad
actor_1001_statement_DFA,train,1045_DFA_XX_happy
actor_1001_statement_DFA,train,1045_DFA_XX_sad
actor_1001_statement_DFA,train,1046_DFA_XX_happy
actor_1001_statement_DFA,train,1046_DFA_XX_sad
actor_1001_statement_DFA,train,1047_DFA_XX_happy
actor_1001_statement_DFA,train,1047_DFA_XX_sad
actor_1001_statement_DFA,train,1048_DFA_XX_happy
actor_1001_statement_DFA,train,1048_DFA_XX_sad
actor_1001_statement_DFA,train,1049_DFA_XX_happy
actor_1001_statement_DFA,train,1049_DFA_XX_sad
actor_1001_statement_DFA,train,1050_DFA_XX_happy
actor_1001_statement_DFA,train,1050_DFA_XX_sad
actor_1001_statement_DFA,train,1051_DFA_XX_happy
actor_1001_statement_DFA,train,1051_DFA_XX_sad
actor_1001_statement_DFA,train,1052_DFA_XX_happy
actor_1001_statement_DFA,train,1052_DFA_XX_sad
actor_1001_statement_DFA,train,1053_DFA_XX_happy
actor_1001_statement_DFA,train,1053_DFA_XX_sad
actor_1001_statement_DFA,train,1054_DFA_XX_happy
actor_1001_statement_DFA,train,1054_DFA_XX_sad
actor_1001_statement_DFA,train,1055_DFA_XX_happy
actor_1001_statement_DFA,train,1055_DFA_XX_sad
actor_1001_statement_DFA,train,1056_DFA_XX_happy
actor_1001_statement_DFA,train,1056_DFA_XX_sad
actor_1001_statement_DFA,train,1057_DFA_XX_happy
actor_1001_statement_DFA,train,1057_DFA_XX_sad
actor_1001_statement_DFA,train,1058_DFA_XX_happy
actor_1001_statement_DFA,train,1058_DFA_XX_sad
actor_1001_statement_DFA,train,1059_DFA_XX_happy
actor_1001_statement_DFA,train,1059_DFA_XX_sad
actor_1001_statement_DFA,train,1060_DFA_XX_happy
actor_1001_statement_DFA,train,1060_DFA_XX_sad
