endpoint,condition,fold,actor,statement,n_train,n_test,accuracy,roc_auc
block6,clean,actor_1001_statement_DFA,1001,DFA,174,2,0.5,1.0
block6,clean,actor_1001_statement_IOM,1001,IOM,174,2,1.0,1.0
block6,clean,actor_1001_statement_ITH,1001,ITH,174,2,1.0,1.0
block6,clean,actor_1001_statement_ITS,1001,ITS,174,2,1.0,1.0
block6,clean,actor_1001_statement_IWL,1001,IWL,174,2,1.0,1.0
block6,clean,actor_1001_statement_IWW,1001,IWW,174,2,0.5,1.0
block6,clean,actor_1001_statement_MTI,1001,MTI,174,2,0.5,1.0
block6,clean,actor_1001_statement_TAI,1001,TAI,174,2,1.0,1.0
block6,clean,actor_1001_statement_TIE,1001,TIE,174,2,0.5,1.0
block6,clean,actor_1001_statement_TSI,1001,TSI,174,2,0.5,1.0
block6,clean,actor_1001_statement_WSI,1001,WSI,174,2,1.0,1.0
block6,clean,actor_1002_statement_DFA,1002,DFA,174,2,1.0,1.0
block6,clean,actor_1002_statement_IOM,1002,IOM,174,2,0.5,0.0
block6,clean,actor_1002_statement_ITH,1002,ITH,174,2,0.5,1.0
block6,clean,actor_1002_statement_ITS,1002,ITS,174,2,0.5,1.0
block6,clean,actor_1002_statement_IWL,1002,IWL,174,2,1.0,1.0
block6,clean,actor_1002_statement_IWW,1002,IWW,174,2,0.5,1.0
block6,clean,actor_1002_statement_MTI,1002,MTI,174,2,1.0,1.0
block6,clean,actor_1002_statement_TAI,1002,TAI,174,2,1.0,1.0
block6,clean,actor_1002_statement_TIE,1002,TIE,174,2,0.5,1.0
block6,clean,actor_1002_statement_TSI,1002,TSI,174,2,0.5,1.0
block6,clean,actor_1002_statement_WSI,1002,WSI,174,2,1.0,1.0
block6,clean,actor_1003_statement_DFA,1003,DFA,174,2,0.5,1.0
block6,clean,actor_1003_statement_IOM,1003,IOM,174,2,1.0,1.0
block6,clean,actor_1003_statement_ITH,1003,ITH,174,2,0.5,1.0
block6,clean,actor_1003_statement_ITS,1003,ITS,174,2,0.5,1.0
block6,clean,actor_1003_statement_IWL,1003,IWL,174,2,0.5,1.0
block6,clean,actor_1003_statement_IWW,1003,IWW,174,2,1.0,1.0
block6,clean,actor_1003_statement_MTI,1003,MTI,174,2,1.0,1.0
block6,clean,actor_1003_statement_TAI,1003,TAI,174,2,0.5,1.0
block6,clean,actor_1003_statement_TIE,1003,TIE,174,2,0.5,0.0
block6,clean,actor_1003_statement_TSI,1003,TSI,174,2,0.5,1.0
block6,clean,actor_1003_statement_WSI,1003,WSI,174,2,1.0,1.0
block6,clean,actor_1004_statement_DFA,1004,DFA,174,2,1.0,1.0
block6,clean,actor_1004_statement_IOM,1004,IOM,174,2,1.0,1.0
block6,clean,actor_1004_statement_ITH,1004,ITH,174,2,1.0,1.0
block6,clean,actor_1004_statement_ITS,1004,ITS,174,2,1.0,1.0
block6,clean,actor_1004_statement_IWL,1004,IWL,174,2,0.0,0.0
block6,clean,actor_1004_statement_IWW,1004,IWW,174,2,1.0,1.0
block6,clean,actor_1004_statement_MTI,1004,MTI,174,2,0.5,1.0
block6,clean,actor_1004_statement_TAI,1004,TAI,174,2,0.5,1.0
block6,clean,actor_1004_statement_TIE,1004,TIE,174,2,1.0,1.0
block6,clean,actor_1004_statement_TSI,1004,TSI,174,2,1.0,1.0
block6,clean,actor_1004_statement_WSI,1004,WSI,174,2,1.0,1.0
block6,clean,actor_1005_statement_DFA,1005,DFA,174,2,1.0,1.0
block6,clean,actor_1005_statement_IOM,1005,IOM,174,2,1.0,1.0
block6,clean,actor_1005_statement_ITH,1005,ITH,174,2,1.0,1.0
block6,clean,actor_1005_statement_ITS,1005,ITS,174,2,0.5,1.0
block6,clean,actor_1005_statement_IWL,1005,IWL,174,2,1.0,1.0
block6,clean,actor_1005_statement_IWW,1005,IWW,174,2,1.0,1.0
block6,clean,actor_1005_statement_MTI,1005,MTI,174,2,0.5,1.0
block6,clean,actor_1005_statement_TAI,1005,TAI,174,2,0.5,1.0
block6,clean,actor_1005_statement_TIE,1005,TIE,174,2,0.5,1.0
block6,clean,actor_1005_statement_TSI,1005,TSI,174,2,1.0,1.0
block6,clean,actor_1005_statement_WSI,1005,WSI,174,2,0.5,1.0
block6,clean,actor_1006_statement_DFA,1006,DFA,174,2,1.0,1.0
block6,clean,actor_1006_statement_IOM,1006,IOM,174,2,1.0,1.0
block6,clean,actor_1006_statement_ITH,1006,ITH,174,2,1.0,1.0
block6,clean,actor_1006_statement_ITS,1006,ITS,174,2,1.0,1.0
block6,clean,actor_1006_statement_IWL,1006,IWL,174,2,0.5,0.0
block6,clean,actor_1006_statement_IWW,1006,IWW,174,2,0.5,0.0
block6,clean,actor_1006_statement_MTI,1006,MTI,174,2,1.0,1.0
block6,clean,actor_1006_statement_TAI,1006,TAI,174,2,1.0,1.0
block6,clean,actor_1006_statement_TIE,1006,TIE,174,2,1.0,1.0
block6,clean,actor_1006_statement_TSI,1006,TSI,174,2,1.0,1.0
block6,clean,actor_1006_statement_WSI,1006,WSI,174,2,1.0,1.0
block6,clean,actor_1007_statement_DFA,1007,DFA,174,2,1.0,1.0
block6,clean,actor_1007_statement_IOM,1007,IOM,174,2,0.5,0.0
block6,clean,actor_1007_statement_ITH,1007,ITH,174,2,0.5,1.0
block6,clean,actor_1007_statement_ITS,1007,ITS,174,2,0.5,0.0
block6,clean,actor_1007_statement_IWL,1007,IWL,174,2,1.0,1.0
block6,clean,actor_1007_statement_IWW,1007,IWW,174,2,0.5,1.0
block6,clean,actor_1007_statement_MTI,1007,MTI,174,2,0.5,1.0
block6,clean,actor_1007_statement_TAI,1007,TAI,174,2,0.5,1.0
block6,clean,actor_1007_statement_TIE,1007,TIE,174,2,0.5,1.0
block6,clean,actor_1007_statement_TSI,1007,TSI,174,2,1.0,1.0
block6,clean,actor_1007_statement_WSI,1007,WSI,174,2,0.5,1.0
block6,clean,actor_1010_statement_DFA,1010,DFA,174,2,1.0,1.0
block6,clean,actor_1010_statement_IOM,1010,IOM,174,2,1.0,1.0
