endpoint,statement,contrast,left,right,metric,mean,ci_low,ci_high
block6,01,delta_A,no_attn,clean,mean_within_fold_auc,0.01041666666666663,-0.02083333333333337,0.04166666666666674
block6,01,delta_A,no_attn,clean,pooled_roc_auc,-0.01692708333333337,-0.06728515625,0.03385416666666663
block6,01,delta_A,no_attn,clean,accuracy,0.0,-0.08333333333333326,0.08333333333333337
block6,01,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.08333333333333337,0.01041666666666674,0.15625
block6,01,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,0.04513888888888884,-0.01649305555555558,0.11067708333333337
block6,01,delta_A_minus_M,no_attn,no_mlp,accuracy,0.02083333333333337,-0.05208333333333326,0.09375
block6,01,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.07291666666666674,-0.15625,0.0
block6,01,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.06206597222222221,-0.10547960069444444,-0.0234375
block6,01,delta_M_secondary,no_mlp,clean,accuracy,-0.02083333333333337,-0.08333333333333337,0.03125
block6,02,delta_A,no_attn,clean,mean_within_fold_auc,-0.07291666666666663,-0.19791666666666663,0.03125
block6,02,delta_A,no_attn,clean,pooled_roc_auc,-0.05251736111111105,-0.15494791666666663,0.04210069444444442
block6,02,delta_A,no_attn,clean,accuracy,0.03125,-0.07291666666666663,0.13541666666666663
block6,02,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,-0.09375,-0.22916666666666663,0.02083333333333337
block6,02,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,-0.06119791666666663,-0.1605902777777778,0.02604166666666674
block6,02,delta_A_minus_M,no_attn,no_mlp,accuracy,0.02083333333333326,-0.07291666666666663,0.10416666666666674
block6,02,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,0.02083333333333337,-0.03125,0.08333333333333337
block6,02,delta_M_secondary,no_mlp,clean,pooled_roc_auc,0.00868055555555558,-0.04036458333333326,0.06076388888888884
block6,02,delta_M_secondary,no_mlp,clean,accuracy,0.01041666666666674,-0.09375,0.11458333333333337
block6,combined,delta_A,no_attn,clean,mean_within_fold_auc,-0.03125,-0.08854166666666663,0.02083333333333326
block6,combined,delta_A,no_attn,clean,pooled_roc_auc,-0.03276909722222221,-0.09049479166666663,0.02083333333333337
block6,combined,delta_A,no_attn,clean,accuracy,0.015625,-0.03645833333333337,0.06770833333333326
block6,combined,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,-0.00520833333333337,-0.07291666666666663,0.05729166666666674
block6,combined,delta_A_minus_M,no_attn,no_mlp,pooled_roc_auc,-0.0056423611111111605,-0.06467285156250005,0.05154079861111116
block6,combined,delta_A_minus_M,no_attn,no_mlp,accuracy,0.02083333333333337,-0.03125,0.07291666666666674
block6,combined,delta_M_secondary,no_mlp,clean,mean_within_fold_auc,-0.02604166666666663,-0.078125,0.03125
block6,combined,delta_M_secondary,no_mlp,clean,pooled_roc_auc,-0.02712673611111105,-0.06239149305555547,0.005428059895833281
block6,combined,delta_M_secondary,no_mlp,clean,accuracy,-0.00520833333333337,-0.0625,0.046875
final_answer,01,delta_A,no_attn,clean,mean_within_fold_auc,0.11458333333333326,0.04166666666666663,0.19791666666666674
final_answer,01,delta_A,no_attn,clean,pooled_roc_auc,0.08637152777777779,0.02690972222222221,0.15625
final_answer,01,delta_A,no_attn,clean,accuracy,0.04166666666666674,-0.02083333333333337,0.11458333333333326
final_answer,01,delta_A_minus_M,no_attn,no_mlp,mean_within_fold_auc,0.0625,-0.01041666666666663,0.13541666666666674
