object,regime,fold,n_train,n_test,accuracy,roc_auc
projector,speaker,actor_01_statement_None,184,8,1.0,1.0
projector,speaker,actor_02_statement_None,184,8,1.0,1.0
projector,speaker,actor_03_statement_None,184,8,1.0,1.0
projector,speaker,actor_04_statement_None,184,8,0.625,0.75
projector,speaker,actor_05_statement_None,184,8,0.75,1.0
projector,speaker,actor_06_statement_None,184,8,1.0,1.0
projector,speaker,actor_07_statement_None,184,8,0.875,1.0
projector,speaker,actor_08_statement_None,184,8,0.875,1.0
projector,speaker,actor_09_statement_None,184,8,0.625,1.0
projector,speaker,actor_10_statement_None,184,8,1.0,1.0
projector,speaker,actor_11_statement_None,184,8,0.875,1.0
projector,speaker,actor_12_statement_None,184,8,0.875,1.0
projector,speaker,actor_13_statement_None,184,8,1.0,1.0
projector,speaker,actor_14_statement_None,184,8,1.0,1.0
projector,speaker,actor_15_statement_None,184,8,0.625,0.875
projector,speaker,actor_16_statement_None,184,8,0.875,1.0
projector,speaker,actor_17_statement_None,184,8,0.75,0.8125
projector,speaker,actor_18_statement_None,184,8,1.0,1.0
projector,speaker,actor_19_statement_None,184,8,1.0,1.0
projector,speaker,actor_20_statement_None,184,8,1.0,1.0
projector,speaker,actor_21_statement_None,184,8,1.0,1.0
projector,speaker,actor_22_statement_None,184,8,1.0,1.0
projector,speaker,actor_23_statement_None,184,8,1.0,1.0
projector,speaker,actor_24_statement_None,184,8,0.875,0.9375
answer_state,speaker,actor_01_statement_None,184,8,0.625,0.6875
answer_state,speaker,actor_02_statement_None,184,8,1.0,1.0
answer_state,speaker,actor_03_statement_None,184,8,0.75,0.625
answer_state,speaker,actor_04_statement_None,184,8,0.75,0.9375
answer_state,speaker,actor_05_statement_None,184,8,0.625,0.75
answer_state,speaker,actor_06_statement_None,184,8,1.0,1.0
answer_state,speaker,actor_07_statement_None,184,8,0.75,0.75
answer_state,speaker,actor_08_statement_None,184,8,0.875,1.0
answer_state,speaker,actor_09_statement_None,184,8,0.625,0.875
answer_state,speaker,actor_10_statement_None,184,8,0.625,0.625
answer_state,speaker,actor_11_statement_None,184,8,0.75,1.0
answer_state,speaker,actor_12_statement_None,184,8,0.5,0.8125
answer_state,speaker,actor_13_statement_None,184,8,0.75,0.875
answer_state,speaker,actor_14_statement_None,184,8,0.5,0.5
answer_state,speaker,actor_15_statement_None,184,8,0.375,0.5
answer_state,speaker,actor_16_statement_None,184,8,0.375,0.5
answer_state,speaker,actor_17_statement_None,184,8,0.75,0.6875
