object,regime,metric,mean,ci_low,ci_high
projector,speaker,accuracy,0.9010416666666666,0.8489583333333334,0.9479166666666666
projector,speaker,roc_auc,0.9647352430555556,0.9299045138888888,0.9911051432291667
projector,speaker,mean_within_fold_auc,0.9739583333333334,,
answer_state,speaker,accuracy,0.6927083333333334,0.6197916666666666,0.765625
answer_state,speaker,roc_auc,0.7316623263888888,0.6537489149305555,0.8116346571180555
answer_state,speaker,mean_within_fold_auc,0.7630208333333334,,
native_lm,speaker,accuracy,0.5,0.5,0.5
native_lm,speaker,roc_auc,0.5211588541666666,0.4761284722222222,0.5676025390624999
native_lm,speaker,mean_within_fold_auc,0.5260416666666666,,
projector,statement,accuracy,0.9322916666666666,0.890625,0.96875
projector,statement,roc_auc,0.9881727430555556,0.9730875651041667,0.9975043402777778
projector,statement,mean_within_fold_auc,0.9880642361111112,,
answer_state,statement,accuracy,0.5052083333333334,0.5,0.515625
answer_state,statement,roc_auc,0.5441623263888888,0.5083550347222222,0.5780164930555556
answer_state,statement,mean_within_fold_auc,0.591796875,,
native_lm,statement,accuracy,0.5,0.5,0.5
native_lm,statement,roc_auc,0.5211588541666666,0.4761284722222222,0.5676025390624999
native_lm,statement,mean_within_fold_auc,0.5238715277777778,,
projector,joint,accuracy,0.9010416666666666,0.84375,0.953125
projector,joint,roc_auc,0.9666883680555556,0.9359809027777778,0.9904513888888888
projector,joint,mean_within_fold_auc,0.9791666666666666,,
answer_state,joint,accuracy,0.5052083333333334,0.5,0.515625
answer_state,joint,roc_auc,0.5392795138888888,0.5041232638888888,0.5747612847222222
answer_state,joint,mean_within_fold_auc,0.5989583333333334,,
native_lm,joint,accuracy,0.5,0.5,0.5
native_lm,joint,roc_auc,0.5211588541666666,0.4761284722222222,0.5676025390624999
native_lm,joint,mean_within_fold_auc,0.5260416666666666,,
