position,layer,regime,fold,n_train,n_test,accuracy,roc_auc
projector,-1,speaker,actor_01_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_02_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_03_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_04_statement_None,184,8,0.625,0.75
projector,-1,speaker,actor_05_statement_None,184,8,0.75,1.0
projector,-1,speaker,actor_06_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_07_statement_None,184,8,0.875,1.0
projector,-1,speaker,actor_08_statement_None,184,8,0.875,1.0
projector,-1,speaker,actor_09_statement_None,184,8,0.625,1.0
projector,-1,speaker,actor_10_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_11_statement_None,184,8,0.875,1.0
projector,-1,speaker,actor_12_statement_None,184,8,0.875,1.0
projector,-1,speaker,actor_13_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_14_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_15_statement_None,184,8,0.625,0.875
projector,-1,speaker,actor_16_statement_None,184,8,0.875,1.0
projector,-1,speaker,actor_17_statement_None,184,8,0.75,0.8125
projector,-1,speaker,actor_18_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_19_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_20_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_21_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_22_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_23_statement_None,184,8,1.0,1.0
projector,-1,speaker,actor_24_statement_None,184,8,0.875,0.9375
projector,-1,statement,actor_None_statement_01,96,96,0.9479166666666666,0.9895833333333334
projector,-1,statement,actor_None_statement_02,96,96,0.9166666666666666,0.9865451388888888
projector,-1,joint,actor_01_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_01_statement_02,92,4,0.5,1.0
projector,-1,joint,actor_02_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_02_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_03_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_03_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_04_statement_01,92,4,0.5,0.75
projector,-1,joint,actor_04_statement_02,92,4,0.75,0.75
projector,-1,joint,actor_05_statement_01,92,4,0.75,1.0
projector,-1,joint,actor_05_statement_02,92,4,0.75,1.0
projector,-1,joint,actor_06_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_06_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_07_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_07_statement_02,92,4,0.75,1.0
projector,-1,joint,actor_08_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_08_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_09_statement_01,92,4,0.75,1.0
projector,-1,joint,actor_09_statement_02,92,4,0.5,1.0
projector,-1,joint,actor_10_statement_01,92,4,0.75,1.0
projector,-1,joint,actor_10_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_11_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_11_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_12_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_12_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_13_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_13_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_14_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_14_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_15_statement_01,92,4,0.75,1.0
projector,-1,joint,actor_15_statement_02,92,4,0.75,0.75
projector,-1,joint,actor_16_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_16_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_17_statement_01,92,4,0.5,0.75
projector,-1,joint,actor_17_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_18_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_18_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_19_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_19_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_20_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_20_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_21_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_21_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_22_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_22_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_23_statement_01,92,4,1.0,1.0
projector,-1,joint,actor_23_statement_02,92,4,1.0,1.0
projector,-1,joint,actor_24_statement_01,92,4,0.5,1.0
projector,-1,joint,actor_24_statement_02,92,4,0.75,1.0
audio,0,speaker,actor_01_statement_None,184,8,0.875,0.9375
audio,0,speaker,actor_02_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_03_statement_None,184,8,1.0,1.0
audio,0,speaker,actor_04_statement_None,184,8,0.5,0.75
audio,0,speaker,actor_05_statement_None,184,8,0.875,1.0
audio,0,speaker,actor_06_statement_None,184,8,1.0,1.0
