position,layer,regime,metric,mean,ci_low,ci_high
projector,-1,speaker,accuracy,0.9010416666666666,0.8489583333333334,0.9479166666666666
projector,-1,speaker,roc_auc,0.9647352430555556,0.9299045138888888,0.9911051432291667
projector,-1,speaker,mean_within_fold_auc,0.9739583333333334,,
projector,-1,statement,accuracy,0.9322916666666666,0.890625,0.96875
projector,-1,statement,roc_auc,0.9881727430555556,0.9730875651041667,0.9975043402777778
projector,-1,statement,mean_within_fold_auc,0.9880642361111112,,
projector,-1,joint,accuracy,0.9010416666666666,0.84375,0.953125
projector,-1,joint,roc_auc,0.9666883680555556,0.9359809027777778,0.9904513888888888
projector,-1,joint,mean_within_fold_auc,0.9791666666666666,,
audio,0,speaker,accuracy,0.90625,0.8489583333333334,0.9583333333333334
audio,0,speaker,roc_auc,0.9650607638888888,0.9305555555555556,0.9909939236111112
audio,0,speaker,mean_within_fold_auc,0.9661458333333334,,
audio,0,statement,accuracy,0.9375,0.8958333333333334,0.9739583333333334
audio,0,statement,roc_auc,0.9891493055555556,0.9765625,0.9975043402777778
audio,0,statement,mean_within_fold_auc,0.9891493055555556,,
audio,0,joint,accuracy,0.8958333333333334,0.8385416666666666,0.9479166666666666
audio,0,joint,roc_auc,0.9686414930555556,0.9390190972222222,0.9912136501736111
audio,0,joint,mean_within_fold_auc,0.9791666666666666,,
audio,1,speaker,accuracy,0.9166666666666666,0.875,0.9583333333333334
audio,1,speaker,roc_auc,0.9602864583333334,0.923828125,0.9877414279513889
audio,1,speaker,mean_within_fold_auc,0.9609375,,
audio,1,statement,accuracy,0.875,0.8177083333333334,0.9322916666666666
audio,1,statement,roc_auc,0.9857855902777778,0.9700520833333334,0.9966362847222222
audio,1,statement,mean_within_fold_auc,0.9895833333333333,,
audio,1,joint,accuracy,0.8541666666666666,0.7864583333333334,0.9166666666666666
audio,1,joint,roc_auc,0.9622395833333334,0.9313123914930556,0.9874131944444444
audio,1,joint,mean_within_fold_auc,0.984375,,
audio,2,speaker,accuracy,0.890625,0.8385416666666666,0.9375
audio,2,speaker,roc_auc,0.9521484375,0.9148193359375001,0.9825303819444444
audio,2,speaker,mean_within_fold_auc,0.9635416666666666,,
audio,2,statement,accuracy,0.890625,0.84375,0.9322916666666666
audio,2,statement,roc_auc,0.9670138888888888,0.9465060763888888,0.9844835069444444
audio,2,statement,mean_within_fold_auc,0.9720052083333334,,
audio,2,joint,accuracy,0.8802083333333334,0.828125,0.9270833333333334
audio,2,joint,roc_auc,0.943359375,0.9105902777777778,0.9734157986111112
audio,2,joint,mean_within_fold_auc,0.9791666666666666,,
audio,3,speaker,accuracy,0.9010416666666666,0.8541666666666666,0.9427083333333334
audio,3,speaker,roc_auc,0.9525824652777778,0.9166666666666666,0.9822048611111112
audio,3,speaker,mean_within_fold_auc,0.9661458333333334,,
audio,3,statement,accuracy,0.8802083333333334,0.8333333333333334,0.921875
audio,3,statement,roc_auc,0.9643012152777778,0.9418402777777778,0.9829644097222222
audio,3,statement,mean_within_fold_auc,0.9680989583333333,,
audio,3,joint,accuracy,0.8489583333333334,0.7916666666666666,0.9010416666666666
audio,3,joint,roc_auc,0.9353298611111112,0.9001708984375001,0.9682074652777778
audio,3,joint,mean_within_fold_auc,0.96875,,
audio,4,speaker,accuracy,0.8854166666666666,0.8385416666666666,0.9322916666666666
audio,4,speaker,roc_auc,0.9530164930555556,0.9161214192708333,0.9835069444444444
