blocks,component,statement,condition,metric,mean,ci_low,ci_high
0:0,attention,01,within,mean_within_fold_auc,0.4375,0.375,0.48958333333333337
1:23,attention,01,within,mean_within_fold_auc,-0.2500000000000002,-0.45833333333333326,-0.05208333333333337
0:0,mlp,01,within,mean_within_fold_auc,0.03125,0.0,0.08333333333333337
1:23,mlp,01,within,mean_within_fold_auc,2.220446049250313e-16,-0.17708333333333365,0.1874999999999999
0:0,attention,01,within,pooled_roc_auc,0.45095486111111116,0.39626736111111116,0.49045138888888884
1:23,attention,01,within,pooled_roc_auc,-0.26822916666666663,-0.4214409722222218,-0.11457248263888878
0:0,mlp,01,within,pooled_roc_auc,-0.0008680555555555802,-0.01866319444444442,0.02170138888888895
1:23,mlp,01,within,pooled_roc_auc,-0.007378472222222321,-0.12977430555555558,0.10416666666666619
0:0,attention,01,within,accuracy,0.39583333333333337,0.32291666666666663,0.45833333333333337
1:23,attention,01,within,accuracy,-0.35416666666666674,-0.5520833333333331,-0.16666666666666685
0:0,mlp,01,within,accuracy,-0.02083333333333337,-0.0625,0.02083333333333326
1:23,mlp,01,within,accuracy,0.11458333333333337,-0.03125000000000033,0.2708333333333332
0:0,attention,01,cross,mean_within_fold_auc,0.4375,0.375,0.48958333333333337
1:23,attention,01,cross,mean_within_fold_auc,-0.43750000000000017,-0.6770833333333338,-0.17708333333333343
0:0,mlp,01,cross,mean_within_fold_auc,0.0,-0.0625,0.0625
1:23,mlp,01,cross,mean_within_fold_auc,-0.06249999999999983,-0.3229166666666667,0.1874999999999999
0:0,attention,01,cross,pooled_roc_auc,0.41623263888888884,0.3546006944444444,0.46701388888888884
1:23,attention,01,cross,pooled_roc_auc,-0.33897569444444436,-0.5017469618055559,-0.16579861111111088
0:0,mlp,01,cross,pooled_roc_auc,-0.00868055555555547,-0.05425347222222221,0.029958767361111024
1:23,mlp,01,cross,pooled_roc_auc,-0.08550347222222232,-0.26389973958333335,0.08377821180555534
0:0,attention,01,cross,accuracy,0.30208333333333337,0.20833333333333337,0.38541666666666663
1:23,attention,01,cross,accuracy,-0.42708333333333354,-0.6666666666666666,-0.20833333333333304
0:0,mlp,01,cross,accuracy,0.04166666666666663,0.0,0.09375
1:23,mlp,01,cross,accuracy,0.08333333333333354,-0.11458333333333326,0.2916666666666667
0:0,attention,01,gap,mean_within_fold_auc,0.0,-0.07291666666666663,0.08333333333333337
1:23,attention,01,gap,mean_within_fold_auc,0.18749999999999994,-0.13541666666666674,0.5208333333333326
0:0,mlp,01,gap,mean_within_fold_auc,0.03125,-0.04166666666666663,0.10416666666666663
1:23,mlp,01,gap,mean_within_fold_auc,0.06250000000000006,-0.2604166666666665,0.3958333333333336
0:0,attention,01,gap,pooled_roc_auc,0.03472222222222232,-0.00477430555555558,0.08116319444444442
1:23,attention,01,gap,pooled_roc_auc,0.07074652777777773,-0.15928819444444448,0.30296223958333346
0:0,mlp,01,gap,pooled_roc_auc,0.007812499999999889,-0.03125,0.0542643229166666
1:23,mlp,01,gap,pooled_roc_auc,0.078125,-0.139767795138889,0.2938368055555558
0:0,attention,01,gap,accuracy,0.09375,-0.01041666666666663,0.19791666666666674
1:23,attention,01,gap,accuracy,0.0729166666666668,-0.18750000000000033,0.33333333333333354
0:0,mlp,01,gap,accuracy,-0.0625,-0.13541666666666652,0.0
1:23,mlp,01,gap,accuracy,0.031249999999999833,-0.21875000000000017,0.29166666666666685
0:0,attention,02,within,mean_within_fold_auc,0.4375,0.39583333333333337,0.47916666666666663
1:23,attention,02,within,mean_within_fold_auc,-0.20833333333333337,-0.4062500000000002,-0.02083333333333326
0:0,mlp,02,within,mean_within_fold_auc,-0.03125,-0.07291666666666674,0.01041666666666663
1:23,mlp,02,within,mean_within_fold_auc,0.0,-0.17708333333333326,0.1874999999999999
0:0,attention,02,within,pooled_roc_auc,0.3823784722222222,0.30208333333333337,0.45963541666666663
1:23,attention,02,within,pooled_roc_auc,-0.09505208333333337,-0.269097222222222,0.06032986111111094
0:0,mlp,02,within,pooled_roc_auc,-0.03342013888888884,-0.07291666666666674,-0.0017361111111111605
1:23,mlp,02,within,pooled_roc_auc,-0.03776041666666663,-0.1514756944444443,0.07726779513888934
0:0,attention,02,within,accuracy,0.30208333333333337,0.21875,0.38541666666666663
1:23,attention,02,within,accuracy,0.12499999999999978,-0.10416666666666696,0.3437500000000002
0:0,mlp,02,within,accuracy,-0.0625,-0.125,0.0
1:23,mlp,02,within,accuracy,-0.15624999999999978,-0.3125,0.010416666666666852
0:0,attention,02,cross,mean_within_fold_auc,0.45833333333333337,0.38541666666666663,0.5
1:23,attention,02,cross,mean_within_fold_auc,0.05208333333333315,-0.20833333333333326,0.32291666666666663
0:0,mlp,02,cross,mean_within_fold_auc,-0.04166666666666674,-0.09375,0.0
1:23,mlp,02,cross,mean_within_fold_auc,-0.1979166666666664,-0.3750000000000001,-0.02083333333333326
0:0,attention,02,cross,pooled_roc_auc,0.42404513888888884,0.35416666666666663,0.4830837673611109
1:23,attention,02,cross,pooled_roc_auc,-0.29470486111111127,-0.46701388888888906,-0.09503038194444491
