layer,component,statement,condition,metric,mean,ci_low,ci_high
0,attention,01,within,mean_within_fold_auc,0.4375,0.375,0.48958333333333337
1,attention,01,within,mean_within_fold_auc,-0.1875,-0.30208333333333326,-0.09375
2,attention,01,within,mean_within_fold_auc,-0.05208333333333337,-0.125,0.02083333333333326
3,attention,01,within,mean_within_fold_auc,0.01041666666666663,0.0,0.03125
4,attention,01,within,mean_within_fold_auc,0.01041666666666663,0.0,0.03125
5,attention,01,within,mean_within_fold_auc,0.0,-0.03125,0.03125
6,attention,01,within,mean_within_fold_auc,-0.04166666666666663,-0.125,0.03125
7,attention,01,within,mean_within_fold_auc,-0.05208333333333337,-0.14583333333333337,0.04166666666666663
8,attention,01,within,mean_within_fold_auc,-0.01041666666666663,-0.07291666666666663,0.04166666666666663
9,attention,01,within,mean_within_fold_auc,-0.02083333333333337,-0.07291666666666663,0.03125
10,attention,01,within,mean_within_fold_auc,-0.01041666666666663,-0.11458333333333326,0.09375
11,attention,01,within,mean_within_fold_auc,0.11458333333333326,0.03125,0.19791666666666663
12,attention,01,within,mean_within_fold_auc,0.0,-0.04166666666666674,0.05208333333333337
13,attention,01,within,mean_within_fold_auc,-0.02083333333333337,-0.11458333333333326,0.0625
14,attention,01,within,mean_within_fold_auc,0.0,-0.0835937499999998,0.08333333333333337
15,attention,01,within,mean_within_fold_auc,-0.01041666666666674,-0.04166666666666674,0.02083333333333337
16,attention,01,within,mean_within_fold_auc,-0.03125,-0.09375,0.02083333333333337
17,attention,01,within,mean_within_fold_auc,0.04166666666666674,-0.02083333333333326,0.10416666666666674
18,attention,01,within,mean_within_fold_auc,-0.01041666666666674,-0.04166666666666674,0.02083333333333337
19,attention,01,within,mean_within_fold_auc,0.03125,0.0,0.0625
20,attention,01,within,mean_within_fold_auc,-0.02083333333333337,-0.05208333333333337,0.0
21,attention,01,within,mean_within_fold_auc,-0.02083333333333326,-0.09375,0.05208333333333326
22,attention,01,within,mean_within_fold_auc,0.03125,-0.02083333333333326,0.09375
23,attention,01,within,mean_within_fold_auc,0.0,0.0,0.0
0,mlp,01,within,mean_within_fold_auc,0.03125,0.0,0.08333333333333337
1,mlp,01,within,mean_within_fold_auc,0.03125,-0.01041666666666674,0.08333333333333337
2,mlp,01,within,mean_within_fold_auc,0.01041666666666674,0.0,0.03125
3,mlp,01,within,mean_within_fold_auc,-0.03125,-0.07291666666666663,0.0
4,mlp,01,within,mean_within_fold_auc,0.0,0.0,0.0
5,mlp,01,within,mean_within_fold_auc,0.03125,-0.02083333333333337,0.09375
6,mlp,01,within,mean_within_fold_auc,0.03125,0.0,0.08333333333333337
7,mlp,01,within,mean_within_fold_auc,0.0,-0.04166666666666674,0.05208333333333337
8,mlp,01,within,mean_within_fold_auc,0.0,-0.03125,0.03125
9,mlp,01,within,mean_within_fold_auc,0.02083333333333337,-0.02083333333333337,0.0625
10,mlp,01,within,mean_within_fold_auc,-0.03125,-0.0625,0.0
11,mlp,01,within,mean_within_fold_auc,-0.03125,-0.09375,0.02083333333333326
12,mlp,01,within,mean_within_fold_auc,-0.05208333333333326,-0.10416666666666674,-0.01041666666666663
13,mlp,01,within,mean_within_fold_auc,0.01041666666666663,-0.05208333333333326,0.07291666666666674
14,mlp,01,within,mean_within_fold_auc,-0.02083333333333326,-0.08333333333333337,0.03125
15,mlp,01,within,mean_within_fold_auc,0.0,-0.03125,0.03125
16,mlp,01,within,mean_within_fold_auc,0.0,-0.04166666666666663,0.04166666666666663
17,mlp,01,within,mean_within_fold_auc,0.03125,-0.02083333333333326,0.09375
18,mlp,01,within,mean_within_fold_auc,0.0,0.0,0.0
19,mlp,01,within,mean_within_fold_auc,0.01041666666666674,-0.02083333333333337,0.04166666666666674
20,mlp,01,within,mean_within_fold_auc,0.01041666666666663,-0.02083333333333337,0.04166666666666674
21,mlp,01,within,mean_within_fold_auc,0.0,-0.03125,0.03125
22,mlp,01,within,mean_within_fold_auc,-0.01041666666666674,-0.03125,0.0
23,mlp,01,within,mean_within_fold_auc,-0.01041666666666663,-0.04166666666666674,0.02083333333333337
0,attention,01,within,pooled_roc_auc,0.45095486111111116,0.39626736111111116,0.49045138888888884
